spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,0,0.000000,4.48330244e-18,1.51412337e-19,6.46106757e-19,-2.28990592e-19,-4.93558875e-20,-5.23998321e-17
main,1,0.290952,-4.07305094e-05,2.07801590e-05,-3.06500794e-04,2.03648552e-03,-3.03843561e-02,-5.74127538e-04
main,2,0.581903,-5.84470885e-05,5.05174007e-05,-1.04690088e-03,3.45747662e-03,-6.07751286e-02,-1.07091054e-03
main,3,0.872855,-6.58120146e-05,8.55414716e-05,-2.04336201e-03,4.19896215e-03,-8.93048395e-02,-1.69893587e-03
main,4,1.163806,-1.25599381e-04,1.21136156e-04,-3.08640256e-03,4.15132798e-03,-1.15973051e-01,-2.55601414e-03
main,5,1.454758,-4.34410093e-04,1.50877965e-04,-3.93471439e-03,3.20529368e-03,-1.40764840e-01,-4.46354269e-03
main,6,1.745709,-3.74299995e-04,1.89102264e-04,-4.61934215e-03,3.90668361e-03,-1.76929115e-01,-1.54254106e-03
main,7,2.036661,1.50527373e-05,2.32036766e-04,-5.40870503e-03,4.41713943e-03,-2.11132013e-01,-3.64642272e-03
main,8,2.327613,4.36330236e-05,2.72971709e-04,-6.23593285e-03,4.62953492e-03,-2.43484622e-01,-5.39583888e-03
main,9,2.618564,-1.37663283e-04,3.11070603e-04,-7.00280436e-03,4.43644704e-03,-2.73997158e-01,-6.39178700e-03
main,10,2.909516,1.34837746e-06,3.52420179e-04,-7.56909913e-03,3.66991064e-03,-3.02747889e-01,-9.35051550e-03
main,11,3.200467,1.39718914e-04,3.83375054e-04,-7.73791466e-03,2.10672820e-03,-3.29747856e-01,-1.22800681e-02
main,12,3.491419,8.73114434e-06,3.89011371e-04,-7.25979662e-03,-4.12255605e-04,-3.54980255e-01,-1.30961522e-02
main,13,3.782370,-5.77558834e-05,3.61576478e-04,-5.84541455e-03,-3.99265097e-03,-3.78384285e-01,-1.36057560e-02
main,14,4.073322,-1.23197981e-04,2.89017181e-04,-3.17496127e-03,-8.73906145e-03,-3.99931010e-01,-1.47294089e-02
main,15,4.364274,-5.17867016e-04,1.56025697e-04,1.10162843e-03,-1.47553263e-02,-4.19592875e-01,-1.73782315e-02
main,16,4.655225,-4.58963600e-04,-2.77073083e-05,7.26090141e-03,-2.10342852e-02,-4.46514144e-01,-1.34929385e-02
main,17,4.946177,5.36882186e-05,-2.80057556e-04,1.54205281e-02,-2.81425775e-02,-4.71393876e-01,-1.61561926e-02
main,18,5.237128,1.20434992e-04,-6.17421016e-04,2.58318933e-02,-3.61795638e-02,-4.94507624e-01,-1.83217826e-02
main,19,5.528080,-3.14466324e-06,-1.04805338e-03,3.87758122e-02,-4.52454807e-02,-5.15916505e-01,-1.91065766e-02
