Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
26,7.27378941e+00,2.56319517e-01,3.10202891e-01,3.06350000e-02,8.00000000e-04,7.17694647e-01,3.12069730e-01,1.00000000e-02,8.00000000e-04,6.44368201e+01,-3.78666120e+01,1.73603723e+01,-4.40587789e-01,0,0
27,7.56474098e+00,2.53902859e-01,3.25340428e-01,3.06350000e-02,8.00000000e-04,7.10928006e-01,3.27071817e-01,1.00000000e-02,8.00000000e-04,6.36511498e+01,-3.72222481e+01,1.71317803e+01,-4.40587789e-01,1,1
28,7.85569256e+00,2.51486202e-01,3.40489264e-01,3.06350000e-02,8.00000000e-04,7.04161366e-01,3.42087450e-01,1.00000000e-02,8.00000000e-04,6.28635441e+01,-3.65656270e+01,1.69026252e+01,-4.40587789e-01,0,0
29,8.14664414e+00,2.49069545e-01,3.55649401e-01,3.06350000e-02,8.00000000e-04,6.97394725e-01,3.57116626e-01,1.00000000e-02,8.00000000e-04,6.20622831e+01,-3.58577653e+01,1.66694970e+01,-4.40587789e-01,0,0
30,8.43759571e+00,2.46652887e-01,3.70820837e-01,3.06350000e-02,8.00000000e-04,6.90628085e-01,3.72159347e-01,1.00000000e-02,8.00000000e-04,6.12480397e+01,-3.51769073e+01,1.64325916e+01,-4.40587789e-01,0,0
31,8.72854729e+00,2.44236230e-01,3.86003573e-01,3.06350000e-02,8.00000000e-04,6.83861444e-01,3.87215612e-01,1.00000000e-02,8.00000000e-04,6.03493482e+01,-3.46297504e+01,1.61711159e+01,-4.40587789e-01,0,0
32,9.01949886e+00,2.41777778e-01,4.02618694e-01,3.06350000e-02,8.00000000e-04,6.76977779e-01,4.03611872e-01,1.00000000e-02,8.00000000e-04,5.94491612e+01,-3.40716948e+01,1.59092051e+01,-4.40587789e-01,0,0
33,9.31045044e+00,2.39230514e-01,4.22265305e-01,3.06350000e-02,8.00000000e-04,6.69845440e-01,4.22844958e-01,1.00000000e-02,8.00000000e-04,5.84919164e+01,-3.34283716e+01,1.56306932e+01,-4.40587789e-01,0,0
34,9.60140202e+00,2.36683250e-01,4.41923827e-01,3.06350000e-02,8.00000000e-04,6.62713100e-01,4.42098535e-01,1.00000000e-02,8.00000000e-04,5.75384098e+01,-3.27888470e+01,1.53532690e+01,-4.40587789e-01,0,0
35,9.89235359e+00,2.34135986e-01,4.61594259e-01,3.06350000e-02,8.00000000e-04,6.55580761e-01,4.61372603e-01,1.00000000e-02,8.00000000e-04,5.65102644e+01,-3.22142005e+01,1.50541284e+01,-4.40587789e-01,0,0
36,1.01833052e+01,2.31588722e-01,4.81276602e-01,3.06350000e-02,8.00000000e-04,6.48448421e-01,4.80667158e-01,1.00000000e-02,8.00000000e-04,5.54902220e+01,-3.16386391e+01,1.47573455e+01,-4.40587789e-01,0,0
37,1.04742567e+01,2.29041458e-01,5.00970856e-01,3.06350000e-02,8.00000000e-04,6.41316082e-01,4.99982200e-01,1.00000000e-02,8.00000000e-04,5.44207816e+01,-3.08108839e+01,1.46219663e+01,-4.40587789e-01,1,0
38,1.07652083e+01,2.26494194e-01,5.20677020e-01,2.29750000e-02,8.00000000e-04,6.34183742e-01,5.19317727e-01,1.00000000e-02,8.00000000e-04,5.33555784e+01,-2.99803722e+01,1.44878199e+01,-4.40587789e-01,0,0
39,1.10561599e+01,2.23946929e-01,5.40395094e-01,2.29750000e-02,8.00000000e-04,6.27051403e-01,5.38673736e-01,1.00000000e-02,8.00000000e-04,5.22019472e+01,-2.91101091e+01,1.41521691e+01,-4.40587789e-01,0,0
40,1.13471115e+01,2.21399665e-01,5.60125079e-01,2.29750000e-02,8.00000000e-04,6.19919063e-01,5.58050226e-01,1.00000000e-02,8.00000000e-04,5.10432621e+01,-2.82345068e+01,1.38150479e+01,-4.40587789e-01,0,0
41,1.16380631e+01,2.18852401e-01,5.79866975e-01,2.29750000e-02,8.00000000e-04,6.12786723e-01,5.77447196e-01,1.00000000e-02,8.00000000e-04,4.96570227e+01,-2.72527139e+01,1.34117193e+01,-4.40587789e-01,0,0
42,1.19290146e+01,2.16305137e-01,5.99620781e-01,2.29750000e-02,8.00000000e-04,6.05654384e-01,5.96864644e-01,1.00000000e-02,8.00000000e-04,4.82463774e+01,-2.62630221e+01,1.30012898e+01,-4.40587789e-01,0,0
