"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"
          0,           0,           0,      -2.925675207,      -3.030139892,      -3.765630153,       -3.43751936,            17.325,      0.1324558708,      0.3433730479,  -0.0005671250947,     0.06711383433,     -0.2060282899,    -0.02388497257,      0.1324558708,  -0.0005671250947,      0.3433730479,       2.592358089
          0,           0,           1,      -2.514147449,      -2.226424848,      -2.794070076,      -2.447095428,            17.325,      0.0994021607,      0.3889404119,  -0.0009791886106,     0.07455706216,     -0.2305321477,    -0.02596762295,      0.0994021607,  -0.0009791886106,      0.3889404119,       3.912796353
          0,           0,           2,      -2.703763112,      -2.421252611,      -3.029218586,      -2.615839324,            17.325,     0.05500621407,       0.376806865,    -0.00122936777,      0.1054727946,     -0.2159977056,    -0.02967609624,     0.05500621407,    -0.00122936777,       0.376806865,       6.850259945
          0,           0,           3,      -2.867464529,      -2.529251251,      -3.104287272,      -2.660072773,            17.325,     0.02391171745,      0.3547086811,   -0.001443710747,      0.1416260302,      -0.198862669,    -0.03700602037,     0.02391171745,   -0.001443710747,      0.3547086811,        14.8340947
          0,           0,           4,      -3.030598574,      -2.608963239,      -3.172992695,      -2.718532176,            17.325,    0.007689002593,      0.3309925365,   -0.001631221895,      0.1592911225,     -0.1810736309,    -0.04117180536,    0.007689002593,   -0.001631221895,      0.3309925365,       43.04752566
          0,           0,           5,      -3.115804069,       -2.65677465,      -3.241028498,       -2.77598385,            17.325,    0.003403468423,      0.3120069029,   -0.001747043452,      0.1597067613,     -0.1683237362,    -0.04111007773,    0.003403468423,   -0.001747043452,      0.3120069029,       91.67321804
          0,           0,           6,      -3.187617404,      -2.698599142,      -3.320191887,      -2.830707272,            17.325,    0.004043534114,      0.2930603635,   -0.001768830074,      0.1556451606,     -0.1544236887,    -0.04212855959,    0.004043534114,   -0.001768830074,      0.2930603635,       72.47629308
          0,           0,           7,      -3.232602121,      -2.733973054,      -3.386281107,      -2.876156929,            17.325,    0.008222535224,      0.2803837811,   -0.001648511514,      0.1452935327,     -0.1470405076,    -0.03968888272,    0.008222535224,   -0.001648511514,      0.2803837811,       34.09943204
          0,           0,           8,      -3.267346207,      -2.764881813,      -3.438746315,      -2.915115616,            17.325,     0.01224936553,       0.270613623,   -0.001473874862,      0.1300531586,     -0.1408799058,     -0.0370396359,     0.01224936553,   -0.001473874862,       0.270613623,       22.09205223
          0,           0,           9,      -3.297789086,      -2.792822076,      -3.474164102,      -2.954298655,            17.325,     0.01579862868,      0.2659624875,   -0.001293153475,      0.1201494203,     -0.1390629232,    -0.03461277605,     0.01579862868,   -0.001293153475,      0.2659624875,       16.83452994
          0,           0,          10,      -3.330191095,      -2.820754029,      -3.509885543,      -2.993828273,            17.325,      0.0175660975,      0.2630119741,   -0.001175007255,      0.1110196653,     -0.1372362479,    -0.03220395744,      0.0175660975,   -0.001175007255,      0.2630119741,       14.97270376
          0,           0,          11,       -3.36072121,      -2.846214334,      -3.539208849,      -3.036888738,            17.325,     0.01886786009,      0.2642006921,   -0.001095853245,      0.1080571377,     -0.1388126065,    -0.03059360328,     0.01886786009,   -0.001095853245,      0.2642006921,       14.00268451
          0,           0,          12,      -3.378571037,      -2.869443661,      -3.562356358,      -3.078382031,            17.325,     0.01904213923,      0.2655423011,   -0.001102109615,      0.1058529148,     -0.1391319614,    -0.02937110022,     0.01904213923,   -0.001102109615,      0.2655423011,       13.94498265
          0,           0,          13,      -3.392354629,      -2.889802784,      -3.578072633,      -3.118190316,            17.325,     0.01942039742,      0.2688085179,   -0.001119509879,      0.1078947799,     -0.1412460418,    -0.02890277218,     0.01942039742,   -0.001119509879,      0.2688085179,       13.84155598
          0,           0,          14,      -3.419771961,      -2.910880022,      -3.601910747,      -3.155647311,            17.325,      0.0194441532,       0.270957205,   -0.001181917665,      0.1083510372,     -0.1420265629,    -0.02812054855,      0.0194441532,   -0.001181917665,       0.270957205,       13.93515069
          0,           0,          15,      -3.459188616,      -2.930042122,      -3.626658581,      -3.190269261,            17.325,     0.02002078573,      0.2739004035,   -0.001207707336,      0.1096716723,     -0.1440740317,    -0.02770754386,     0.02002078573,   -0.001207707336,      0.2739004035,        13.6808019
          0,           0,          16,      -3.509558061,      -2.948347122,      -3.646266803,      -3.219955358,            17.325,     0.02037478217,      0.2752360516,   -0.001260900281,      0.1097331923,     -0.1445842237,    -0.02706838249,     0.02037478217,   -0.001260900281,      0.2752360516,       13.50866229
          0,           0,          17,      -3.573642324,      -2.964338546,      -3.661041782,      -3.242715923,            17.325,     0.02121238672,      0.2770531088,    -0.00126694499,       0.110804849,      -0.146049182,    -0.02692755275,     0.02121238672,    -0.00126694499,      0.2770531088,       13.06091165
          0,           0,          18,      -3.651167207,      -2.980789641,      -3.677611525,       -3.26080163,            17.325,     0.02179349561,      0.2774583378,   -0.001297873566,      0.1106769662,     -0.1461952329,    -0.02645401273,     0.02179349561,   -0.001297873566,      0.2774583378,       12.73124527
          0,           0,          19,      -3.712989035,      -2.995622225,      -3.691712006,      -3.274376508,            17.325,     0.02274664413,      0.2786053833,   -0.001280084294,       0.110979309,     -0.1474286165,    -0.02625926044,     0.02274664413,   -0.001280084294,      0.2786053833,       12.24819721
          0,           0,          20,      -3.738630336,      -3.009631465,       -3.70221027,      -3.286064006,            17.325,     0.02329726454,      0.2784753263,    -0.00129759761,      0.1109666987,      -0.147331307,    -0.02596498851,     0.02329726454,    -0.00129759761,      0.2784753263,       11.95313406
          0,           0,          21,      -3.734906034,       -3.02300135,      -3.710300582,      -3.296307694,            17.325,     0.02409778936,      0.2791453604,   -0.001272808368,      0.1113701286,     -0.1482570716,    -0.02589332981,     0.02409778936,   -0.001272808368,      0.2791453604,        11.5838576
          0,           0,          22,      -3.729981333,      -3.037045686,      -3.719465201,      -3.306652812,            17.325,     0.02447738475,      0.2787016264,   -0.001288863926,      0.1117798345,     -0.1479596468,    -0.02574301832,     0.02447738475,   -0.001288863926,      0.2787016264,       11.38608676
          0,           0,          23,      -3.729998038,      -3.051497978,       -3.72649434,      -3.315953274,            17.325,       0.025068917,      0.2790918894,   -0.001264055159,      0.1122233958,     -0.1486880909,    -0.02570848143,       0.025068917,   -0.001264055159,      0.2790918894,        11.1329855
          0,           0,          24,      -3.741126663,      -3.066520376,       -3.73350183,       -3.32519489,            17.325,     0.02526056214,      0.2784607963,   -0.001281742264,      0.1127021454,     -0.1482649247,    -0.02560412629,     0.02526056214,   -0.001281742264,      0.2784607963,       11.02353917
          0,           0,          25,      -3.756974926,      -3.081974341,      -3.739110483,      -3.333306772,            17.325,     0.02566140807,       0.278628742,   -0.001259540565,       0.113021434,     -0.1488222924,    -0.02557743852,     0.02566140807,   -0.001259540565,       0.278628742,       10.85788984
          0,           0,          26,      -3.775621954,       -3.09772496,      -3.746547155,        -3.3416897,            17.325,      0.0257077623,      0.2778507282,   -0.001279691792,      0.1134416451,     -0.1482974853,     -0.0254965688,      0.0257077623,   -0.001279691792,      0.2778507282,       10.80804797
          0,           0,          27,      -3.787623573,      -3.113684069,      -3.752628723,      -3.349286544,            17.325,      0.0259819756,      0.2778823926,   -0.001259080034,      0.1136026454,     -0.1487480789,     -0.0254872708,      0.0259819756,   -0.001259080034,      0.2778823926,       10.69519874
          0,           0,          28,      -3.795070827,      -3.129637064,      -3.760702641,      -3.357793137,            17.325,     0.02594329445,      0.2770503635,   -0.001279777989,      0.1138463131,     -0.1481825661,     -0.0254138258,     0.02594329445,   -0.001279777989,      0.2770503635,       10.67907409
          0,           0,          29,      -3.796243034,      -3.146051592,      -3.767408802,      -3.365966775,            17.325,     0.02614480577,      0.2770284991,   -0.001259001561,      0.1137699912,     -0.1485826566,    -0.02539108731,     0.02614480577,   -0.001259001561,      0.2770284991,       10.59592875
          0,           0,          30,      -3.798038467,      -3.162716382,      -3.776596532,      -3.376022454,            17.325,     0.02605891467,      0.2761814702,   -0.001278891594,      0.1137838922,     -0.1479988529,    -0.02529071213,     0.02605891467,   -0.001278891594,      0.2761814702,       10.59834892
          0,           0,          31,      -3.798801691,      -3.180218063,      -3.784303868,      -3.386214624,            17.325,     0.02621461026,      0.2761230008,   -0.001257026546,      0.1135174836,     -0.1483560843,    -0.02524709012,     0.02621461026,   -0.001257026546,      0.2761230008,       10.53317208
          0,           0,          32,      -3.803203288,      -3.198175225,      -3.794808046,      -3.398664573,            17.325,     0.02609507485,      0.2752581138,   -0.001275759882,      0.1134050557,     -0.1477481906,    -0.02513365135,     0.02609507485,   -0.001275759882,      0.2752581138,       10.54827837
          0,           0,          33,      -3.807280549,      -3.217135514,       -3.80377784,      -3.411339419,            17.325,     0.02621137163,      0.2751583284,   -0.001252858769,      0.1130909311,      -0.148059034,    -0.02510166022,     0.02621137163,   -0.001252858769,      0.2751583284,       10.49766996
          0,           0,          34,      -3.813945575,      -3.236434474,      -3.815792549,      -3.426325553,            17.325,     0.02606514253,      0.2742687005,    -0.00127038139,      0.1129192239,     -0.1474229166,    -0.02498543592,     0.02606514253,    -0.00127038139,      0.2742687005,       10.52243241
          0,           0,          35,       -3.81849148,       -3.25690254,        -3.8258702,      -3.441333052,            17.325,     0.02615579678,      0.2741260492,    -0.00124652692,      0.1125917884,     -0.1476898989,    -0.02496574747,     0.02615579678,    -0.00124652692,      0.2741260492,       10.48050845
          0,           0,          36,       -3.82434394,      -3.277704416,      -3.839422438,       -3.45843398,            17.325,     0.02599467131,      0.2732085886,   -0.001263409334,      0.1124090987,     -0.1470263373,    -0.02484994526,     0.02599467131,   -0.001263409334,      0.2732085886,       10.51017669
          0,           0,          37,      -3.827409414,      -3.299935213,      -3.850686045,      -3.475753769,            17.325,     0.02606995187,      0.2730320924,   -0.001239385435,      0.1121105379,     -0.1472586519,    -0.02484816536,     0.02606995187,   -0.001239385435,      0.2730320924,       10.47305702
          0,           0,          38,      -3.831872818,      -3.322309565,      -3.865408392,      -3.495477454,            17.325,     0.02590204287,      0.2720991088,     -0.0012562726,      0.1119227826,     -0.1465739746,    -0.02473115436,     0.02590204287,     -0.0012562726,      0.2720991088,       10.50492852
          0,           0,          39,      -3.833472143,      -3.346223591,      -3.876818127,      -3.515394817,            17.325,     0.02596997971,      0.2719146364,   -0.001232659866,      0.1116348864,     -0.1467861013,    -0.02473926287,     0.02596997971,   -0.001232659866,      0.2719146364,       10.47034458
