schema_version,case_label,eta,y_m,pre_structure_cl,loaded_shape_cl,delta_cl_loaded_minus_pre,pre_structure_lift_per_span_npm,loaded_shape_lift_per_span_npm,delta_lift_per_span_npm,bending_proxy_pre_structure_m,bending_proxy_loaded_shape_m,bending_proxy_delta_m,root_bending_moment_pre_structure_nm,root_bending_moment_loaded_shape_nm,root_bending_moment_ratio_loaded_vs_pre,comparison_basis
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.0,0.0,1.2497,1.2548,0.005099999999999882,40.36477422416506,40.529502037674895,0.16472781350983468,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.0006582725076914481,0.0113,1.2497,1.2548,0.005099999999999882,40.35279120523199,40.51747011628799,0.16467891105600074,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.0059128017283789375,0.1015,1.2422,1.2402,-0.0020000000000000018,40.021226232767994,39.95679018988799,-0.06443604288000415,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.016369431385955483,0.281,1.2446,1.2414,-0.0031999999999998696,39.922622536103994,39.819977194535994,-0.10264534156799954,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.03193495475366831,0.5482,1.2484,1.2444,-0.0040000000000000036,39.77821353052799,39.65076010684799,-0.12745342368000223,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.052446260059700066,0.9003,1.2538,1.2491,-0.0046999999999999265,39.595820875775985,39.44739181363199,-0.14842906214399676,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.07771693385054522,1.3341,1.2604,1.2555,-0.004899999999999904,39.370189868063996,39.217132163879995,-0.15305770418400044,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.10750230846847773,1.8454,1.2681,1.2636,-0.0044999999999999485,39.09251734937999,38.95379301527999,-0.1387243340999973,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.1415111128923952,2.4292,1.2768,1.2737,-0.0030999999999998806,38.76677942860799,38.672655825671995,-0.0941236029359942,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.17620149150569234,3.0247,1.2833,1.2805,-0.0028000000000001357,38.34738462416399,38.26371542993999,-0.08366919422400088,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.21078118713097052,3.6183,1.2872,1.283,-0.0041999999999999815,37.83537431625599,37.711921416839985,-0.12345289941600157,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.24797649652574838,4.2568,1.2907,1.2863,-0.0043999999999999595,37.26155300432399,37.13452826331599,-0.12702474100800032,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.2874262436238589,4.934,1.2933,1.2898,-0.0034999999999998366,36.618665208443986,36.51956575106399,-0.09909945737999237,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.328757601518291,5.6435,1.2943,1.2938,-0.0004999999999999449,35.891885909879996,35.878020544079995,-0.013865365800000973,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.37770278390434003,6.4837,1.2913,1.2908,-0.0004999999999999449,34.896053235779995,34.882541250479996,-0.013511985299999196,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.43406955190807855,7.4513,1.2814,1.2795,-0.0019000000000000128,33.571382915664,33.52160483892,-0.04977807674400481,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.4912635296117479,8.4331,1.2677,1.2687,0.0009999999999998899,32.150335838543995,32.17569699326399,0.025361154719995227,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.5430806442658668,9.3226,1.2491,1.2516,0.0024999999999999467,30.70591656066,30.767372642159998,0.061456081499997595,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.5890140842937169,10.1111,1.2255,1.2251,-0.00039999999999995595,29.256485961779994,29.246936721155997,-0.00954924062399698,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.6342892518138756,10.8883,1.1979,1.1977,-0.00019999999999997797,27.76019530957199,27.75556049943599,-0.004634810136000311,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.6784575894538452,11.6465,1.1629,1.1658,0.0028999999999999027,26.154109464515997,26.219331682631996,0.06522221811599849,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.7213909379643405,12.3835,1.1026,1.1063,0.0037000000000000366,24.041332266336,24.122007877968,0.08067561163199954,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.762652390813708,13.0918,1.0181,1.0184,0.00029999999999996696,21.502871375831994,21.509207552447993,0.006336176615999278,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.801554548392146,13.7596,0.9323,0.9323,0.0,19.091712790655997,19.091712790655997,0.0,7.066872463322072,7.080548754407343,0.013676291085270798,3544.979541022862,3550.993038714766,1.0016963420020666,pre_structure_avl_vs_loaded_shape_avl
