schema_version,case_label,eta,y_m,chord_m,local_cl,local_cd,cm_c4,lift_per_span_npm,drag_per_span_npm,aoa_deg,velocity_mps,dynamic_pressure_pa,density_kgpm3,dynamic_viscosity_pa_s,reynolds,diagnostic_section_cl_limit,stall_margin_cl,stall_utilization,stall_margin_basis,geometry_z_basis
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.2874262436238589,4.934,1.1017,1.2898,0.0138,-0.1584,36.51956575106399,0.39073500338399986,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,498028.7671232876,1.2,-0.0898000000000001,1.0748333333333335,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.328757601518291,5.6435,1.079,1.2938,0.0141,-0.1586,35.878020544079995,0.3910033155599999,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,487767.1232876711,1.2,-0.0938000000000001,1.0781666666666667,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.37770278390434003,6.4837,1.0515,1.2908,0.0136,-0.1585,34.882541250479996,0.36752600016,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,475335.61643835617,1.2,-0.09079999999999999,1.0756666666666668,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.43406955190807855,7.4513,1.0194,1.2795,0.0125,-0.1583,33.52160483892,0.327487347,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,460824.65753424657,1.2,-0.07950000000000013,1.0662500000000001,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.4912635296117479,8.4331,0.9868,1.2687,0.0121,-0.1586,32.17569699326399,0.3068699721119999,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,446087.6712328766,1.2,-0.06869999999999998,1.05725,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.5430806442658668,9.3226,0.9565,1.2516,0.0118,-0.1585,30.767372642159998,0.29007270467999996,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,432390.4109589041,1.2,-0.05160000000000009,1.0430000000000001,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.5890140842937169,10.1111,0.9289,1.2251,0.0112,-0.1579,29.246936721155997,0.2673787374719999,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,419913.69863013685,1.2,-0.025100000000000122,1.0209166666666667,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.6342892518138756,10.8883,0.9017,1.1977,0.0113,-0.1575,27.75556049943599,0.2618667726839999,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,407617.808219178,1.2,0.0022999999999999687,0.9980833333333333,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.6784575894538452,11.6465,0.8751,1.1658,0.0121,-0.157,26.219331682631996,0.27213408248399995,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,395593.15068493143,1.2,0.03420000000000001,0.9715,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
loaded_shape_avl_recheck_mvp_v1,target_main_tip_z_4p250m,0.7213909379643405,12.3835,0.8484,1.1063,0.01,-0.1501,24.122007877968,0.2180421936,-0.363,6.6,25.700399999999995,1.18,1.7228000000000002e-05,383523.2876712328,1.2,0.0936999999999999,0.9219166666666667,diagnostic_constant_section_cl_limit_not_gate,main_beam_loaded_shape_spar_data_root_offset_removed_as_avl_section_z_proxy
