
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TWIST_PAIR and time  0.1000000E+01

         9  1.045730E-15  4.548258E-21 -1.908621E-04
        12 -1.422406E-17 -1.148756E-19  2.559731E-04

 forces (fx,fy,fz) for set LOCAL_BAY_ENDS and time  0.1000000E+01

         1 -8.468188E-12  6.252776E-13  2.199015E+01
         2  2.139455E-12  5.175582E-13  9.774831E-02
         3 -3.970990E-13  2.627343E-13 -6.186428E-02
         4 -1.268439E-11 -1.092815E-11 -1.142503E+01
        17 -3.055233E-11 -1.733724E-12  2.199015E+01
        18 -4.496237E-12  9.361123E-13  9.774831E-02
        19 -4.908879E-12 -6.467327E-13 -6.186428E-02
        20 -3.753912E-11  1.455192E-11 -1.142503E+01
