
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TWIST_PAIR and time  0.1000000E+01

         9 -2.122963E-18 -7.343490E-20 -6.376980E-05
        12 -2.396302E-18  1.647616E-19  3.815547E-05

 forces (fx,fy,fz) for set LOCAL_BAY_ENDS and time  0.1000000E+01

         1 -8.157947E-13  9.151790E-12  2.184445E+01
         2  1.645617E-11  3.216982E-12  9.357956E+00
         3  1.547562E-11 -3.488765E-12 -9.056397E+00
         4  2.989624E-13 -1.232259E-11 -1.154501E+01
        17 -4.770704E-12 -6.920686E-12  2.184445E+01
        18  8.199663E-12 -1.024958E-12  9.357956E+00
        19  7.709389E-12  2.252420E-12 -9.056397E+00
        20 -2.573194E-12  2.129852E-12 -1.154501E+01
