
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TWIST_PAIR and time  0.1000000E+01

         9  1.186163E-16 -1.299637E-18 -1.827224E-04
        12  1.426366E-16  3.306595E-19  1.135265E-04

 forces (fx,fy,fz) for set LOCAL_BAY_ENDS and time  0.1000000E+01

         1  2.016141E-11  5.286438E-12  2.158782E+01
         2 -9.998757E-11 -1.901945E-11  8.317164E+00
         3 -1.014584E-10  2.214406E-11 -7.891708E+00
         4  4.950465E-11  1.273293E-11 -1.141227E+01
        17  2.983468E-11  7.571543E-11  2.158782E+01
        18 -1.093241E-10  2.214939E-11  8.317164E+00
        19 -9.135093E-11 -1.527312E-11 -7.891708E+00
        20  5.008066E-11 -3.640821E-11 -1.141227E+01
