
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TWIST_PAIR and time  0.1000000E+01

         9  1.174686E-16 -2.916840E-20 -1.883845E-04
        12  2.203500E-17 -1.154851E-19  2.493827E-04

 forces (fx,fy,fz) for set LOCAL_BAY_ENDS and time  0.1000000E+01

         1 -1.000260E-11 -5.115908E-13  2.194395E+01
         2  5.931255E-12  1.900258E-12  3.222603E-01
         3  2.093437E-12 -2.935430E-13 -2.733229E-01
         4 -2.333689E-11 -8.661516E-12 -1.139188E+01
        17 -1.589081E-11  3.723244E-12  2.194395E+01
        18 -1.276934E-11  4.121592E-12  3.222603E-01
        19 -1.359490E-11 -4.006129E-12 -2.733229E-01
        20 -2.695892E-11  1.082867E-11 -1.139188E+01
