
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set TWIST_PAIR and time  0.1000000E+01

         9  2.017154E-17  1.485282E-20 -1.277748E-04
        12  1.530591E-17 -5.786100E-19  9.282792E-05

 forces (fx,fy,fz) for set LOCAL_BAY_ENDS and time  0.1000000E+01

         1 -9.270479E-12  7.219114E-12  2.171159E+01
         2 -3.034017E-12 -2.753353E-13  7.568321E+00
         3 -6.551204E-12  2.291500E-12 -7.186626E+00
         4 -7.367414E-12  3.197442E-12 -1.149228E+01
        17 -3.287663E-13 -4.263256E-12  2.171159E+01
        18 -2.721734E-11  6.430412E-12  7.568321E+00
        19 -2.441070E-11 -4.011014E-12 -7.186626E+00
        20  9.268688E-13  1.112710E-11 -1.149228E+01
