"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.8515255438,    -0.04292283777,      -2.345037215,      -1.044007219,          51.75625,   7.901846034e-05,  -5.442584602e-12,  -1.438646616e-13,   5.334745652e-12,   4.411079297e-12,   2.474129029e-14,   7.901846034e-05,  -1.438646616e-13,  -5.442584602e-12,  -6.887738104e-08
          0,           0,           1,       1.126549296,         1.8847181,      0.7980490596,       2.091021761,          51.75625,   -0.004210126196,  -9.057950553e-10,  -1.043959748e-11,  -4.084762042e-13,  -2.616179651e-10,   -1.40878522e-11,   -0.004210126196,  -1.043959748e-11,  -9.057950553e-10,   2.151467707e-07
          0,           0,           2,       1.069284477,       1.856252795,      0.9443146068,       2.022529864,          51.75625,   -0.007227698717,  -2.308114465e-09,   -4.08829588e-11,   1.502110519e-10,  -4.292815747e-10,    2.37828702e-12,   -0.007227698717,   -4.08829588e-11,  -2.308114465e-09,   3.193429272e-07
