target_main_tip_z_m,case_label,sequence_index,source_stage,source,recipe_id,recipe_signature,rib_design_key,rib_design_label,z_main_plateau_scale,z_main_taper_fill,z_rear_radius_scale,z_rear_outboard_fraction,z_wall_thickness_fraction,main_plateau_scale,main_taper_fill,rear_radius_scale,rear_outboard_fraction,wall_thickness_fraction,main_tube_od_mm,main_tube_id_mm,main_tube_wall_mm,rear_tube_od_mm,rear_tube_id_mm,rear_tube_wall_mm,main_root_od_mm,main_root_id_mm,main_root_wall_mm,rear_root_od_mm,rear_root_id_mm,rear_root_wall_mm,tube_mass_kg,total_structural_mass_kg,main_ei_nm2,rear_ei_nm2,main_gj_nm2,rear_gj_nm2,ei_min_nm2,ei_root_nm2,gj_min_nm2,gj_root_nm2,equivalent_tip_deflection_m,jig_ground_clearance_min_m,jig_ground_clearance_margin_m,max_jig_vertical_prebend_m,max_jig_vertical_curvature_per_m,loaded_shape_main_z_error_max_m,loaded_shape_main_z_error_rms_m,loaded_shape_twist_error_max_deg,loaded_shape_normalized_error,target_shape_error_max_m,target_shape_error_rms_m,wire_tension_max_n,wire_tension_min_n,wire_tension_values_n,moment_closure_status,moment_closure_residual_nm,moment_closure_passed,production_overall_hard_feasible,production_hard_failures,production_numerical_consistency_passed,production_wire_support_validity_passed,eligible_if_production_hard_failures_counted,geometry_validity_status,analysis_succeeded,safety_passed,manufacturing_passed,overall_feasible,pass_fail,eligible_for_reported_selection,is_reported_selected,is_best_after_active_wall_probes,exact_reject_reason,failures,dominant_constraint,dominant_constraint_margin,hard_margins_json,hard_violation_score,target_violation_score,clearance_risk_score,clearance_hotspot_count,clearance_hotspot_mean_m,clearance_penalty_kg,active_wall_risk_score,active_wall_tight_count,active_wall_penalty_kg,loaded_shape_penalty_kg,score_objective_value_kg,selection_key_json,message,force_test,forced_recipe_source_z_m,forced_recipe_source_reported_mass_kg
2.0,target_main_tip_z_2p000m,-1,forced_recipe_test,coarse_grid,af16a58c3b00,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.000000",baseline_uniform,Uniform baseline rib family,1.0,1.0,1.0,1.0,0.0,1.14,0.8,1.12,1.0,0.0,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,14.8,14.8]","[0.8,0.8,0.8,0.8,3.8,3.8]",69.8478,68.2478,0.8,22.400000000000002,20.800000000000004,0.8,15.518634942853357,18.018634942853357,"[23789.512,23789.512,23789.512,23789.512,17360.737,12022.459]","[729.179,729.179,729.179,729.179,2300.748,2300.748]","[3102.98,3102.98,3102.98,3102.98,2264.444,1568.147]","[95.11,95.11,95.11,95.11,300.098,300.098]",14323.20691579209,24518.691668737236,1868.2443803207075,3198.0902176613786,1.1879160311433992,-0.012758786296519053,-0.012758786296519053,1.7967887074252265,0.0913182603269026,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.533725810203382e-18,2772.48580159213,2772.48580159213,[2772.486],fail,1712.3496022302859,False,False,moment_closure,False,True,False,pass,True,True,True,False,fail,False,False,False,ground_clearance; negative_margins:ground_clearance_margin_m=-0.0127587863,ground_clearance,ground_clearance_margin_m,-0.012758786296519053,"{""ei_dominance_margin_min_nm2"":7420.963047904704,""ei_ratio_margin_min"":3.225456760125784,""equivalent_buckling_margin"":0.8631960861049985,""equivalent_failure_margin"":0.6975440294065891,""equivalent_tip_margin"":1.3620839688566007,""equivalent_twist_margin"":1.8707593569061687,""ground_clearance_margin_m"":-0.012758786296519053,""jig_curvature_margin_per_m"":0.04423286982355515,""jig_prebend_margin_m"":2.229810236899299,""loaded_shape_main_z_margin_m"":0.025,""loaded_shape_twist_margin_deg"":0.15,""main_hollow_margin_min_m"":0.027098641646027242,""main_radius_taper_margin_min_m"":0.0,""main_thickness_ratio_margin_min_m"":0.021518913316821795,""main_thickness_step_margin_min_m"":0.003,""radius_dominance_margin_min_m"":0.011698641646027238,""rear_hollow_margin_min_m"":0.007300000000000002,""rear_inboard_ei_margin_min_nm2"":4028.723249110143,""rear_main_radius_ratio_margin_min_m"":0.011200000000000002,""rear_radius_taper_margin_min_m"":0.0,""rear_thickness_ratio_margin_min_m"":0.005160000000000001,""rear_thickness_step_margin_min_m"":0.0}",0.00016278662776024239,0.00016278662776024239,4.600721046146633,5,-0.011421769455900854,1.1501802615366583,1.0,3,0.05,0.0,19.218815204390015,"[19.218815204390015,18.018634942853357,4.600721046146633,1.0,1.7967887074252265]",analysis complete,force_z2p025_light_recipe_on_z2p000,2.025,15.518634942853357
2.025,target_main_tip_z_2p025m,-1,forced_recipe_test,coarse_grid,98560dca0ec4,"baseline_uniform|0.000000,0.000000,0.000000,0.000000,1.000000",baseline_uniform,Uniform baseline rib family,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,"[61.27,61.27,61.27,61.27,45.95,30.0]","[45.27,45.27,45.27,45.27,29.95,14.0]","[8.0,8.0,8.0,8.0,8.0,8.0]","[20.0,20.0,20.0,20.0,20.0,20.0]","[4.0,4.0,4.0,4.0,4.0,4.0]","[8.0,8.0,8.0,8.0,8.0,8.0]",61.27,45.27,8.0,20.0,4.0,8.0,77.01360725359352,79.51360725359352,"[111689.373,111689.373,111689.373,111689.373,41247.326,8711.259]","[1803.526,1803.526,1803.526,1803.526,1803.526,1803.526]","[14568.179,14568.179,14568.179,14568.179,5380.086,1136.251]","[235.242,235.242,235.242,235.242,235.242,235.242]",10514.784947858892,113492.89842424521,1371.4936888511597,14803.421533597202,-0.1020850822386167,0.0651858601168413,0.0651858601168413,0.11885153327799136,0.03218914970120035,0.0,0.0,0.0,0.0,2.220446049250313e-16,3.1646225226420967e-17,256.1675026408399,256.1675026408399,[256.168],fail,1365.735662229106,False,False,moment_closure,False,True,False,pass,True,True,True,True,pass,True,False,False,eligible_but_higher_objective_than_reported_selected,,radius_dominance_margin_min_m,-8.673617379884035e-19,"{""ei_dominance_margin_min_nm2"":5104.208416140407,""ei_ratio_margin_min"":2.8301282051282044,""equivalent_buckling_margin"":0.9144456101805281,""equivalent_failure_margin"":0.9531038100186565,""equivalent_tip_margin"":2.6520850822386164,""equivalent_twist_margin"":2.0003969715599164,""ground_clearance_margin_m"":0.0651858601168413,""jig_curvature_margin_per_m"":0.1033619804492574,""jig_prebend_margin_m"":3.907747411046534,""loaded_shape_main_z_margin_m"":0.025,""loaded_shape_twist_margin_deg"":0.15,""main_hollow_margin_min_m"":0.006999999999999999,""main_radius_taper_margin_min_m"":0.0,""main_thickness_ratio_margin_min_m"":0.004,""main_thickness_step_margin_min_m"":0.003,""radius_dominance_margin_min_m"":-8.673617379884035e-19,""rear_hollow_margin_min_m"":0.0019,""rear_inboard_ei_margin_min_nm2"":20534.34907216165,""rear_main_radius_ratio_margin_min_m"":0.01,""rear_radius_taper_margin_min_m"":0.0,""rear_thickness_ratio_margin_min_m"":0.0,""rear_thickness_step_margin_min_m"":0.003}",7.52316384526264e-37,7.52316384526264e-37,0.0,0,0.0724714455820354,0.0,0.6666666666666666,2,0.03333333333333333,0.0,79.54694058692685,"[79.54694058692685,79.51360725359352,0.0,0.6666666666666666,0.11885153327799136]",analysis complete,force_z2p000_heavy_recipe_on_z2p025,2.0,77.01360725359352
