cst_root_nsga2_g05_child_0019_00cc4dca
 1.00000000  0.00191994
 0.99961452  0.00204192
 0.99845867  0.00240432
 0.99653423  0.00299672
 0.99384417  0.00380258
 0.99039264  0.00480034
 0.98618496  0.00596491
 0.98122762  0.00726941
 0.97552826  0.00868704
 0.96909567  0.01019298
 0.96193977  0.01176612
 0.95407159  0.01339068
 0.94550326  0.01505740
 0.93624800  0.01676433
 0.92632008  0.01851724
 0.91573481  0.02032941
 0.90450850  0.02222104
 0.89265847  0.02421812
 0.88020298  0.02635097
 0.86716125  0.02865242
 0.85355339  0.03115581
 0.83940037  0.03389291
 0.82472402  0.03689178
 0.80954697  0.04017488
 0.79389263  0.04375736
 0.77778512  0.04764568
 0.76124928  0.05183665
 0.74431062  0.05631692
 0.72699525  0.06106289
 0.70932987  0.06604115
 0.69134172  0.07120926
 0.67305853  0.07651695
 0.65450850  0.08190764
 0.63572022  0.08732010
 0.61672268  0.09269029
 0.59754516  0.09795327
 0.57821723  0.10304495
 0.55876870  0.10790382
 0.53922955  0.11247243
 0.51962991  0.11669862
 0.50000000  0.12053651
 0.48037009  0.12394715
 0.46077045  0.12689893
 0.44123130  0.12936767
 0.42178277  0.13133650
 0.40245484  0.13279549
 0.38327732  0.13374123
 0.36427978  0.13417610
 0.34549150  0.13410771
 0.32694147  0.13354811
 0.30865828  0.13251316
 0.29067013  0.13102183
 0.27300475  0.12909567
 0.25568938  0.12675824
 0.23875072  0.12403472
 0.22221488  0.12095152
 0.20610737  0.11753600
 0.19045303  0.11381617
 0.17527598  0.10982053
 0.16059963  0.10557779
 0.14644661  0.10111675
 0.13283875  0.09646601
 0.11979702  0.09165375
 0.10734153  0.08670751
 0.09549150  0.08165383
 0.08426519  0.07651803
 0.07367992  0.07132383
 0.06375200  0.06609307
 0.05449674  0.06084540
 0.04592841  0.05559800
 0.03806023  0.05036538
 0.03090433  0.04515919
 0.02447174  0.03998811
 0.01877238  0.03485783
 0.01381504  0.02977110
 0.00960736  0.02472787
 0.00615583  0.01972551
 0.00346577  0.01475910
 0.00154133  0.00982177
 0.00038548  0.00490520
 0.00000000  0.00000000
 0.00038548 -0.00285901
 0.00154133 -0.00565003
 0.00346577 -0.00830697
 0.00615583 -0.01077027
 0.00960736 -0.01298972
 0.01381504 -0.01492667
 0.01877238 -0.01655558
 0.02447174 -0.01786481
 0.03090433 -0.01885661
 0.03806023 -0.01954630
 0.04592841 -0.01996082
 0.05449674 -0.02013655
 0.06375200 -0.02011676
 0.07367992 -0.01994873
 0.08426519 -0.01968078
 0.09549150 -0.01935937
 0.10734153 -0.01902642
 0.11979702 -0.01871711
 0.13283875 -0.01845813
 0.14644661 -0.01826656
 0.16059963 -0.01814944
 0.17527598 -0.01810396
 0.19045303 -0.01811819
 0.20610737 -0.01817248
 0.22221488 -0.01824111
 0.23875072 -0.01829433
 0.25568938 -0.01830048
 0.27300475 -0.01822815
 0.29067013 -0.01804819
 0.30865828 -0.01773541
 0.32694147 -0.01727000
 0.34549150 -0.01663855
 0.36427978 -0.01583455
 0.38327732 -0.01485852
 0.40245484 -0.01371772
 0.42178277 -0.01242547
 0.44123130 -0.01100024
 0.46077045 -0.00946451
 0.48037009 -0.00784352
 0.50000000 -0.00616407
 0.51962991 -0.00445328
 0.53922955 -0.00273764
 0.55876870 -0.00104207
 0.57821723  0.00061066
 0.59754516  0.00220035
 0.61672268  0.00370956
 0.63572022  0.00512363
 0.65450850  0.00643051
 0.67305853  0.00762048
 0.69134172  0.00868587
 0.70932987  0.00962069
 0.72699525  0.01042037
 0.74431062  0.01108147
 0.76124928  0.01160158
 0.77778512  0.01197922
 0.79389263  0.01221390
 0.80954697  0.01230622
 0.82472402  0.01225804
 0.83940037  0.01207270
 0.85355339  0.01175520
 0.86716125  0.01131237
 0.88020298  0.01075299
 0.89265847  0.01008783
 0.90450850  0.00932963
 0.91573481  0.00849289
 0.92632008  0.00759371
 0.93624800  0.00664944
 0.94550326  0.00567831
 0.95407159  0.00469907
 0.96193977  0.00373049
 0.96909567  0.00279100
 0.97552826  0.00189828
 0.98122762  0.00106888
 0.98618496  0.00031795
 0.99039264 -0.00034101
 0.99384417 -0.00089637
 0.99653423 -0.00133845
 0.99845867 -0.00165968
 0.99961452 -0.00185460
 1.00000000 -0.00191994
