spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,0,0.000000,4.15974899e-22,3.71127180e-23,-1.21391669e-22,1.35286456e-22,-1.56553897e-24,-1.51454493e-21
main,1,0.290952,-2.53206414e-05,2.52717276e-06,1.28777811e-04,-7.77774571e-04,-2.34852339e-02,-4.49312578e-04
main,2,0.581903,-3.73937787e-05,-8.62875731e-07,5.55269513e-04,-1.67885522e-03,-4.69722729e-02,-8.58898050e-04
main,3,0.872855,-4.48572490e-05,-1.09454923e-05,1.31324185e-03,-2.74539770e-03,-6.92071545e-02,-1.34567714e-03
main,4,1.163806,-8.96669402e-05,-2.92043044e-05,2.45862582e-03,-4.05019703e-03,-9.01891588e-02,-1.99618566e-03
main,5,1.454758,-3.01522918e-04,-5.82388943e-05,4.06848703e-03,-5.66581529e-03,-1.09908971e-01,-3.32656456e-03
main,6,1.745709,-2.75562149e-04,-8.67043626e-05,6.08943841e-03,-6.27180347e-03,-1.35483275e-01,-1.46005213e-03
main,7,2.036661,-8.96019916e-06,-1.17881064e-04,8.33118435e-03,-6.84002369e-03,-1.59744272e-01,-2.69728583e-03
main,8,2.327613,3.31455349e-05,-1.55321144e-04,1.07902289e-02,-7.44167213e-03,-1.82755350e-01,-3.97939100e-03
main,9,2.618564,-9.93425078e-05,-1.99007609e-04,1.34838884e-02,-8.14802364e-03,-2.04527705e-01,-4.82610757e-03
main,10,2.909516,2.47506915e-06,-2.72076785e-04,1.64574396e-02,-9.05343285e-03,-2.25119936e-01,-6.91831627e-03
main,11,3.200467,1.20157935e-04,-3.77685092e-04,1.97838602e-02,-1.02756524e-02,-2.44537684e-01,-9.04563297e-03
main,12,3.491419,2.53967652e-05,-5.01334911e-04,2.35630768e-02,-1.19070205e-02,-2.62766608e-01,-9.74432670e-03
main,13,3.782370,-3.82475093e-05,-6.45647734e-04,2.79215607e-02,-1.40175903e-02,-2.79769930e-01,-1.01136680e-02
main,14,4.073322,-9.57100966e-05,-8.16130157e-04,3.30060058e-02,-1.66768069e-02,-2.95523709e-01,-1.08975783e-02
main,15,4.364274,-3.78673510e-04,-1.02067827e-03,3.89831827e-02,-1.99535843e-02,-3.10007173e-01,-1.27714328e-02
main,16,4.655225,-3.55390664e-04,-1.24912102e-03,4.60024637e-02,-2.34149300e-02,-3.28086150e-01,-1.00781532e-02
main,17,4.946177,1.64883548e-05,-1.51471458e-03,5.41237482e-02,-2.72912119e-02,-3.44797365e-01,-1.16513554e-02
main,18,5.237128,1.00052057e-04,-1.82722063e-03,6.34744303e-02,-3.16484492e-02,-3.60308422e-01,-1.32462689e-02
main,19,5.528080,1.23385491e-05,-2.19109527e-03,7.42014225e-02,-3.65530130e-02,-3.74672501e-01,-1.39326940e-02
main,20,5.819032,-1.45573874e-04,-2.61163732e-03,8.64709879e-02,-4.20712326e-02,-3.87873994e-01,-1.47516317e-02
main,21,6.109983,-7.30476498e-05,-3.17060566e-03,1.00480506e-01,-4.83004390e-02,-3.99951058e-01,-1.76172597e-02
main,22,6.400935,3.22725179e-04,-3.97268719e-03,1.16464508e-01,-5.53965412e-02,-4.11100482e-01,-2.17993711e-02
main,23,6.691886,1.42151572e-04,-4.89588563e-03,1.34677360e-01,-6.34821543e-02,-4.21330190e-01,-2.27203619e-02
main,24,6.982838,5.31124095e-06,-5.95054844e-03,1.55414054e-01,-7.26216238e-02,-4.30549117e-01,-2.25414192e-02
main,25,7.273789,-2.65441226e-05,-7.15265547e-03,1.78987977e-01,-8.28783163e-02,-4.38692729e-01,-2.29344232e-02
main,26,7.564741,-2.05913289e-04,-8.52177423e-03,2.05730682e-01,-9.43143025e-02,-4.45757195e-01,-2.43804132e-02
main,27,7.855693,-2.15704825e-04,-1.00453159e-02,2.36036987e-01,-1.05724132e-01,-4.56842293e-01,-2.24777752e-02
main,28,8.146644,4.84179360e-05,-1.17323052e-02,2.69501120e-01,-1.15882918e-01,-4.66759402e-01,-2.36268940e-02
main,29,8.437596,9.97927295e-05,-1.35683626e-02,3.05765090e-01,-1.24849418e-01,-4.75677805e-01,-2.49582215e-02
main,30,8.728547,-6.90377924e-05,-1.55359932e-02,3.44488290e-01,-1.32682617e-01,-4.83638113e-01,-2.60579535e-02
main,31,9.019499,-2.72021612e-05,-1.78155188e-02,3.85366174e-01,-1.39506593e-01,-4.90630472e-01,-2.90889205e-02
main,32,9.310450,4.86729134e-04,-2.06455819e-02,4.28152193e-01,-1.45579988e-01,-4.96890840e-01,-3.38632616e-02
main,33,9.601402,2.99648595e-04,-2.35981254e-02,4.72634091e-01,-1.51093665e-01,-5.02494968e-01,-3.47497188e-02
main,34,9.892354,1.73080979e-04,-2.66560513e-02,5.18655530e-01,-1.56104572e-01,-5.07295532e-01,-3.41916201e-02
main,35,10.183305,2.54621990e-04,-2.98087029e-02,5.66076219e-01,-1.60668235e-01,-5.11189917e-01,-3.39486962e-02
main,36,10.474257,5.25281537e-04,-3.30479302e-02,6.14771610e-01,-1.64837714e-01,-5.14236039e-01,-3.34030909e-02
main,37,10.765208,3.39013961e-04,-3.64086691e-02,6.65266057e-01,-1.72463460e-01,-5.27144307e-01,-3.67614983e-02
main,38,11.056160,4.19629780e-05,-3.99100505e-02,7.17790827e-01,-1.78627967e-01,-5.38588744e-01,-3.58576176e-02
main,39,11.347111,7.82479200e-05,-4.35203549e-02,7.71933050e-01,-1.83442861e-01,-5.48265196e-01,-3.59459893e-02
main,40,11.638063,1.35567620e-04,-4.72165603e-02,8.27311191e-01,-1.87014061e-01,-5.56230524e-01,-3.69545279e-02
main,41,11.929015,-2.88340673e-05,-5.09770658e-02,8.83574301e-01,-1.89444448e-01,-5.62569656e-01,-3.84864661e-02
main,42,12.219966,4.38027773e-04,-5.52988893e-02,9.40477301e-01,-1.91054624e-01,-5.67553699e-01,-4.37914710e-02
main,43,12.510918,5.21112972e-04,-5.98853194e-02,9.97814772e-01,-1.92259906e-01,-5.71395436e-01,-4.63294630e-02
main,44,12.801869,4.25238741e-04,-6.45021160e-02,1.05547486e+00,-1.93250169e-01,-5.74088512e-01,-4.56015524e-02
main,45,13.092821,7.47438097e-04,-6.91394600e-02,1.11340519e+00,-1.94116166e-01,-5.75513201e-01,-4.38399611e-02
main,46,13.383773,2.41228110e-03,-7.37865229e-02,1.17157882e+00,-1.94939263e-01,-5.76091615e-01,-3.65852145e-02
main,47,13.674724,2.15811068e-03,-7.86005754e-02,1.23080597e+00,-2.00795010e-01,-5.91091352e-01,-5.99868602e-02
main,48,13.965676,2.68528898e-04,-8.35566567e-02,1.29155978e+00,-2.05220146e-01,-6.05643830e-01,-5.02803094e-02
main,49,14.256627,7.59828053e-04,-8.89269333e-02,1.35353489e+00,-2.08453288e-01,-6.16453854e-01,-5.23365878e-02
main,50,14.547579,1.13623976e-03,-9.45841851e-02,1.41637463e+00,-2.10686308e-01,-6.24613847e-01,-5.68815550e-02
main,51,14.838530,1.01895715e-03,-1.00298475e-01,1.47975871e+00,-2.12103473e-01,-6.30951272e-01,-5.70955922e-02
main,52,15.129482,1.02748346e-03,-1.06044124e-01,1.54347131e+00,-2.12888072e-01,-6.35392099e-01,-5.70480651e-02
main,53,15.420434,1.02080186e-03,-1.11807803e-01,1.60734854e+00,-2.13212592e-01,-6.38138864e-01,-5.79084881e-02
main,54,15.711385,1.41118325e-03,-1.17913466e-01,1.67143161e+00,-2.13239496e-01,-6.39463775e-01,-6.12201162e-02
main,55,16.002337,1.39512971e-03,-1.24063010e-01,1.73551518e+00,-2.13120823e-01,-6.40063502e-01,-6.16719496e-02
main,56,16.293288,1.35858477e-03,-1.30212302e-01,1.79955921e+00,-2.13003393e-01,-6.40026227e-01,-6.14809892e-02
main,57,16.584240,1.85571566e-03,-1.36653390e-01,1.86402030e+00,-2.12944135e-01,-6.39858923e-01,-6.31229073e-02
main,58,16.875191,1.99648135e-03,-1.43117923e-01,1.92849308e+00,-2.12922008e-01,-6.39745669e-01,-6.42501792e-02
main,59,17.166143,2.01603503e-03,-1.49587845e-01,1.99296254e+00,-2.12916975e-01,-6.39767898e-01,-6.40280122e-02
rear,0,0.000000,-8.75727720e-24,-4.02751204e-22,-1.70238201e-21,2.40003356e-21,1.46830610e-23,1.07002050e-22
rear,1,0.290952,1.01154855e-04,-2.31137786e-04,6.30828804e-03,-3.91047692e-02,-2.28089569e-02,-5.59033331e-04
rear,2,0.581903,1.35859410e-04,-6.59473357e-04,2.13885059e-02,-5.93011761e-02,-4.51994650e-02,-1.46538782e-03
rear,3,0.872855,1.27341196e-04,-1.16154430e-03,3.97253415e-02,-6.05115009e-02,-6.71892597e-02,-1.84716293e-03
rear,4,1.163806,1.28694333e-04,-1.61261099e-03,5.57809821e-02,-4.26587671e-02,-8.87618031e-02,-2.37096448e-03
rear,5,1.454758,5.38002729e-05,-1.89032764e-03,6.39951137e-02,-5.66581529e-03,-1.09908971e-01,-3.32656456e-03
rear,6,1.745709,-3.17046903e-04,-2.08245093e-03,6.69368318e-02,-1.00388538e-02,-1.29601001e-01,-2.22930086e-03
rear,7,2.036661,-3.32812602e-04,-2.30885410e-03,7.17564490e-02,-1.77022460e-02,-1.49350557e-01,-1.76904112e-03
rear,8,2.327613,-2.81699591e-04,-2.59697965e-03,7.94002333e-02,-2.85778093e-02,-1.69140140e-01,-2.65566559e-03
rear,9,2.618564,-3.31156055e-04,-2.97115827e-03,9.07915951e-02,-4.25862710e-02,-1.89002429e-01,-3.34956926e-03
rear,10,2.909516,-2.52299250e-04,-3.56896816e-03,1.06587845e-01,-5.66238776e-02,-2.09266085e-01,-5.84022058e-03
rear,11,3.200467,-2.15148370e-04,-4.40036215e-03,1.25966848e-01,-6.52273306e-02,-2.29753947e-01,-7.63198457e-03
rear,12,3.491419,-2.55615596e-04,-5.28888087e-03,1.46837986e-01,-6.59491464e-02,-2.50122949e-01,-7.88851406e-03
rear,13,3.782370,-2.29558744e-04,-6.14630105e-03,1.66894471e-01,-5.87028137e-02,-2.70294987e-01,-8.67948039e-03
rear,14,4.073322,-2.60001487e-04,-6.88928655e-03,1.83803837e-01,-4.33999227e-02,-2.90276809e-01,-9.76905714e-03
rear,15,4.364274,-6.70781926e-04,-7.43790186e-03,1.95207937e-01,-1.99535843e-02,-3.10007173e-01,-1.27714328e-02
rear,16,4.655225,-7.81469582e-04,-7.83383101e-03,2.01547402e-01,-1.09857717e-02,-3.21526774e-01,-6.69578720e-03
rear,17,4.946177,-4.01574150e-04,-8.16407329e-03,2.06402886e-01,-9.22290696e-03,-3.32853903e-01,-1.02564867e-02
rear,18,5.237128,-4.75587877e-04,-8.52666168e-03,2.11855824e-01,-1.45609791e-02,-3.44457762e-01,-1.06773326e-02
rear,19,5.528080,-4.97175995e-04,-8.98629392e-03,2.19960440e-01,-2.69088488e-02,-3.56232183e-01,-1.07749809e-02
rear,20,5.819032,-5.29566759e-04,-9.61952925e-03,2.32743754e-01,-4.61739499e-02,-3.68134766e-01,-1.16424774e-02
rear,21,6.109983,-4.77015923e-04,-1.05881331e-02,2.52019844e-01,-6.97474836e-02,-3.80545635e-01,-1.47899228e-02
rear,22,6.400935,-2.87190981e-04,-1.20854509e-02,2.78145478e-01,-9.03526299e-02,-3.93832387e-01,-1.88878649e-02
rear,23,6.691886,-4.14331505e-04,-1.38466227e-02,3.09235204e-01,-1.03227318e-01,-4.07180229e-01,-1.83744123e-02
rear,24,6.982838,-3.55497276e-04,-1.57437754e-02,3.43022836e-01,-1.08258787e-01,-4.20290967e-01,-1.90085651e-02
rear,25,7.273789,-3.74259843e-04,-1.76647520e-02,3.77207358e-01,-1.05326798e-01,-4.33187901e-01,-2.02861361e-02
rear,26,7.564741,-9.77692777e-04,-1.95009414e-02,4.09452930e-01,-9.43143025e-02,-4.45757195e-01,-2.43804132e-02
rear,27,7.855693,-1.20669863e-04,-2.11542084e-02,4.38083438e-01,-8.36536804e-02,-4.52464214e-01,-1.55642189e-02
rear,28,8.146644,7.47801546e-04,-2.27248661e-02,4.65094045e-01,-8.28576668e-02,-4.58462029e-01,-2.49998276e-02
rear,29,8.437596,4.64215782e-04,-2.43869868e-02,4.93331146e-01,-9.17620709e-02,-4.65215077e-01,-2.41851284e-02
rear,30,8.728547,4.12125994e-04,-2.62538443e-02,5.25603270e-01,-1.10250082e-01,-4.72150584e-01,-2.41599084e-02
rear,31,9.019499,5.35863935e-04,-2.86381649e-02,5.64491901e-01,-1.35396941e-01,-4.79144574e-01,-2.79808558e-02
rear,32,9.310450,8.32949898e-04,-3.18939310e-02,6.10889812e-01,-1.58309048e-01,-4.86320116e-01,-3.29729960e-02
rear,33,9.601402,7.05248779e-04,-3.55277886e-02,6.62794519e-01,-1.72862236e-01,-4.93690086e-01,-3.19314255e-02
rear,34,9.892354,8.28733276e-04,-3.93613844e-02,7.17752128e-01,-1.78908843e-01,-5.00761196e-01,-3.22720559e-02
rear,35,10.183305,9.43243282e-04,-4.32357121e-02,7.73262266e-01,-1.76287578e-01,-5.07596441e-01,-3.29853918e-02
rear,36,10.474257,1.03368381e-03,-4.69821447e-02,8.26778080e-01,-1.64837714e-01,-5.14236039e-01,-3.34030909e-02
rear,37,10.765208,1.79585415e-03,-5.03976232e-02,8.77814123e-01,-1.61211632e-01,-5.20572993e-01,-3.44338737e-02
rear,38,11.056160,2.04998582e-03,-5.37906749e-02,9.28271851e-01,-1.60530410e-01,-5.26821950e-01,-3.78055859e-02
rear,39,11.347111,2.00510433e-03,-5.72119275e-02,9.78989642e-01,-1.62661822e-01,-5.33383680e-01,-3.74162638e-02
rear,40,11.638063,2.09023332e-03,-6.07044185e-02,1.03077026e+00,-1.67491025e-01,-5.39949951e-01,-3.78618220e-02
rear,41,11.929015,2.06021689e-03,-6.43255050e-02,1.08438086e+00,-1.74895713e-01,-5.46516931e-01,-3.91598939e-02
rear,42,12.219966,2.50822173e-03,-6.86220419e-02,1.14060136e+00,-1.83161557e-01,-5.52292718e-01,-4.53616815e-02
rear,43,12.510918,2.59152458e-03,-7.33377368e-02,1.19916492e+00,-1.89841870e-01,-5.58053120e-01,-4.69100743e-02
rear,44,12.801869,2.66507602e-03,-7.81894979e-02,1.25936997e+00,-1.94116340e-01,-5.63904108e-01,-4.64446364e-02
rear,45,13.092821,3.03661089e-03,-8.31121095e-02,1.32049892e+00,-1.95863346e-01,-5.69689477e-01,-4.58814920e-02
rear,46,13.383773,4.99748985e-03,-8.80114444e-02,1.38179760e+00,-1.94939263e-01,-5.76091615e-01,-3.65852145e-02
rear,47,13.674724,3.80241290e-03,-9.28495834e-02,1.44177015e+00,-1.87388475e-01,-5.73113118e-01,-6.37373799e-02
rear,48,13.965676,1.77682406e-03,-9.75500570e-02,1.49969598e+00,-1.80904947e-01,-5.74052010e-01,-4.22215242e-02
