case_id,variant,zone,airfoil_id,local_Cl_max,local_Cl_mean,safe_clmax,usable_clmax,stall_margin_cl,stall_utilization
raw_best_tier2,raw,root,cst_root_nsga2_g04_child_0066_2124fc90,1.3947,1.3561666666666667,1.6264526456408352,1.8627251618231504,0.2317526456408352,0.8575103638818068
raw_best_tier2,raw,mid1,dae21,1.3686,1.32235,1.4414798757367877,1.657199861929764,0.07287987573678767,0.949440934304035
raw_best_tier2,raw,mid2,cst_mid2_nsga2_g01_child_0046_9585b968,1.1781,1.03766,1.2683406076723083,1.4648228974136759,0.09024060767230835,0.92885144012071
raw_best_tier2,raw,tip,cst_tip_nsga2_g04_child_0123_01770232,0.8322,0.5431818181818182,1.1653765979863882,1.350418442207098,0.3331765979863881,0.7141039226615055
raw_best_tier2,monotone,root,cst_root_nsga2_g04_child_0066_2124fc90,1.401,1.36245,1.6264526456408352,1.8627251618231504,0.22545264564083523,0.8613838243338434
raw_best_tier2,monotone,mid1,dae21,1.3732,1.3229333333333335,1.4414798757367877,1.657199861929764,0.06827987573678773,0.9526320992154763
raw_best_tier2,monotone,mid2,cst_mid2_nsga2_g01_child_0046_9585b968,1.1727,1.03082,1.2683406076723083,1.4648228974136759,0.0956406076723082,0.9245939086915853
raw_best_tier2,monotone,tip,cst_tip_nsga2_g04_child_0123_01770232,0.8284,0.5358636363636364,1.1653765979863882,1.350418442207098,0.3369765979863881,0.7108431741562018
raw_best_tier2,smooth_monotone,root,cst_root_nsga2_g04_child_0066_2124fc90,1.365,1.348283333333333,1.6264526456408352,1.8627251618231504,0.26145264564083526,0.8392497646079202
raw_best_tier2,smooth_monotone,mid1,dae21,1.3356,1.2917333333333332,1.4414798757367877,1.657199861929764,0.10587987573678781,0.926547794721956
raw_best_tier2,smooth_monotone,mid2,cst_mid2_nsga2_g01_child_0046_9585b968,1.1667,1.0343600000000002,1.2683406076723083,1.4648228974136759,0.1016406076723082,0.9198633182147801
raw_best_tier2,smooth_monotone,tip,cst_tip_nsga2_g04_child_0123_01770232,0.8496,0.5277545454545455,1.1653765979863882,1.350418442207098,0.31577659798638813,0.7290347184489486
conservative_best_tier2,raw,root,cst_root_nsga2_g05_child_0019_00cc4dca,1.3267,1.2511416666666668,1.6370153344478995,1.8744614827198884,0.3103153344478995,0.8104383459837555
conservative_best_tier2,raw,mid1,cst_mid1_nsga2_g05_child_0114_b5496e0b,1.3711,1.3483166666666666,1.7273495297174852,1.9748328107972057,0.35624952971748525,0.7937594426671993
