case_label,y_m,baseline_cl,updated_cl,delta_cl,baseline_lift_per_span_npm,updated_lift_per_span_npm,lift_ratio_updated_vs_baseline,root_bending_moment_baseline_nm,root_bending_moment_updated_nm,root_bending_moment_ratio_updated_vs_baseline
iteration_03,0.0,1.2989,1.184,-0.1149,41.95391313096582,38.24269239130305,0.9115405342982523,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,0.6893,1.2950838398182334,1.184,-0.11108383981823344,41.11864358592078,37.59232460543999,0.914240386526558,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,2.0637,1.3165523295649195,1.2501,-0.06645232956491953,40.35614760333792,38.322361943711996,0.9496040682669695,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,3.5729,1.3320705525606469,1.3062,-0.025870552560646853,39.20392436879148,38.44420651209599,0.980621382452715,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,5.2049,1.3393163636363636,1.3353,-0.004016363636363707,37.622912156121586,37.50929432315999,0.9969800893537927,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,6.5153,1.3367211657709797,1.3234,-0.013321165770979748,36.08780134463122,35.72951078267999,0.9900716987845941,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,7.5069,1.3247354858423304,1.2784,-0.04633548584233038,34.644478244765565,33.430360708799995,0.9649549481626553,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,8.4633,1.3113107813378302,1.2287,-0.08261078133783029,33.22220447498149,31.129672722983994,0.9370140607745248,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,9.4799,1.2860144578313253,1.177,-0.10901445783132524,31.4346128859252,28.767151630799994,0.9151425447863696,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,10.5432,1.2447973880597014,1.1209,-0.12389738805970141,29.23909435245962,26.324365105367992,0.9003139696477487,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,11.5425,1.1919627802690582,1.0532,-0.1387627802690583,26.923091979652988,23.787060732863996,0.8835189045463636,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,12.5664,1.0459044049131725,0.9022,-0.1437044049131725,22.640726889043385,19.511777090519995,0.8617999407060736,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,13.5972,0.8158102725366875,0.6713,-0.14451027253668747,16.851742430873955,13.852175583707995,0.8220025697953658,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,14.4523,0.672792130909091,0.5319,-0.14089213090909092,13.310707219530968,10.521831912371999,0.7904788031798328,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,15.1395,0.6198994960403168,0.4759,-0.1439994960403168,11.819758727078202,9.074045625083999,0.7677014256049088,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,15.6945,0.5758685594600884,0.4349,-0.1409685594600884,10.635528079818949,8.031866905655999,0.7551921113251132,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,16.124,0.5306693447293449,0.396,-0.1346693447293449,9.541452269785786,7.12007993664,0.7462260183585084,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,16.5077,0.46863223443223434,0.3503,-0.11833223443223434,8.201086988899776,6.1282400766839995,0.747247295996081,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,16.8292,0.37137774022211456,0.2823,-0.08907774022211457,6.336783661681731,4.812389362835999,0.7594372192215301,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,17.0446,0.2387267241379309,0.1851,-0.0536267241379309,4.002629443030006,3.099755056463999,0.7744296844320098,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,17.1526,0.07969871244635086,0.0655,-0.014198712446350861,1.3235324773723078,1.08695601234,0.8212537515497935,3409.3416120044362,3071.618302681195,0.9009417806258829
iteration_03,17.166143,0.0706,0.0655,-0.005099999999999993,1.1703265358933015,1.0857845340086578,0.9277620396600565,3409.3416120044362,3071.618302681195,0.9009417806258829
