station_index,y_m,main_x_m,rear_x_m,quarter_chord_x_m,elastic_axis_x_m,aero_chord_m,spar_separation_m,spar_sep_over_chord,spar_pair_delta_z_change_m,direct_spar_pair_rotation_deg,elastic_axis_quarter_chord_projection_deg,conservative_bounded_physical_projection_deg,bounded_projection_lever_m
0.0,8.5772817995e-23,0.314193274,0.8797411672,0.314193274,0.5969672206,1.256773096,0.5655478932,0.44999999999999996,0.0,0.0,0.0,0.0,0.9425798220000001
1.0,0.290948540252,0.311963155925,0.873316239485,0.3119367227778949,0.592639697705,1.2477468911115797,0.56135308356,0.4498933938916952,-0.0029447497513396537,-0.30055982550925686,-0.3005598255092573,-0.1802942319868346,0.9358101683336848
2.0,0.581902532716,0.309719207393,0.866961348417,0.30968012926928906,0.588340277905,1.2387205170771562,0.557242141024,0.44985300020609176,-0.014138863374633895,-1.4534496999929536,-1.4534496999929536,-0.8719046827616472,0.9290403878078672
3.0,0.872862908094,0.307470440947,0.860651993184,0.30742348625580385,0.5840612170655,1.2296939450232154,0.553181552237,0.44985303414383854,-0.027645911364275327,-2.861044931132375,-2.8610449311323762,-1.7169799234744574,0.9222704587674115
4.0,1.16383133279,0.305260658532,0.854332076605,0.30516678081307136,0.5797963675685001,1.2206671232522854,0.549071418073,0.4498125718419294,-0.03309493775197897,-3.4492943682063077,-3.449294368206308,-2.0703159097751267,0.9155003424392141
5.0,1.45481063444,0.303225261201,0.848091069453,0.30290999101039046,0.575658165327,1.2116399640415618,0.5448658082519999,0.44969283320313946,-0.024580725302752654,-2.5830535050875256,-2.5830535050875274,-1.5494465005145004,0.9087299730311713
6.0,1.74578902893,0.300941397932,0.842163766961,0.30065320824350017,0.5715525824465,1.2026128329740007,0.5412223690290001,0.4500387441322945,-0.0067854509240979355,-0.7182950196536144,-0.718295019653612,-0.43102856852440796,0.9019596247305005
7.0,2.0367700018,0.2984065012,0.835863633269,0.29839640547909924,0.5671350672345,1.193585621916397,0.537457132069,0.45028787394914305,0.009598900203136834,1.023184867996936,1.0231848679969369,0.614345417300096,0.8951892164372977
8.0,2.32775736816,0.296106223559,0.829490938132,0.2961395531277931,0.5627985808455,1.1845582125111724,0.533384714573,0.4502815555533276,0.017869374304474495,1.9187969139397243,1.9187969139397234,1.1522739696514925,0.8884186593833794
9.0,2.61875121593,0.29398887625,0.823224722018,0.2938826505076881,0.558606799134,1.1755306020307523,0.529235845768,0.45021018155863796,0.016762520071833792,1.8141263397831306,1.8141263397831324,1.0892170192156458,0.8816479515230642
10.0,2.90977439632,0.291586794446,0.816716195956,0.29158734249630414,0.554151495201,1.1663493699852165,0.52512940151,0.4502333649107694,0.009580919146696204,1.0452382428343812,1.0452382428343812,0.627512700438046,0.8747620274889124
11.0,3.20083072452,0.289138012941,0.810167820359,0.2892618639708556,0.54965291665,1.1570474558834225,0.521029807418,0.4503097991086167,0.0009040700193668205,0.09941723826760196,0.09941723826760196,0.059691447099636044,0.8677855919125669
12.0,3.491906324,0.28691322916,0.803701821584,0.28693623147195435,0.545307525372,1.1477449258878174,0.5167885924240001,0.4502643233419199,-0.0050261841681196184,-0.5572299089481777,-0.5572299089481745,-0.3345410764851227,0.860808694415863
13.0,3.78300405653,0.284655144971,0.797165221152,0.2846104221346631,0.5409101830615,1.1384416885386524,0.512510076181,0.4501856189392341,-0.005240701898789113,-0.585860941040356,-0.5858609410403592,-0.3516694007996235,0.8538312664039893
14.0,4.0741298017,0.282388382794,0.790686976603,0.28228438898230085,0.5365376796985,1.1291375559292034,0.508298593809,0.4501653418043516,0.000607943732733679,0.0685278178652266,0.06852781786522343,0.041131810617033804,0.8468531669469026
15.0,4.36529189886,0.280349954847,0.784599386309,0.2799580653852242,0.5324746705779999,1.1198322615408969,0.504249431462,0.4502901450331046,0.010184290733106532,1.157041569894605,1.1570415698946082,0.6947329511793044,0.8398741961556726
16.0,4.65648016535,0.278000606282,0.778217070347,0.2776315327007338,0.5281088383145001,1.1105261308029353,0.500216464065,0.4504319621037033,0.01929015360519684,2.208437879584543,2.20843787958454,1.3267547118121916,0.8328945981022015
17.0,4.94770812303,0.27529879713,0.771321389535,0.27530468289202703,0.5233100933325,1.1012187315681081,0.49602259240499996,0.4504305803976619,0.024724690641185765,2.853597678374185,2.853597678374185,1.7147032115733372,0.8259140486760811
18.0,5.23898595383,0.272889925477,0.764885333694,0.2729774346076359,0.5188876295855,1.0919097384305436,0.49199540821700005,0.4505824894685614,0.026066226578021434,3.0327310315199645,3.0327310315199614,1.823081970311835,0.8189323038229077
19.0,5.53031848161,0.270655808738,0.758398374988,0.27064974930593894,0.514527091863,1.0825989972237557,0.48774256625,0.4505292980141118,0.02393953853229891,2.809954982409844,2.809954982409844,1.688821406473847,0.8119492479178168
20.0,5.82171142956,0.26849822299,0.751924896027,0.2683215812598581,0.5102115595085,1.0732863250394324,0.483426673037,0.4504172481832739,0.019690063324126816,2.3323791549767376,2.3323791549767376,1.4012198831293983,0.8049647437795744
21.0,6.11325074211,0.266064466757,0.745268937057,0.26595900484389223,0.505666701907,1.063836019375569,0.4792044703,0.4504495632524971,0.014613708632887579,1.7467374834506735,1.7467374834506735,1.0492973255294686,0.7978770145316767
22.0,6.40504686313,0.263224240172,0.73829789185,0.2635353326804164,0.500761066011,1.0541413307216656,0.47507365167800003,0.4506735841130187,0.00956787039315618,1.153767400636454,1.153767400636454,0.6933565311226445,0.7906059980412492
23.0,6.69697177766,0.261000407125,0.731668398766,0.26111059075205156,0.4963344029455,1.0444423630082063,0.470667991641,0.45064046453016376,0.005953437121530236,0.7246905178959795,0.7246905178959795,0.435447999519896,0.7833317722561547
24.0,6.98903624622,0.258727400864,0.72483838505,0.25868468968141767,0.49178289295699995,1.0347387587256707,0.466110984186,0.45046247688647284,0.0039543888503687785,0.48607384042505686,0.4860738404250601,0.29194851215572387,0.776054069044253
25.0,7.28125697322,0.256331898585,0.718085521227,0.2562574907209078,0.48720870990599996,1.0250299628836312,0.461753622642,0.45047817074828433,0.0036109587880227,0.4480495032953548,0.4480495032953548,0.2691188674884408,0.7687724721627234
26.0,7.57365424442,0.25404955812,0.711909349892,0.25382882537605506,0.48297945400600006,1.0153153015042202,0.45785979177200004,0.4509533059273971,0.004484614755617067,0.5611789599296952,0.5611789599296952,0.3374275652942615,0.7614864761281652
27.0,7.86621751827,0.251646045689,0.704217469948,0.25139878120546444,0.47793175781850006,1.0055951248218578,0.45257142425900004,0.45005331975846,0.005264003227907654,0.6663955170219942,0.6663955170219942,0.3998962252000482,0.7541963436163933
28.0,8.15895381586,0.249019013834,0.696572795137,0.24896729989163566,0.4727959044855,0.9958691995665426,0.447553781303,0.44941020517333014,0.005909023470075769,0.7564285000975353,0.756428500097532,0.45327912911748774,0.7469018996749069
29.0,8.4518473304,0.246565517412,0.690097203495,0.24653451272650218,0.4683313604535,0.9861380509060087,0.44353168608300003,0.44976632397006466,0.00623840534734274,0.8058290773510639,0.8058290773510671,0.4832667808586209,0.7396035381795065
30.0,8.7448801413,0.244320548839,0.683384059615,0.24410056855931866,0.463852304227,0.9764022742372747,0.43906351077600003,0.4496748137123896,0.005844863148800311,0.762682851486501,0.7626828514864977,0.45729632569418466,0.7323017056779559
31.0,9.03824331793,0.241810257528,0.676368386581,0.2416136717292517,0.4590893220545,0.9664546869170068,0.43455812905299995,0.44964149373546075,0.004729850291737531,0.6235984106863652,0.6235984106863683,0.373870417696359,0.7248410151877551
32.0,9.33218947817,0.238703967553,0.668911298281,0.23904019019901987,0.453807632917,0.9561607607960795,0.43020733072800005,0.4499320076362665,0.0026557857448297195,0.35369778866281676,0.3536977886628199,0.21218833353259212,0.7171205705970596
33.0,9.62626640464,0.236361317427,0.66192161111,0.23646556381805273,0.4491414642685,0.9458622552722109,0.425560293683,0.4499178303298798,0.00147557460790404,0.19866481866830957,0.19866481866830957,0.1191774313011071,0.7093966914541582
34.0,9.92045559687,0.233944030002,0.654655293506,0.2338899545568888,0.44429966175400004,0.9355598182275552,0.420711263504,0.44968932537210665,0.000853128410347459,0.11618559933107485,0.11618559933107485,0.06966329286701031,0.7016698636706664
