y_m,main_x_m,rear_x_m,main_loaded_z_m,rear_loaded_z_m,elastic_twist_deg,trim_alpha_deg,base_incidence_deg,alpha_eff_deg
8.5772817995e-23,0.314193274,0.8797411672,0.0714391296181,0.0651858601168,0.0,-1.606662,0.0,-1.606662
0.290948540252,0.311963155925,0.873316239485,0.08020630747159839,0.06499557309265873,-0.3005596017044414,-1.606662,0.0,-1.9072216017044414
0.581902532716,0.309719207393,0.866961348417,0.09068843519390628,0.04940123652917238,-1.4534454655352993,-1.606662,0.0,-3.0601074655352996
0.872862908094,0.307470440947,0.860651993184,0.10258319565219956,0.029860999373424228,-2.861021805412473,-1.606662,0.0,-4.467683805412474
1.16383133279,0.305260658532,0.854332076605,0.1155996980318569,0.02232443606647794,-3.4492531358902334,-1.606662,0.0,-5.055915135890233
1.45481063444,0.303225261201,0.848091069453,0.129399080021236,0.03827181198548335,-2.582999196495699,-1.606662,0.0,-4.189661196495699
1.74578902893,0.300941397932,0.842163766961,0.1437496359586649,0.06996258023266697,-0.7182065070613404,-1.606662,0.0,-2.3248685070613404
2.0367700018,0.2984065012,0.835863633269,0.15848431649627573,0.09879166383651258,1.0232940689190573,-1.606662,0.0,-0.5833679310809428
2.32775736816,0.296106223559,0.829490938132,0.1732229687399418,0.11672000980261632,1.918923703392244,-1.606662,0.0,0.3122617033922439
2.61875121593,0.29398887625,0.823224722018,0.18770989883349912,0.12131696852743293,1.814294060496639,-1.606662,0.0,0.20763206049663907
2.90977439632,0.291586794446,0.816716195956,0.20494338787516092,0.11811341327785713,1.0454809310834041,-1.606662,0.0,-0.5611810689165959
3.20083072452,0.289138012941,0.810167820359,0.2243053178754409,0.11206291394980772,0.09976101413005285,-1.606662,0.0,-1.5069009858699471
3.491906324,0.28691322916,0.803701821584,0.2433315549905006,0.10738221233778099,-0.5567798284911413,-1.606662,0.0,-2.163441828491141
3.78300405653,0.284655144971,0.797165221152,0.2620666496785026,0.1096488507117135,-0.5853370747417866,-1.606662,0.0,-2.1919990747417866
4.0741298017,0.282388382794,0.790686976603,0.28045739586872465,0.12176766829655833,0.06910830548919747,-1.606662,0.0,-1.5375536945108026
