case_name,incidence_offset_source,incidence_offset_deg_added_to_all_sections,relative_twist_preserved,loaded_z_preserved,chord_preserved,airfoil_assignment_preserved,AVL_alpha0_CL_after_offset,AVL_alpha0_CDi_after_offset,VSPAERO_alpha0_CL_after_offset,VSPAERO_alpha0_CDi_after_offset,VSPAERO_base_offset_to_hit_CL_req_deg,AVL_vs_VSPAERO_offset_delta_deg,cruise_vsp3,cruise_avl
policy_A_performance_candidate,AVL_alpha0_calibrated_to_CL_req,4.6331022294302215,True,True,True,True,1.16857,0.01239,1.120565801008,0.01203179148,5.110167565339105,0.47706533590888345,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/cruise_normalized/policy_A_performance_candidate/policy_A_performance_candidate_cruise_normalized.vsp3,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/cruise_normalized/policy_A_performance_candidate/policy_A_performance_candidate_cruise_normalized.avl
policy_C_conservative_baseline,AVL_alpha0_calibrated_to_CL_req,4.225158461452208,True,True,True,True,1.16876,0.01241,1.093316143422,0.011451157519,4.974091388787308,0.7489329273350993,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/cruise_normalized/policy_C_conservative_baseline/policy_C_conservative_baseline_cruise_normalized.vsp3,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/cruise_normalized/policy_C_conservative_baseline/policy_C_conservative_baseline_cruise_normalized.avl
