case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.016110597391137,0.27458,1.24157,1.2475331163762722,0.04252846463714978,-0.17815846691004963,1.5488996912992883,1.0,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.04833120543739996,0.82373,1.20796,1.267660655994707,0.041102194259707354,-0.18267236409794632,1.5312833660153662,0.9886265551069064,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.08055181348366293,1.37288,1.17436,1.285488365451381,0.039820245665759015,-0.1868584646371498,1.5096261168514837,0.9746442105525503,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.11277242152992588,1.92203,1.14076,1.302482854800214,0.03871160209877085,-0.1911800735546202,1.4858203414418922,0.9592747353416526,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.14499361631219987,2.47119,1.10716,1.3199128525273143,0.03801956858570303,-0.1959249874990508,1.4613547138041412,0.9434792465987837,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.18022535356712024,3.07166,1.07893,1.329824546363904,0.037280840099595376,-0.20017532490262885,1.4347875978084068,0.9263269957816578,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.21846880676670907,3.72346,1.05606,1.3334555631204381,0.03675761999175469,-0.204269984089701,1.4082090819889699,0.9091673850149066,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.2567122599662979,4.37526,1.03318,1.3377631050117729,0.03639880658652756,-0.2087212533306935,1.3821500848360635,0.8923431856821228,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.29495571316588665,5.02706,1.01031,1.3425760703622551,0.03594778982999365,-0.21352913262560635,1.35641802964769,0.8757300664898863,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.33319916636547553,5.67886,0.98744,1.3476210692258053,0.035848976424766525,-0.21866692700139972,1.330694948596329,0.8591227411764031,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.36941720685495416,6.29614,0.97179,1.342437764198845,0.03552126469519278,-0.22240141635023292,1.3045675948707955,0.8422544095005043,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.4036092478983116,6.87889,0.96336,1.330645900524016,0.03544346804649957,-0.22496599061818556,1.2818910347288162,0.8276139777996256,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.43780128894166903,7.46164,0.95494,1.319226070362255,0.03554456972215296,-0.2276149715887518,1.2597817436317318,0.8133397861129206,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.47199332998502647,8.04439,0.94651,1.3062294603083349,0.03589897642476653,-0.23001285088366463,1.236359246476442,0.7982177628554674,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.506185957764395,8.62715,0.93809,1.2900238670109483,0.03646338312738009,-0.2317507301785775,1.2101584894043005,0.7813020405402521,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.5413660622503438,9.22674,0.93491,1.2554564949578524,0.03508567139780635,-0.22780318601434288,1.1737388317010458,0.7577887956814425,linearly_interpolated_to_CL_req
