selected_role,assignment,status,selected_airfoil_avl,selected_airfoil_fs,alpha_deg,CL,CDi,e_CDi,profile_cd,CD0_total,CD_total,P_crank,P_crank_conservative,stall_margin_min,max_station_utilization,actual_query_quality,profile_source_quality,profile_warning_count,drag_budget_band
raw_best,root:fx76mp140|mid1:dae31|mid2:cst_mid2_nsga2_g01_child_0046_9585b968|tip:cst_tip_nsga2_g01_child_0118_60ecf404,selected_assignment_avl_rerun_ok,/Volumes/Samsung SSD/hpa-mdo/output/go_mode_main_wing_candidate/current_avl_compromise_conservative_closed_tier2_airfoil/runs/raw_best/raw_best_loaded_shape_airfoils.avl,/Volumes/Samsung SSD/hpa-mdo/output/go_mode_main_wing_candidate/current_avl_compromise_conservative_closed_tier2_airfoil/runs/raw_best/avl_run/concept_spanwise.fs,-1.81186,1.16853,0.0159535,0.7561,0.02130332297192351,0.025193202330719738,0.04114670233071974,276.1036626941469,281.4562420422888,-3.107402959763442,1.162258071479939,actual_loaded_shape_query_warning_not_mission_grade,"mixed_not_mission_grade:full_polar_candidate_not_mission_grade,full_polar_candidate_not_mission_grade|query_warning_not_mission_grade,full_polar_mission_grade_candidate",9,over_budget
conservative_best,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,selected_assignment_avl_rerun_ok,/Volumes/Samsung SSD/hpa-mdo/output/go_mode_main_wing_candidate/current_avl_compromise_conservative_closed_tier2_airfoil/runs/conservative_best/conservative_best_loaded_shape_airfoils.avl,/Volumes/Samsung SSD/hpa-mdo/output/go_mode_main_wing_candidate/current_avl_compromise_conservative_closed_tier2_airfoil/runs/conservative_best/avl_run/concept_spanwise.fs,0.18015,1.16853,0.0127613,0.9564,0.009368851143241826,0.013258730502038055,0.026020030502038057,174.60027944116567,178.8818396527458,1.5893102910548056,0.8946382706464376,actual_loaded_shape_query_pass,full_polar_mission_grade_candidate,0,target
