policy_id,policy_name,assignment_label,audit_avl_file_path,sref_m2,bref_m,cref_m,section_index,section_y_m,eta,section_z_m,chord_m,twist_incidence_deg,mapped_zone,expected_airfoil_id,afile_path,afile_basename,selected_airfoil_path_for_zone,afile_matches_selected_path,loaded_tip_z_m_from_avl_summary,max_section_z_m,min_section_z_m,section_z_matches_loaded_shape_tip,loaded_shape_mode,loaded_shape_source,profile_drag_cl_source_shape_mode,profile_drag_cl_source_loaded_shape,trim_cl,cl_required,trim_aoa_deg,e_CDi
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,0,0,0,0,1.258585,2,root,cst_root_nsga2_g05_child_0019_00cc4dca,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g05_child_0019_00cc4dca.dat,cst_root_nsga2_g05_child_0019_00cc4dca.dat,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g05_child_0019_00cc4dca.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,1,2.746583,0.160000007,0.067125043,1.090554,2.325706,root,cst_root_nsga2_g05_child_0019_00cc4dca,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g05_child_0019_00cc4dca.dat,cst_root_nsga2_g05_child_0019_00cc4dca.dat,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g05_child_0019_00cc4dca.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,2,6.00815,0.349999997,0.196697708,0.976172,2.428723,mid1,cst_mid1_nsga2_g06_child_0001_a86879e2,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_mid1_nsga2_g06_child_0001_a86879e2.dat,cst_mid1_nsga2_g06_child_0001_a86879e2.dat,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_mid1_nsga2_g06_child_0001_a86879e2.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,3,8.926394,0.519999979,0.358575604,0.934043,2.037253,mid1,cst_mid1_nsga2_g06_child_0001_a86879e2,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_mid1_nsga2_g06_child_0001_a86879e2.dat,cst_mid1_nsga2_g06_child_0001_a86879e2.dat,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_mid1_nsga2_g06_child_0001_a86879e2.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,4,12.0163,0.699999994,0.577352682,0.944285,1.210103,mid2,clarkysm,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,clarkysm.dat,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,5,14.076237,0.819999985,0.750330425,0.969772,0.612353,tip,clarkysm,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,clarkysm.dat,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,6,15.449529,0.900000017,0.877726872,0.84878,0.294483,tip,clarkysm,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,clarkysm.dat,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,7,16.307836,0.950000009,0.962262733,0.655765,0.095815,tip,clarkysm,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,clarkysm.dat,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,transient_audit_rerun_not_persisted:phase6_avl_geometry_envelope_audit/_audit_sidecar_rerun_tmp/avl_cases/airfoil_sidecar_shadow_34.332_0.5132_sample_0007_combo_92/concept_wing.avl,33.420058,34.332286,0.985106048,8,17.166143,1,1.05058164,0.645934,0.016347,tip,clarkysm,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,clarkysm.dat,/Volumes/Samsung SSD/hpa-mdo/data/airfoils/clarkysm.dat,True,1.05058164,1.05058164,0,True,concept_dihedral_fields,avl_section_z_from_wing_station_dihedral,loaded_dihedral_avl,True,1.16853,1.16853099,4.4223,0.985598464
