case_label,y_m,baseline_cl,updated_cl,delta_cl,baseline_lift_per_span_npm,updated_lift_per_span_npm,lift_ratio_updated_vs_baseline,root_bending_moment_baseline_nm,root_bending_moment_updated_nm,root_bending_moment_ratio_updated_vs_baseline
iteration_03,0.0,1.2989,1.2111,-0.08779999999999988,41.95391313096582,39.118010772894536,0.9324043421356534,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,0.6893,1.2950838398182334,1.2111,-0.08398383981823332,41.11864358592078,38.452757035176,0.9351659899681712,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,2.0637,1.3165523295649195,1.3582,0.04164767043508055,40.35614760333792,41.636214696383995,1.0317192588754482,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,3.5729,1.3320705525606469,1.4297,0.09762944743935309,39.20392436879148,42.07907062497599,1.073338225763778,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,5.2049,1.3393163636363636,1.374,0.03468363636363647,37.622912156121586,38.596398112799996,1.025874816724415,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,6.5153,1.3367211657709797,1.307,-0.02972116577097972,36.08780134463122,35.28673915139999,0.9778024106932632,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,7.5069,1.3247354858423304,1.2421,-0.08263548584233038,34.644478244765565,32.4811100097,0.9375551792184247,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,8.4633,1.3113107813378302,1.1798,-0.13151078133783023,33.22220447498149,29.890769006735994,0.8997226246453848,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,9.4799,1.2860144578313253,1.1192,-0.1668144578313253,31.4346128859252,27.35445718367999,0.8702018148894687,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,10.5432,1.2447973880597014,1.0566,-0.18819738805970143,29.23909435245962,24.814277964431994,0.848667802952816,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,11.5425,1.1919627802690582,0.9837,-0.2082627802690582,26.923091979652988,22.217367682223998,0.8252160524138415,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,12.5664,1.0459044049131725,0.8297,-0.2162044049131725,22.640726889043385,17.943827812019997,0.7925464540055744,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,13.5972,0.8158102725366875,0.5971,-0.2187102725366875,16.851742430873955,12.321069627635994,0.7311451428941053,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,14.4523,0.672792130909091,0.4572,-0.21559213090909096,13.310707219530968,9.044146550735999,0.6794640135623604,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,15.1395,0.6198994960403168,0.4011,-0.2187994960403168,11.819758727078202,7.647824543435999,0.6470372805424017,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,15.6945,0.5758685594600884,0.3621,-0.21376855946008844,10.635528079818949,6.687374124023998,0.628776876318288,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,16.124,0.5306693447293449,0.327,-0.2036693447293449,9.541452269785786,5.879459947679999,0.61620178788695,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,16.5077,0.46863223443223434,0.288,-0.18063223443223436,8.201086988899776,5.038347536639999,0.6143511882582681,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,16.8292,0.37137774022211456,0.2313,-0.14007774022211456,6.336783661681731,3.9429885215159994,0.6222381466735385,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,17.0446,0.2387267241379309,0.1513,-0.0874267241379309,4.002629443030006,2.533727390831999,0.633015728009525,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,17.1526,0.07969871244635086,0.0536,-0.026098712446350862,1.3235324773723078,0.8894785078079999,0.6720488714972355,3409.3416120044362,2941.198514629767,0.8626881226198285
iteration_03,17.166143,0.0706,0.0536,-0.016999999999999994,1.1703265358933015,0.8885198629444895,0.7592067988668555,3409.3416120044362,2941.198514629767,0.8626881226198285
