station_index,y_m,main_x_m,rear_x_m,quarter_chord_x_m,elastic_axis_x_m,aero_chord_m,spar_separation_m,spar_sep_over_chord,spar_pair_delta_z_change_m,direct_spar_pair_rotation_deg,elastic_axis_quarter_chord_projection_deg,conservative_bounded_physical_projection_deg,bounded_projection_lever_m
0.0,8.5772817995e-23,0.314193274,0.8797411672,0.314193274,0.5969672206,1.256773096,0.5655478932,0.44999999999999996,0.0,0.0,0.0,0.0,0.9425798220000001
1.0,0.290948540252,0.311963155925,0.873316239485,0.3119367227778949,0.592639697705,1.2477468911115797,0.56135308356,0.4498933938916952,-0.002506039258137971,-0.25578289872102195,-0.2557828987210218,-0.1534340343931146,0.9358101683336848
2.0,0.581902532716,0.309719207393,0.866961348417,0.30968012926928906,0.588340277905,1.2387205170771562,0.557242141024,0.44985300020609176,-0.014177284135576805,-1.4573975839606275,-1.4573975839606275,-0.8742736177956297,0.9290403878078672
3.0,0.872862908094,0.307470440947,0.860651993184,0.30742348625580385,0.5840612170655,1.2296939450232154,0.553181552237,0.44985303414383854,-0.027813086881443905,-2.87831673559972,-2.87831673559972,-1.7273562728136607,0.9222704587674115
4.0,1.16383133279,0.305260658532,0.854332076605,0.30516678081307136,0.5797963675685001,1.2206671232522854,0.549071418073,0.4498125718419294,-0.029918402774118016,-3.118910670761163,-3.1189106707611653,-1.8717506499725238,0.9155003424392141
5.0,1.45481063444,0.303225261201,0.848091069453,0.30290999101039046,0.575658165327,1.2116399640415618,0.5448658082519999,0.44969283320313946,-0.013242775228411954,-1.3922800221258673,-1.3922800221258673,-0.8349030485543314,0.9087299730311713
6.0,1.74578902893,0.300941397932,0.842163766961,0.30065320824350017,0.5715525824465,1.2026128329740007,0.5412223690290001,0.4500387441322945,0.014983933151500095,1.5858488769151362,1.5858488769151378,0.9517467765652464,0.9019596247305005
7.0,2.0367700018,0.2984065012,0.835863633269,0.29839640547909924,0.5671350672345,1.193585621916397,0.537457132069,0.45028787394914305,0.039526795214629235,4.206193428641597,4.206193428641598,2.528234734035864,0.8951892164372977
8.0,2.32775736816,0.296106223559,0.829490938132,0.2961395531277931,0.5627985808455,1.1845582125111724,0.533384714573,0.4502815555533276,0.05077458148816416,5.437781096737553,5.437781096737553,3.2709893834806536,0.8884186593833794
9.0,2.61875121593,0.29398887625,0.823224722018,0.2938826505076881,0.558606799134,1.1755306020307523,0.529235845768,0.45021018155863796,0.047109566964709554,5.086737904777243,5.0867379047772445,3.0586073516014194,0.8816479515230642
10.0,2.90977439632,0.291586794446,0.816716195956,0.29158734249630414,0.554151495201,1.1663493699852165,0.52512940151,0.4502333649107694,0.03358036834372402,3.6589024209802115,3.6589024209802092,2.198391167683676,0.8747620274889124
11.0,3.20083072452,0.289138012941,0.810167820359,0.2892618639708556,0.54965291665,1.1570474558834225,0.521029807418,0.4503097991086167,0.01756275286901124,1.9305819899228824,1.9305819899228824,1.1594272472657692,0.8677855919125669
12.0,3.491906324,0.28691322916,0.803701821584,0.28693623147195435,0.545307525372,1.1477449258878174,0.5167885924240001,0.4502643233419199,0.005877462802517747,0.6515997055824186,0.6515997055824186,0.3912002539887079,0.860808694415863
