component,station_index,y_m,main_x_m,rear_x_m,quarter_chord_x_m,elastic_axis_x_m,aero_chord_m,spar_separation_m,spar_sep_over_chord,spar_pair_delta_z_change_m,direct_spar_pair_rotation_deg,elastic_axis_quarter_chord_projection_deg,conservative_bounded_physical_projection_deg,bounded_projection_lever_m
aerodynamic_torque_only,1.0,0.290948540252,0.311963155925,0.873316239485,0.3119367227778949,0.592639697705,1.2477468911115797,0.56135308356,0.4498933938916952,0.0042359430887541905,0.43234296188789445,0.43234296188789445,0.25934747440202655,0.9358101683336848
aerodynamic_torque_only,2.0,0.581902532716,0.309719207393,0.866961348417,0.30968012926928906,0.588340277905,1.2387205170771562,0.557242141024,0.44985300020609176,0.010676717641135418,1.097648536105413,1.0976485361054131,0.6584255533845552,0.9290403878078672
aerodynamic_torque_only,3.0,0.872862908094,0.307470440947,0.860651993184,0.30742348625580385,0.5840612170655,1.2296939450232154,0.553181552237,0.44985303414383854,0.017832920601275587,1.846405325999673,1.8464053259996733,1.1077268814101826,0.9222704587674115
aerodynamic_torque_only,4.0,1.16383133279,0.305260658532,0.854332076605,0.30516678081307136,0.5797963675685001,1.2206671232522854,0.549071418073,0.4498125718419294,0.02835539101551915,2.956267996223001,2.9562679962229996,1.7740299465859883,0.9155003424392141
aerodynamic_torque_only,5.0,1.45481063444,0.303225261201,0.848091069453,0.30290999101039046,0.575658165327,1.2116399640415618,0.5448658082519999,0.44969283320313946,0.04362189656610235,4.577330855101905,4.577330855101905,2.748267955051769,0.9087299730311713
aerodynamic_torque_only,6.0,1.74578902893,0.300941397932,0.842163766961,0.30065320824350017,0.5715525824465,1.2026128329740007,0.5412223690290001,0.4500387441322945,0.060151253573488314,6.3418057978140645,6.341805797814065,3.815378383721405,0.9019596247305005
aerodynamic_torque_only,7.0,2.0367700018,0.2984065012,0.835863633269,0.29839640547909924,0.5671350672345,1.193585621916397,0.537457132069,0.45028787394914305,0.0722122174573018,7.652377010162242,7.652377010162242,4.611891793547757,0.8951892164372977
aerodynamic_torque_only,8.0,2.32775736816,0.296106223559,0.829490938132,0.2961395531277931,0.5627985808455,1.1845582125111724,0.533384714573,0.4502815555533276,0.07661486182966226,8.174000271896192,8.17400027189619,4.928841346646637,0.8884186593833794
aerodynamic_torque_only,9.0,2.61875121593,0.29398887625,0.823224722018,0.2938826505076881,0.558606799134,1.1755306020307523,0.529235845768,0.45021018155863796,0.0730001544164968,7.8535371205073385,7.85353712050734,4.733274244823992,0.8816479515230642
aerodynamic_torque_only,10.0,2.90977439632,0.291586794446,0.816716195956,0.29158734249630414,0.554151495201,1.1663493699852165,0.52512940151,0.4502333649107694,0.06298229072263978,6.839198395582275,6.839198395582273,4.1181522197457845,0.8747620274889124
aerodynamic_torque_only,11.0,3.20083072452,0.289138012941,0.810167820359,0.2892618639708556,0.54965291665,1.1570474558834225,0.521029807418,0.4503097991086167,0.04963153983111028,5.4413840380539265,5.4413840380539265,3.273369864782014,0.8677855919125669
aerodynamic_torque_only,12.0,3.491906324,0.28691322916,0.803701821584,0.28693623147195435,0.545307525372,1.1477449258878174,0.5167885924240001,0.4502643233419199,0.03661099092948775,4.052250009107315,4.052250009107315,2.435374836030871,0.860808694415863
aerodynamic_torque_only,13.0,3.78300405653,0.284655144971,0.797165221152,0.2846104221346631,0.5409101830615,1.1384416885386524,0.512510076181,0.4501856189392341,0.02621822581007298,2.928499167091239,2.928499167091233,1.7588039641966038,0.8538312664039893
aerodynamic_torque_only,14.0,4.0741298017,0.282388382794,0.790686976603,0.28228438898230085,0.5365376796985,1.1291375559292034,0.508298593809,0.4501653418043516,0.019082938617839357,2.1500326833768435,2.1500326833768373,1.2908812046552283,0.8468531669469026
aerodynamic_torque_only,15.0,4.36529189886,0.280349954847,0.784599386309,0.2799580653852242,0.5324746705779999,1.1198322615408969,0.504249431462,0.4502901450331046,0.014714755185158496,1.671502481568308,1.6715024815683142,1.003730230000784,0.8398741961556726
aerodynamic_torque_only,16.0,4.65648016535,0.278000606282,0.778217070347,0.2776315327007338,0.5281088383145001,1.1105261308029353,0.500216464065,0.4504319621037033,0.01224372672309973,1.4021406156910852,1.402140615691082,0.8421994132230242,0.8328945981022015
aerodynamic_torque_only,17.0,4.94770812303,0.27529879713,0.771321389535,0.27530468289202703,0.5233100933325,1.1012187315681081,0.49602259240499996,0.4504305803976619,0.011354833893150285,1.3113726316453804,1.311372631645377,0.7876643764658126,0.8259140486760811
aerodynamic_torque_only,18.0,5.23898595383,0.272889925477,0.764885333694,0.2729774346076359,0.5188876295855,1.0919097384305436,0.49199540821700005,0.4505824894685614,0.011756726046009525,1.3688798738710166,1.368879873871023,0.8224910764570053,0.8189323038229077
aerodynamic_torque_only,19.0,5.53031848161,0.270655808738,0.758398374988,0.27064974930593894,0.514527091863,1.0825989972237557,0.48774256625,0.4505292980141118,0.012426620662381371,1.4594562184922595,1.4594562184922564,0.8768249203087802,0.8119492479178168
aerodynamic_torque_only,20.0,5.82171142956,0.26849822299,0.751924896027,0.2683215812598581,0.5102115595085,1.0732863250394324,0.483426673037,0.4504172481832739,0.012921065618089811,1.5310415219113687,1.5310415219113656,0.9196166155552515,0.8049647437795744
aerodynamic_torque_only,21.0,6.11325074211,0.266064466757,0.745268937057,0.26595900484389223,0.505666701907,1.063836019375569,0.4792044703,0.4504495632524971,0.012377561696729322,1.4795863579165534,1.479586357916547,0.8887649992866659,0.7978770145316767
aerodynamic_torque_only,22.0,6.40504686313,0.263224240172,0.73829789185,0.2635353326804164,0.500761066011,1.0541413307216656,0.47507365167800003,0.4506735841130187,0.010245890858769868,1.235503818386894,1.235503818386894,0.742485439743771,0.7906059980412492
aerodynamic_torque_only,23.0,6.69697177766,0.261000407125,0.731668398766,0.26111059075205156,0.4963344029455,1.0444423630082063,0.470667991641,0.45064046453016376,0.008700529865327766,1.0590201150326826,1.0590201150326826,0.6363627268892708,0.7833317722561547
aerodynamic_torque_only,24.0,6.98903624622,0.258727400864,0.72483838505,0.25868468968141767,0.49178289295699995,1.0347387587256707,0.466110984186,0.45046247688647284,0.007506335298451294,0.9226218064495542,0.9226218064495509,0.5541726251811437,0.776054069044253
aerodynamic_torque_only,25.0,7.28125697322,0.256331898585,0.718085521227,0.2562574907209078,0.48720870990599996,1.0250299628836312,0.461753622642,0.45047817074828433,0.006560505210622902,0.8139924672497316,0.8139924672497316,0.48893547749538835,0.7687724721627234
aerodynamic_torque_only,26.0,7.57365424442,0.25404955812,0.711909349892,0.25382882537605506,0.48297945400600006,1.0153153015042202,0.45785979177200004,0.4509533059273971,0.005899888733534364,0.7382609746968162,0.7382609746968194,0.44391065474344205,0.7614864761281652
aerodynamic_torque_only,27.0,7.86621751827,0.251646045689,0.704217469948,0.25139878120546444,0.47793175781850006,1.0055951248218578,0.45257142425900004,0.45005331975846,0.004870838957819812,0.6166269570657166,0.6166269570657102,0.3700291539755092,0.7541963436163933
aerodynamic_torque_only,28.0,8.15895381586,0.249019013834,0.696572795137,0.24896729989163566,0.4727959044855,0.9958691995665426,0.447553781303,0.44941020517333014,0.004496761205403904,0.5756554407759621,0.5756554407759621,0.3449480122708362,0.7469018996749069
aerodynamic_torque_only,29.0,8.4518473304,0.246565517412,0.690097203495,0.24653451272650218,0.4683313604535,0.9861380509060087,0.44353168608300003,0.44976632397006466,0.005058530397875738,0.6534366891896195,0.6534366891896195,0.39186930314260066,0.7396035381795065
aerodynamic_torque_only,30.0,8.7448801413,0.244320548839,0.683384059615,0.24410056855931866,0.463852304227,0.9764022742372747,0.43906351077600003,0.4496748137123896,0.005712679063625076,0.7454364207753315,0.7454364207753347,0.4469547977025011,0.7323017056779559
aerodynamic_torque_only,31.0,9.03824331793,0.241810257528,0.676368386581,0.2416136717292517,0.4590893220545,0.9664546869170068,0.43455812905299995,0.44964149373546075,0.005543100079754698,0.7308090569652593,0.7308090569652561,0.4381513219629038,0.7248410151877551
aerodynamic_torque_only,32.0,9.33218947817,0.238703967553,0.668911298281,0.23904019019901987,0.453807632917,0.9561607607960795,0.43020733072800005,0.4499320076362665,0.003548414294129193,0.47257342722223966,0.4725734272222365,0.28350532964276975,0.7171205705970596
aerodynamic_torque_only,33.0,9.62626640464,0.236361317427,0.66192161111,0.23646556381805273,0.4491414642685,0.9458622552722109,0.425560293683,0.4499178303298798,0.002960795545475403,0.3986235421105374,0.39862354211054063,0.23913292207780265,0.7093966914541582
aerodynamic_torque_only,34.0,9.92045559687,0.233944030002,0.654655293506,0.2338899545568888,0.44429966175400004,0.9355598182275552,0.420711263504,0.44968932537210665,0.002790275417683341,0.3799961516419187,0.379996151641925,0.22784242375231517,0.7016698636706664
aerodynamic_torque_only,35.0,10.2147453808,0.231268035094,0.647378488049,0.23131346462124405,0.43932326157150003,0.9252538584849762,0.416110452955,0.4497257148825568,0.002598149764553692,0.35774415303701096,0.35774415303701096,0.21451744528783628,0.6939403938637322
aerodynamic_torque_only,36.0,10.5091260236,0.228247818014,0.639961941241,0.22873617922147893,0.4341048796275,0.9149447168859157,0.4117141232270001,0.44998797810243724,0.0020372680903299467,0.28351203916893986,0.28351203916895257,0.1701035675822486,0.6862085376644368
aerodynamic_torque_only,37.0,10.8036453866,0.225822650033,0.631925389779,0.22615767933443395,0.42887401990600005,0.9046307173377358,0.40610273974600003,0.4489154877927776,0.0015212135110001523,0.21462230546581454,0.21462230546581454,0.1284634215145786,0.6784730380033018
aerodynamic_torque_only,38.0,11.0983166214,0.223782480708,0.624677057848,0.2235778498186163,0.424229769278,0.8943113992744652,0.40089457714,0.4482717960044306,0.0017180345293631438,0.2455396770110543,0.2455396770110543,0.14675859347468387,0.670733549455849
aerodynamic_torque_only,39.0,11.3931052182,0.221228536683,0.617565122626,0.22099699280531718,0.41939682965450004,0.8839879712212687,0.39633658594300003,0.4483506550382619,0.0017155530887866532,0.2480047039020412,0.2480047039020476,0.14825802362051949,0.6629909784159516
aerodynamic_torque_only,40.0,11.6879904018,0.218588860303,0.610336986941,0.21841529018020372,0.414462923622,0.8736611607208149,0.391748126638,0.4483982397875944,0.0017940087019973072,0.2623839183829869,0.2623839183829869,0.15687068749980831,0.6552458705406112
aerodynamic_torque_only,41.0,11.9829528247,0.216218616889,0.603256040888,0.21583291132951282,0.4097373288885,0.8633316453180513,0.387037423999,0.4483067730668154,0.0026205454769085423,0.3879312236871138,0.3879312236871075,0.23188520408317964,0.6474987339885385
aerodynamic_torque_only,42.0,12.2785247168,0.213032255191,0.595282106163,0.2130834011237983,0.404157180677,0.8523336044951932,0.38224985097200004,0.44847445760207116,0.0012065284334154824,0.18084704899356155,0.18084704899356155,0.108140606989596,0.6392502033713949
aerodynamic_torque_only,43.0,12.5743928982,0.210218047915,0.587554258096,0.21031053854080786,0.3988861530055,0.8412421541632314,0.37733621018100005,0.4485464836891461,0.0005985488804427508,0.09088525032342668,0.09088525032343304,0.05435504188470923,0.6309316156224236
aerodynamic_torque_only,44.0,12.8703070195,0.207606433078,0.579838481201,0.2075372454112504,0.3937224571395,0.8301489816450016,0.37223204812300004,0.44839186260928093,0.0010019345576546823,0.15422230071580847,0.15422230071581483,0.09220284264886727,0.6226117362337512
aerodynamic_torque_only,45.0,13.1662557972,0.204554776466,0.571794852781,0.2047636274835536,0.3881748146235,0.8190545099342144,0.36724007631499994,0.4483707395060877,0.0011762913535082742,0.18352109123037438,0.18352109123037438,0.10971422429319663,0.6142908824506608
aerodynamic_torque_only,46.0,13.4622273057,0.200147394995,0.562111083304,0.20198979652387575,0.3811292391495,0.807959186095503,0.36196368830899994,0.44799749113343806,8.72726477814112e-05,0.013814519106170566,0.013814519106176927,0.008251826637264125,0.6059693895716273
aerodynamic_torque_only,47.0,13.7583403946,0.19777474858,0.555884959174,0.19921463867939473,0.376829853877,0.7968585547175789,0.35811021059400006,0.4494024798678616,0.0009226235980256958,0.1476146720242294,0.1476146720242421,0.08845132500011677,0.5976439160381842
