y_m,main_x_m,rear_x_m,main_loaded_z_m,rear_loaded_z_m,elastic_twist_deg,trim_alpha_deg,base_incidence_deg,alpha_eff_deg
8.5772817995e-23,0.314193274,0.8797411672,0.0714391296181,0.0651858601168,0.0,-2.508123,0.0,-2.508123
0.290948540252,0.311963155925,0.873316239485,0.07995662859597119,0.06518460471023321,-0.2557825087101543,-2.508123,0.0,-2.7639055087101543
0.581902532716,0.309719207393,0.866961348417,0.08975380305311995,0.04842818362744314,-1.457390315228202,-2.508123,0.0,-3.965513315228202
0.872862908094,0.307470440947,0.860651993184,0.10057180201788087,0.02768243022193696,-2.8782777068888548,-2.508123,0.0,-5.386400706888855
1.16383133279,0.305260658532,0.854332076605,0.11215570015049907,0.02205697316298105,-3.11884312872753,-2.508123,0.0,-5.626966128727529
1.45481063444,0.303225261201,0.848091069453,0.12420300043027942,0.044413682468867455,-1.392194511794857,-2.508123,0.0,-3.900317511794857
1.74578902893,0.300941397932,0.842163766961,0.1365630268836321,0.08454535523323217,1.5859647089635114,-2.508123,0.0,-0.9221582910364885
2.0367700018,0.2984065012,0.835863633269,0.14914722634189226,0.11938246869362151,4.206294157649252,-2.508123,0.0,1.6981711576492518
2.32775736816,0.296106223559,0.829490938132,0.16162748623700218,0.13802973448336636,5.437878619079375,-2.508123,0.0,2.929755619079375
2.61875121593,0.29398887625,0.823224722018,0.17384349919164235,0.13779761577845193,5.086909281009846,-2.508123,0.0,2.578786281009846
2.90977439632,0.291586794446,0.816716195956,0.1889212607389435,0.12609073533866752,3.659249650023726,-2.508123,0.0,1.151126650023726
3.20083072452,0.289138012941,0.810167820359,0.2062889302479894,0.11070520917200063,1.931196587789229,-2.508123,0.0,-0.5769264122107709
3.491906324,0.28691322916,0.803701821584,0.22351736099559666,0.0984716653135144,0.6525143265670273,-2.508123,0.0,-1.8556086734329726
3.78300405653,0.284655144971,0.797165221152,0.24074808878258322,0.0960898701068914,0.28272324941177557,-2.508123,0.0,-2.2253997505882244
4.0741298017,0.282388382794,0.790686976603,0.25797352064839296,0.10598001977170944,0.8245244326865426,-2.508123,0.0,-1.6835985673134573
4.36529189886,0.280349954847,0.784599386309,0.2750072839122245,0.12706048765860653,1.8960785553876192,-2.508123,0.0,-0.6120444446123807
4.65648016535,0.278000606282,0.778217070347,0.2918841938470996,0.153691447823051,2.9145277125097073,-2.508123,0.0,0.40640471250970744
4.94770812303,0.27529879713,0.771321389535,0.30848696127125297,0.1785869324346947,3.4942438856072124,-2.508123,0.0,0.9861208856072126
5.23898595383,0.272889925477,0.764885333694,0.32432741059547454,0.19916905389752448,3.610553769440103,-2.508123,0.0,1.1024307694401032
5.53031848161,0.270655808738,0.758398374988,0.339210280445017,0.21399141700591806,3.334429241626432,-2.508123,0.0,0.826306241626432
5.82171142956,0.26849822299,0.751924896027,0.35291098693999057,0.22240693992390204,2.826387662200979,-2.508123,0.0,0.31826466220097904
6.11325074211,0.266064466757,0.745268937057,0.3677935842986557,0.22595389520374243,2.2011568569931343,-2.508123,0.0,-0.30696614300686553
6.40504686313,0.263224240172,0.73829789185,0.38596254334589125,0.22702635980331917,1.5245518706828585,-2.508123,0.0,-0.9835711293171414
6.69697177766,0.261000407125,0.731668398766,0.40229586315766175,0.2253191825157883,1.0589555206142809,-2.508123,0.0,-1.449167479385719
6.98903624622,0.258727400864,0.72483838505,0.4172102993053774,0.2238706126306857,0.8011793001447853,-2.508123,0.0,-1.7069436998552145
7.28125697322,0.256331898585,0.718085521227,0.43085395577125224,0.2254754317109505,0.7445735965296094,-2.508123,0.0,-1.7635494034703905
7.57365424442,0.25404955812,0.711909349892,0.44312741002236544,0.23237685262584362,0.8375775787156368,-2.508123,0.0,-1.6705454212843631
7.86621751827,0.251646045689,0.704217469948,0.4539958698382087,0.24484532599206116,0.8930801109670421,-2.508123,0.0,-1.6150428890329578
8.15895381586,0.249019013834,0.696572795137,0.463733158770096,0.26088308232293705,0.9613129733374786,-2.508123,0.0,-1.5468100266625213
