route,n_span,n_circumference,applied_torque_n_m,theory_theta_rad,fem_theta_rad,theta_error_pct,section_force_torque_root_n_m,section_force_torque_error_pct,max_von_mises_pa,status,note
shell_fem_tip_torque,32,64,100.0,0.046792010256783714,0.010833385637749025,76.84778752120734,,,7833414.546077591,WARN,Gmsh shell FEM twist compared against theta = T L / GJ.
calculix_b32r_pipe_section_forces,20,,100.0,0.046792010256783714,,,99.9994,0.0006000000000057071,,PASS,B32R PIPE section forces compared against the applied tip torque.
