mesh_id,length_m,outer_radius_m,wall_thickness_m,d_over_t,n_span,n_circumference,element_count,reference_load_factor,reference_compressive_stress_mpa,reference_axial_force_n,first_positive_buckle_factor,shell_critical_stress_mpa,shell_buckle_load_factor,classical_knockdown_sigma_cr_mpa,classical_knockdown_buckle_load_factor,ccx_to_classical_critical_stress_ratio,ccx_vs_classical_critical_stress_delta_pct,internal_estimate_buckle_load_factor,utilization_at_3g,runtime_s,ccx_returncode,status,deck_path,dat_path,log_path,note
coupon_rib_bay_0p30m,0.3,0.0349239,0.0008,87.30975,64,96,6144,2.0,358.07735455343374,62139.32933885426,7.713269,2761.946958479009,15.426538,2693.439163438219,15.043895567186969,1.0254350630861617,2.5435063086161724,12.396386726547641,0.19447007488005408,4.36658895900473,0,PASS_DIRECTIONAL,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_rib_bay_0p30m/candidate_local_wall_coupon_coupon_rib_bay_0p30m.inp,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_rib_bay_0p30m/candidate_local_wall_coupon_coupon_rib_bay_0p30m.dat,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_rib_bay_0p30m/candidate_local_wall_coupon_coupon_rib_bay_0p30m.log,Stress-calibrated shell coupon is above the 3G to 4G exploration range.
coupon_mid_0p60m,0.6,0.0349239,0.0008,87.30975,96,96,9216,2.0,358.07735455343374,62139.32933885426,6.388905,2287.722200893206,12.77781,2693.439163438219,15.043895567186969,0.8493684327263182,-15.063156727368177,12.396386726547641,0.23478201663665368,6.5683504161424935,0,PASS_DIRECTIONAL,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_mid_0p60m/candidate_local_wall_coupon_coupon_mid_0p60m.inp,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_mid_0p60m/candidate_local_wall_coupon_coupon_mid_0p60m.dat,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_mid_0p60m/candidate_local_wall_coupon_coupon_mid_0p60m.log,Stress-calibrated shell coupon is above the 3G to 4G exploration range.
coupon_long_1p50m,1.5,0.0349239,0.0008,87.30975,160,96,15360,2.0,358.07735455343374,62139.32933885426,3.322155,1189.5884738164625,6.64431,2693.439163438219,15.043895567186969,0.44166153442943684,-55.83384655705632,12.396386726547641,0.4515141527111167,11.18305966607295,0,PASS_DIRECTIONAL,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_long_1p50m/candidate_local_wall_coupon_coupon_long_1p50m.inp,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_long_1p50m/candidate_local_wall_coupon_coupon_long_1p50m.dat,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_local_wall_coupon/coupon_long_1p50m/candidate_local_wall_coupon_coupon_long_1p50m.log,Stress-calibrated shell coupon is above the 3G to 4G exploration range.
