mesh_id,n_span,n_circumference,node_count,element_count,reference_load_factor,reference_load_main_fz_n,reference_wire_fx_n,reference_wire_fy_n,reference_wire_fz_n,static_root_rf_x_n,static_root_rf_y_n,static_root_rf_z_n,first_positive_buckle_factor,shell_buckle_load_factor,utilization_at_3g,utilization_at_4g,runtime_s,ccx_returncode,status,deck_path,dat_path,log_path,note
coarse,60,48,2928,2880,2.0,823.225000753,0.05668491525362131,-2919.5979201994555,-788.062354661157,-0.05687648,2919.598,-35.94727,1974.532,3949.064,0.0007596736847009823,0.0010128982462679764,2.5436315000988543,0,UNTRUSTED_FOR_LOCAL_WALL,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_candidate_shell/coarse/candidate_main_spar_shell_buckle_coarse.inp,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_candidate_shell/coarse/candidate_main_spar_shell_buckle_coarse.dat,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_candidate_shell/coarse/candidate_main_spar_shell_buckle_coarse.log,"CalculiX ran, but the full main-spar-only shell eigenvalue is far above the internal/local-wall scale because the simplified wire-supported load path does not reproduce the candidate compressive stress state."
medium,96,64,6208,6144,2.0,823.225000753,0.05668491525362131,-2919.5979201994555,-788.062354661157,-0.05710357,2919.598,-35.96051,33701.08,67402.16,4.450895935679212e-05,5.9345279142389496e-05,5.106734666973352,0,UNTRUSTED_FOR_LOCAL_WALL,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_candidate_shell/medium/candidate_main_spar_shell_buckle_medium.inp,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_candidate_shell/medium/candidate_main_spar_shell_buckle_medium.dat,/Volumes/Samsung SSD/hpa-mdo/output/phase17_candidate_shell_buckling_tip_review/_ccx_candidate_shell/medium/candidate_main_spar_shell_buckle_medium.log,"CalculiX ran, but the full main-spar-only shell eigenvalue is far above the internal/local-wall scale because the simplified wire-supported load path does not reproduce the candidate compressive stress state."
