zone,airfoil,point,Re,cl_target,clean_clmax,rough_clmax,raw_clmax_mode,safe_clmax,utilization,required_utilization_limit,pass_fail,status,robust_pass_rate,mean_cd,mean_cm,tc,cm_pass,tc_pass,zone_worst_utilization,zone_worst_margin,clean_clmax_lower_bound_count,rough_clmax_lower_bound_count
root,FX 76-MP-140,1,544484.883643,1.155754,1.806955110286937,1.6950352444245687,min,1.5194324248706033,0.7606485034031213,0.75,fail,ok,1.0,0.03061208934735435,-0.20670910093237566,0.14065094222638733,False,True,0.9015307147447871,-0.15153071474478708,0,0
root,FX 76-MP-140,2,452335.598667,1.369815,1.806955110286937,1.6950352444245687,min,1.5194324248706033,0.9015307147447871,0.75,fail,ok,1.0,0.03061208934735435,-0.20670910093237566,0.14065094222638733,False,True,0.9015307147447871,-0.15153071474478708,0,0
root,DAE11,1,544484.883643,1.155754,1.6105438603155033,1.5357956643046287,min,1.3729320111602583,0.8418144457301114,0.75,fail,ok,1.0,0.03268365274501699,-0.12535298609758433,0.1287436849720296,True,False,0.9977296682319876,-0.2477296682319876,0,0
root,DAE11,2,452335.598667,1.369815,1.6105438603155033,1.5357956643046287,min,1.3729320111602583,0.9977296682319876,0.75,fail,ok,1.0,0.03268365274501699,-0.12535298609758433,0.1287436849720296,True,False,0.9977296682319876,-0.2477296682319876,0,0
root,DAE21,1,544484.883643,1.155754,1.6148709308444404,1.5983447401304558,min,1.4304771609200193,0.8079499845049398,0.75,fail,ok,1.0,0.02868638012211168,-0.14309578221796895,0.11817758812909968,True,False,0.9575930587518056,-0.20759305875180556,0,1
root,DAE21,2,452335.598667,1.369815,1.6148709308444404,1.5983447401304558,min,1.4304771609200193,0.9575930587518056,0.75,fail,ok,1.0,0.02868638012211168,-0.14309578221796895,0.11817758812909968,True,False,0.9575930587518056,-0.20759305875180556,0,1
root,DAE31,1,544484.883643,1.155754,1.6389970518452603,1.6241214643294162,min,1.454191747183063,0.7947741432578123,0.75,fail,ok,1.0,0.02599636356874476,-0.1533079857363174,0.11089577573807295,True,False,0.9419768766075653,-0.19197687660756535,0,0
root,DAE31,2,452335.598667,1.369815,1.6389970518452603,1.6241214643294162,min,1.454191747183063,0.9419768766075653,0.75,fail,ok,1.0,0.02599636356874476,-0.1533079857363174,0.11089577573807295,True,False,0.9419768766075653,-0.19197687660756535,0,0
root,DAE41,1,544484.883643,1.155754,1.3601824182940618,1.3815903197939883,min,1.2113678248305368,0.9540900594430788,0.75,fail,ok,1.0,0.04369519795630665,-0.03314756085026072,0.11700965321870367,True,False,1.130800217672637,-0.38080021767263705,0,1
root,DAE41,2,452335.598667,1.369815,1.3601824182940618,1.3815903197939883,min,1.2113678248305368,1.130800217672637,0.75,fail,ok,1.0,0.04369519795630665,-0.03314756085026072,0.11700965321870367,True,False,1.130800217672637,-0.38080021767263705,0,1
