scale,zone,rank,source,candidate_id,score,cd_mission,safe_clmax,usable_clmax,cm,robust_pass_rate,tc,max_thickness_x,camber,te_thickness,hard_gate_pass,hard_gate_notes,artifact_suspicion,artifact_notes,upper_coefficients,lower_coefficients
smoke,root,1,seedless,seedless_sobol_0004,12.305325509004765,0.012143481401282087,1.3770297602923003,1.5402497394481525,-0.10286860281293261,1.0,0.14666651892451443,0.36415094339622645,0.053910360190473766,0.0038842560909688475,False,stall margin -0.245 at reference_avl_case,low,no immediate artifact trigger,"[0.21442734212614595, 0.29903344326697107, 0.3126065218821168, 0.48308513231340894, 0.19672081163886748, 0.2003363329948159, 0.08138252526833117]","[-0.09283061500638723, 0.06279385767713652, -0.1578197733592242, -0.004768056516405189, -0.06308937365472876, 0.0846107080534799, 0.08483713683922682]"
smoke,root,2,seedless,seedless_sobol_0118,12.309141981086443,0.010902320573344844,0.44122062942253554,0.5230659015462342,-0.11304603254256856,1.0,0.1517293980287698,0.27358490566037735,0.0192256209102402,0.0010903494022786618,False,stall margin -2.355 at reference_avl_case,medium,polar target mismatch dCL=0.847,"[0.08886380791664124, 0.2722079220966343, 0.3628147527575494, 0.07888848274855781, 0.1784093719970882, 0.04819863773147203, 0.36216057149593905]","[-0.18023294609040022, -0.20648604958354125, -0.1327339301072061, -0.1595632257429026, 0.01510115052745864, -0.019197682249519045, 0.243690468979422]"
smoke,root,3,seedless,seedless_sobol_0183,12.400850493426665,0.012415746560970723,1.3101712930757254,1.4675774924736147,-0.10948699084325406,1.0,0.15764567892126896,0.27358490566037735,0.0588109508269891,0.0002351188585162163,False,stall margin -0.296 at reference_avl_case,low,no immediate artifact trigger,"[0.27288659843616186, 0.23579488540526294, 0.38517097719013693, 0.3123302891442301, 0.4927473812994063, 0.11304464978087601, 0.11089976597296447]","[-0.087067045904696, -0.24900644017543366, -0.08094142593443393, 0.10073219473064876, 0.01963802608860843, -0.029953265290882436, 0.04086485550696589]"
smoke,root,4,seedless,seedless_sobol_0228,12.417417860445358,0.012574736593642858,1.6475197455661423,1.8342605930066764,-0.12565543787762257,1.0,0.15008592086512199,0.27358490566037735,0.049755660284139934,0.0034960841350257397,False,stall margin -0.081 at reference_avl_case,medium,cm -0.126 near trim penalty region,"[0.2074603694025427, 0.4122922108043414, 0.2789812337607146, 0.40443729324578775, 0.10309102608508058, 0.15928369143885376, 0.38902746656854076]","[-0.1956904762238264, -0.009004185011560084, -0.09816025685518981, -0.04018597515621594, 0.005404355389356602, -0.03417723575372901, 0.23461500602070898]"
smoke,root,5,seedless,seedless_sobol_0689,12.579357464716823,0.06895952488597921,0.932740945081409,1.057327114218923,-0.05978345689508039,1.0,0.14665752102863105,0.33999999999999997,0.011638549888174617,0.0038990636430680753,False,stall margin -0.719 at reference_avl_case,medium,polar target mismatch dCL=0.313,"[0.06475685904733837, 0.13061136666728, 0.38074421724304564, 0.13657475039321557, 0.2045407392741367, 0.023768652648455464, 0.22030819600164145]","[-0.16260986540466546, -0.14605881592370198, -0.19462680770084262, -0.19753362325080298, -0.04958840972560459, -0.03922932042056415, 0.16221025845426415]"
smoke,root,6,seedless,seedless_sobol_0410,12.701486259909265,0.04546230933211788,1.0495821208352754,1.1843283922122558,-0.07220382367909828,1.0,0.15588644106115218,0.32792452830188684,0.03279230659852507,0.0010568952113389968,False,stall margin -0.555 at reference_avl_case,medium,polar target mismatch dCL=0.186,"[0.14770664991810917, 0.32098658287213744, 0.23406708110123875, 0.4790565297698351, 0.05216077414562925, 0.11934509845043999, 0.10956332308068127]","[-0.021904754899442186, -0.2073038328502225, -0.06916162019595504, -0.14642658432708494, -0.09205760467584431, 0.05594342206355557, 0.07466102090612799]"
smoke,root,7,seedless,seedless_sobol_0633,12.840011122971207,0.09646410118321327,1.1229396219177357,1.2640648064323214,-0.07930279407073215,1.0,0.15864958607786667,0.3822641509433962,0.056769903586902246,0.0036902265958487987,False,stall margin -0.470 at reference_avl_case,medium,polar target mismatch dCL=0.162,"[0.09833692708052695, 0.23279433604625988, 0.25888906195759775, 0.4654295360314111, 0.5078512074005157, 0.19376542492521742, 0.2129419871840626]","[-0.10640039935708046, -0.27507242463740894, -0.06789880014955998, 0.04160670086021723, -0.0996452876990065, 0.03759248671312257, 0.0008948908047853033]"
smoke,root,8,seedless,seedless_sobol_0531,12.931993845236379,0.02036267754392594,1.4268401343519548,1.5943914503825596,-0.1284406529635494,1.0,0.1403197217310121,0.3822641509433962,0.031352364250696346,0.003324741743505001,False,stall margin -0.210 at reference_avl_case,medium,cm -0.128 near trim penalty region,"[0.2005384773481637, 0.19013447767707148, 0.12232770444825293, 0.41721461968632695, 0.2091467297290098, 0.18576956793323812, 0.40208525572249665]","[-0.19209312226623296, -0.09032354766972736, -0.1752616743836552, -0.1492114077000078, -0.09768910702670366, 0.11101200670715142, 0.24468734612600693]"
smoke,root,9,seedless,seedless_sobol_0066,13.048212152842414,0.03262217937838284,1.0503985447489639,1.1852158095097434,-0.1010105892287965,1.0,0.1579600838253657,0.28566037735849054,0.04570055908385508,0.0022269519604742527,False,stall margin -0.554 at reference_avl_case,medium,polar target mismatch dCL=0.185,"[0.11826675706543029, 0.3762436662726272, 0.26589620308950546, 0.42190359337583466, 0.19072433439484238, 0.009801390418694355, 0.3404211828319542]","[-0.07882241744548082, -0.14734426572925785, -0.2399099464341998, 0.16033104447012209, -0.0923931218913421, 0.16187260959579144, 0.01660799329113122]"
smoke,root,10,seedless,seedless_sobol_0599,13.141089550679425,0.03132547401375519,1.3725423408294855,1.5353721095972668,-0.1102901738529484,1.0,0.15808642487521501,0.4184905660377359,0.03954632774339646,0.0017006309553980828,False,stall margin -0.248 at reference_avl_case,low,no immediate artifact trigger,"[0.2821591442450881, 0.1854265854705237, 0.22481494108214978, 0.3542715129623758, 0.45485114680769856, 0.25997144123393484, 0.18658026007810236]","[-0.04723153606057165, -0.21948210071196037, -0.05488225543871522, -0.1777766976671517, -0.15265742778203079, 0.12182861500808223, 0.19296182392855643]"
