scale,zone,rank,source,candidate_id,score,cd_mission,safe_clmax,usable_clmax,cm,robust_pass_rate,tc,max_thickness_x,camber,te_thickness,hard_gate_pass,hard_gate_notes,artifact_suspicion,artifact_notes,upper_coefficients,lower_coefficients
smoke,root,1,historical,historical_fx_76_mp_140,12.268494846824668,0.01025858999618028,1.6252084901482136,1.8100092284219713,-0.204880968943289,1.0,0.14065094222638733,0.33999999999999997,0.07137887341191147,0.0013431665447503434,False,stall margin -0.093 at reference_avl_case; cm hard violation 0.045,high,cm -0.205 beyond hard trim bound,"[0.23301299854745341, 0.3944892918898967, 0.3178358432723802, 0.3318967269890555, 0.5890016566030203, 0.24918850987612287, 0.4032921405891458]","[-0.14754597303720343, 0.03646318702383326, -0.08561591372601535, 0.11206655926626428, -0.04917849131044409, 0.0821116818868548, 0.2526767452967249]"
smoke,root,2,historical,historical_dae11,14.708657371112222,0.010633411691466192,1.437725905283756,1.606223810091039,-0.12531394229267445,1.0,0.1287436849720296,0.33396226415094343,0.06559988106768246,0.00011226098954160031,False,stall margin -0.203 at reference_avl_case; t/c 0.129 < 0.140,medium,cm -0.125 near trim penalty region,"[0.19737701009795397, 0.41291431279827223, 0.15841869213574894, 0.5554488718314399, 0.28199789864981123, 0.2564227899435916, 0.1439457985581465]","[-0.13107216336757468, 0.08657108765848358, -0.18264125892810834, 0.2323623698319708, -0.14273382631297132, 0.17874302955174595, 0.005850194751067552]"
smoke,root,3,historical,historical_dae21,16.158382657046523,0.009641635780290406,1.4424536153636887,1.6113626253953137,-0.14276372509309343,1.0,0.11817758812909968,0.309811320754717,0.06727493569717714,1e-09,False,stall margin -0.200 at reference_avl_case; t/c 0.118 < 0.140,medium,cm -0.143 near trim penalty region,"[0.24062440897704498, 0.31881096708164725, 0.3238916397727687, 0.29814378613729065, 0.4752020473055548, 0.16778934830499292, 0.23934234842673147]","[-0.11835146045971207, 0.09426919419296466, -0.12773359707495718, 0.18211977212782732, -0.017212855342408122, 0.10797274505141134, 0.12299842533740454]"
smoke,mid1,1,historical,historical_dae21,12.423559726917945,0.011664285393917877,1.4374277821329005,1.6058997631879353,-0.1400101641991491,1.0,0.11817758812909968,0.309811320754717,0.06727493569717714,1e-09,False,stall margin -0.270 at reference_avl_case,medium,cm -0.140 near trim penalty region,"[0.24062440897704498, 0.31881096708164725, 0.3238916397727687, 0.29814378613729065, 0.4752020473055548, 0.16778934830499292, 0.23934234842673147]","[-0.11835146045971207, 0.09426919419296466, -0.12773359707495718, 0.18211977212782732, -0.017212855342408122, 0.10797274505141134, 0.12299842533740454]"
smoke,mid1,2,historical,historical_fx_76_mp_140,12.442229518024773,0.011959041765787465,1.6218951179452175,1.8064077368969755,-0.20422612764162074,1.0,0.14065094222638733,0.33999999999999997,0.07137887341191147,0.0013431665447503434,False,stall margin -0.154 at reference_avl_case; cm hard violation 0.044,high,cm -0.204 beyond hard trim bound,"[0.23301299854745341, 0.3944892918898967, 0.3178358432723802, 0.3318967269890555, 0.5890016566030203, 0.24918850987612287, 0.4032921405891458]","[-0.14754597303720343, 0.03646318702383326, -0.08561591372601535, 0.11206655926626428, -0.04917849131044409, 0.0821116818868548, 0.2526767452967249]"
smoke,mid1,3,historical,historical_dae11,12.496138569230267,0.01276745852077405,1.439237683768472,1.607867047574426,-0.12581908524587793,1.0,0.1287436849720296,0.33396226415094343,0.06559988106768246,0.00011226098954160031,False,stall margin -0.268 at reference_avl_case,medium,cm -0.126 near trim penalty region,"[0.19737701009795397, 0.41291431279827223, 0.15841869213574894, 0.5554488718314399, 0.28199789864981123, 0.2564227899435916, 0.1439457985581465]","[-0.13107216336757468, 0.08657108765848358, -0.18264125892810834, 0.2323623698319708, -0.14273382631297132, 0.17874302955174595, 0.005850194751067552]"
smoke,mid2,1,historical,historical_dae41,12.083503175864434,0.018818249200593776,1.17129198409756,1.323685178366913,-0.03523878427250757,1.0,0.11700965321870367,0.309811320754717,0.030600018110354045,1e-09,False,stall margin -0.295 at reference_avl_case,low,no immediate artifact trigger,"[0.2019058179659809, 0.2330894335545433, 0.23134666997522133, 0.224514617391118, 0.25382977960381703, 0.19130395964362384, 0.1298410773865235]","[-0.13199268782645926, -0.041152093212183494, -0.13470888582647347, -0.0013831126427434931, -0.0836069184242126, -0.026947136102766743, 0.011098229884994105]"
smoke,mid2,2,historical,historical_dae31,12.354297093933242,0.010329690711020892,1.4518425200035456,1.6286314130473323,-0.15504405496545437,1.0,0.11089577573807295,0.2916981132075472,0.06851323118759162,1e-09,False,stall margin -0.093 at reference_avl_case,medium,cm -0.155 near trim penalty region,"[0.23073289517473689, 0.33088898037093434, 0.2865013332570014, 0.30922264409574474, 0.4237637581756541, 0.2987151700482292, 0.23062074102043453]","[-0.13855887986732043, 0.13372017919391416, -0.17045797853151345, 0.2704136986009706, -0.07019680974824075, 0.17491712603885215, 0.0970084114975011]"
smoke,mid2,3,historical,historical_dae21,12.413008904307981,0.011190797263183703,1.432943019978023,1.6080884782369815,-0.14264745718331132,1.0,0.11817758812909968,0.309811320754717,0.06727493569717714,1e-09,False,stall margin -0.104 at reference_avl_case,medium,cm -0.143 near trim penalty region,"[0.24062440897704498, 0.31881096708164725, 0.3238916397727687, 0.29814378613729065, 0.4752020473055548, 0.16778934830499292, 0.23934234842673147]","[-0.11835146045971207, 0.09426919419296466, -0.12773359707495718, 0.18211977212782732, -0.017212855342408122, 0.10797274505141134, 0.12299842533740454]"
smoke,tip,1,historical,historical_dae31,3.254063654290881,0.012814948709976647,1.4321456463601618,1.626468752484878,-0.15823313463481178,1.0,0.11089577573807295,0.2916981132075472,0.06851323118759162,1e-09,True,ok,medium,cm -0.158 near trim penalty region,"[0.23073289517473689, 0.33088898037093434, 0.2865013332570014, 0.30922264409574474, 0.4237637581756541, 0.2987151700482292, 0.23062074102043453]","[-0.13855887986732043, 0.13372017919391416, -0.17045797853151345, 0.2704136986009706, -0.07019680974824075, 0.17491712603885215, 0.0970084114975011]"
smoke,tip,2,historical,historical_dae21,3.6075522910619293,0.01281991859773463,1.4144291932958353,1.607211738284523,-0.14353043918074268,1.0,0.11817758812909968,0.309811320754717,0.06727493569717714,1e-09,True,ok,medium,cm -0.144 near trim penalty region; polar target mismatch dCL=0.062,"[0.24062440897704498, 0.31881096708164725, 0.3238916397727687, 0.29814378613729065, 0.4752020473055548, 0.16778934830499292, 0.23934234842673147]","[-0.11835146045971207, 0.09426919419296466, -0.12773359707495718, 0.18211977212782732, -0.017212855342408122, 0.10797274505141134, 0.12299842533740454]"
smoke,tip,3,historical,historical_dae41,11.75238980321864,0.009829942855576137,1.1518193616482233,1.3217662691023362,-0.06135159898151985,1.0,0.11700965321870367,0.309811320754717,0.030600018110354045,1e-09,False,stall margin -0.123 at reference_avl_case,low,no immediate artifact trigger,"[0.2019058179659809, 0.2330894335545433, 0.23134666997522133, 0.224514617391118, 0.25382977960381703, 0.19130395964362384, 0.1298410773865235]","[-0.13199268782645926, -0.041152093212183494, -0.13470888582647347, -0.0013831126427434931, -0.0836069184242126, -0.026947136102766743, 0.011098229884994105]"
medium,root,1,historical,historical_fx_76_mp_140,12.33567088178613,0.03061208934735435,1.5194324248706033,1.6950352444245687,-0.20670910093237566,1.0,0.14065094222638733,0.33999999999999997,0.07137887341191147,0.0013431665447503434,False,stall margin -0.152 at reference_avl_case; cm hard violation 0.047,high,cm -0.207 beyond hard trim bound,"[0.23301299854745341, 0.3944892918898967, 0.3178358432723802, 0.3318967269890555, 0.5890016566030203, 0.24918850987612287, 0.4032921405891458]","[-0.14754597303720343, 0.03646318702383326, -0.08561591372601535, 0.11206655926626428, -0.04917849131044409, 0.0821116818868548, 0.2526767452967249]"
