zone,y_range_m,re_min,re_max,cl_min,cl_mean,cl_max,cl_target_samples,xfoil_representative_re,xfoil_target_cl_samples,source_file_function
root,0.000-2.778,452335.598667,544484.883643,1.155754,1.302658604999358,1.369815,"1.156, 1.370",480000.0,"1.16, 1.37",production: src/hpa_mdo/concept/zone_requirements.py::build_zone_requirements; phase6 artifact: scripts/audit_seedless_selection_behavior.py::build_reference_zone_requirements
mid1,6.077-9.029,374337.671976,397244.307906,1.396029,1.4313683237047894,1.465726,"1.466, 1.396",385000.0,"1.40, 1.47",production: src/hpa_mdo/concept/zone_requirements.py::build_zone_requirements; phase6 artifact: scripts/audit_seedless_selection_behavior.py::build_reference_zone_requirements
mid2,12.155-12.155,348140.954004,348140.954004,1.223509,1.223509,1.223509,1.224,350000.0,1.22,production: src/hpa_mdo/concept/zone_requirements.py::build_zone_requirements; phase6 artifact: scripts/audit_seedless_selection_behavior.py::build_reference_zone_requirements
tip,14.239-16.496,265101.29479,329708.501143,0.665262,0.8960694339458793,1.011918,"1.012, 0.807, 0.665",315000.0,"0.67, 0.81, 1.01",production: src/hpa_mdo/concept/zone_requirements.py::build_zone_requirements; phase6 artifact: scripts/audit_seedless_selection_behavior.py::build_reference_zone_requirements
