cst_tip_nsga2_g05_child_0032_70ef8136
 1.00000000  0.00085160
 0.99961452  0.00087092
 0.99845867  0.00092833
 0.99653423  0.00102224
 0.99384417  0.00115006
 0.99039264  0.00130834
 0.98618496  0.00149299
 0.98122762  0.00169943
 0.97552826  0.00192297
 0.96909567  0.00215906
 0.96193977  0.00240371
 0.95407159  0.00265388
 0.94550326  0.00290792
 0.93624800  0.00316598
 0.92632008  0.00343041
 0.91573481  0.00370617
 0.90450850  0.00400111
 0.89265847  0.00432615
 0.88020298  0.00469543
 0.86716125  0.00512625
 0.85355339  0.00563886
 0.83940037  0.00625615
 0.82472402  0.00700309
 0.80954697  0.00790608
 0.79389263  0.00899211
 0.77778512  0.01028784
 0.76124928  0.01181852
 0.74431062  0.01360698
 0.72699525  0.01567243
 0.70932987  0.01802948
 0.69134172  0.02068712
 0.67305853  0.02364788
 0.65450850  0.02690715
 0.63572022  0.03045269
 0.61672268  0.03426441
 0.59754516  0.03831434
 0.57821723  0.04256694
 0.55876870  0.04697957
 0.53922955  0.05150329
 0.51962991  0.05608380
 0.50000000  0.06066260
 0.48037009  0.06517830
 0.46077045  0.06956801
 0.44123130  0.07376878
 0.42178277  0.07771907
 0.40245484  0.08136015
 0.38327732  0.08463742
 0.36427978  0.08750164
 0.34549150  0.08990999
 0.32694147  0.09182691
 0.30865828  0.09322483
 0.29067013  0.09408463
 0.27300475  0.09439588
 0.25568938  0.09415697
 0.23875072  0.09337489
 0.22221488  0.09206496
 0.20610737  0.09025030
 0.19045303  0.08796116
 0.17527598  0.08523413
 0.16059963  0.08211119
 0.14644661  0.07863868
 0.13283875  0.07486624
 0.11979702  0.07084559
 0.10734153  0.06662938
 0.09549150  0.06226995
 0.08426519  0.05781819
 0.07367992  0.05332237
 0.06375200  0.04882712
 0.05449674  0.04437238
 0.04592841  0.03999265
 0.03806023  0.03571623
 0.03090433  0.03156474
 0.02447174  0.02755276
 0.01877238  0.02368769
 0.01381504  0.01996990
 0.00960736  0.01639292
 0.00615583  0.01294406
 0.00346577  0.00960503
 0.00154133  0.00635285
 0.00038548  0.00316089
 0.00000000  0.00000000
 0.00038548 -0.00120950
 0.00154133 -0.00242439
 0.00346577 -0.00364887
 0.00615583 -0.00488619
 0.00960736 -0.00613816
 0.01381504 -0.00740488
 0.01877238 -0.00868452
 0.02447174 -0.00997322
 0.03090433 -0.01126510
 0.03806023 -0.01255251
 0.04592841 -0.01382624
 0.05449674 -0.01507591
 0.06375200 -0.01629045
 0.07367992 -0.01745860
 0.08426519 -0.01856939
 0.09549150 -0.01961263
 0.10734153 -0.02057941
 0.11979702 -0.02146241
 0.13283875 -0.02225621
 0.14644661 -0.02295743
 0.16059963 -0.02356481
 0.17527598 -0.02407912
 0.19045303 -0.02450298
 0.20610737 -0.02484059
 0.22221488 -0.02509739
 0.23875072 -0.02527965
 0.25568938 -0.02539404
 0.27300475 -0.02544719
 0.29067013 -0.02544533
 0.30865828 -0.02539390
 0.32694147 -0.02529729
 0.34549150 -0.02515863
 0.36427978 -0.02497972
 0.38327732 -0.02476101
 0.40245484 -0.02450164
 0.42178277 -0.02419971
 0.44123130 -0.02385242
 0.46077045 -0.02345643
 0.48037009 -0.02300818
 0.50000000 -0.02250420
 0.51962991 -0.02194152
 0.53922955 -0.02131790
 0.55876870 -0.02063219
 0.57821723 -0.01988448
 0.59754516 -0.01907632
 0.61672268 -0.01821076
 0.63572022 -0.01729240
 0.65450850 -0.01632734
 0.67305853 -0.01532304
 0.69134172 -0.01428818
 0.70932987 -0.01323242
 0.72699525 -0.01216618
 0.74431062 -0.01110031
 0.76124928 -0.01004585
 0.77778512 -0.00901372
 0.79389263 -0.00801441
 0.80954697 -0.00705778
 0.82472402 -0.00615274
 0.83940037 -0.00530710
 0.85355339 -0.00452735
 0.86716125 -0.00381856
 0.88020298 -0.00318427
 0.89265847 -0.00262643
 0.90450850 -0.00214538
 0.91573481 -0.00173993
 0.92632008 -0.00140736
 0.93624800 -0.00114362
 0.94550326 -0.00094341
 0.95407159 -0.00080038
 0.96193977 -0.00070735
 0.96909567 -0.00065657
 0.97552826 -0.00063992
 0.98122762 -0.00064920
 0.98618496 -0.00067640
 0.99039264 -0.00071394
 0.99384417 -0.00075493
 0.99653423 -0.00079341
 0.99845867 -0.00082451
 0.99961452 -0.00084464
 1.00000000 -0.00085160
