z_state,case_label,shape_name,station_index,eta,y_m,main_z_m,rear_z_m,main_slope_dzdy,main_curvature_d2zdy2,eta_at_max_abs_curvature,eta_at_max_abs_slope
6deg,target_main_tip_z_1p804m,requested_loaded,0,0.0,0.0,0.07143912961806514,0.0651858601168413,0.023295392129766827,0.000879338195289024,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,1,0.01694915254237288,0.29095157627118645,0.0782169606780762,0.07251816470923678,0.02355123696376163,0.0013201070682629865,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,2,0.03389830508474576,0.5819031525423729,0.0851436686535505,0.08000542476311598,0.024063566594482527,0.0017630754918960337,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,3,0.05084745762711864,0.8728547288135593,0.09221962594081892,0.08764771889034495,0.024577176150666125,0.0017674745932141148,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,4,0.06779661016949153,1.1638063050847458,0.09944520493621234,0.09544512570648377,0.025092065632312366,0.001771873694532189,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,5,0.0847457627118644,1.4547578813559323,0.10682077803606162,0.10339772383036998,0.025608235039421307,0.0017762727958504504,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,6,0.10169491525423728,1.7457094576271186,0.11434671763669765,0.11150559188370199,0.026125684371993002,0.001780671897168587,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,7,0.11864406779661016,2.036661033898305,0.12202339613445133,0.11976880849062242,0.026644413630027314,0.0017850709984866611,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,8,0.13559322033898305,2.3276126101694916,0.12985118592565353,0.12818745227730152,0.027164422813524353,0.009985320914938783,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,9,0.15254237288135591,2.618564186440678,0.1378304594066351,0.13676160187152053,0.032454903349577485,0.024866334312488227,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,10,0.1694915254237288,2.9095157627118646,0.1487367965002307,0.14812146977659976,0.04163422114213383,0.023664848357982736,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,11,0.1864406779661017,3.200467338983051,0.1620575439428891,0.16178397587098087,0.04622555321352484,0.009411070892869897,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,12,0.20338983050847456,3.491418915254237,0.175635591643196,0.1757054623496417,0.04711055296349459,0.0030440083114261773,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,13,0.22033898305084743,3.7823704915254237,0.18947132323036098,0.1898861404294182,0.047996871246308914,0.00304854010624081,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,14,0.23728813559322032,4.07332206779661,0.20356512233359356,0.20432622132700368,0.04888450806196798,0.0030530719010558177,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,15,0.2542372881355932,4.364273644067797,0.21791737258210322,0.21902591625894133,0.04977346341047184,0.0030576036958705755,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,16,0.2711864406779661,4.655225220338983,0.23252845760509952,0.2339854364416158,0.05066373729182028,0.003062135490685222,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,17,0.28813559322033894,4.946176796610169,0.24739876103179198,0.24920499309124491,0.05155532970601345,0.0030666672855002297,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,18,0.30508474576271183,5.237128372881356,0.26252866649139023,0.2646847974238721,0.052448240653051426,0.003071199080315168,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,19,0.3220338983050847,5.528079949152542,0.27791855761310363,0.2804250606553574,0.05334247013293408,0.008959115380827234,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,20,0.3389830508474576,5.819031525423729,0.29356881802614193,0.29642599400137026,0.057661578137145675,0.025988472377641902,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,21,0.3559322033898305,6.109983101694915,0.31147201171167704,0.31450372280659317,0.06846524413924426,0.03156985610202401,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,22,0.3728813559322034,6.400934677966102,0.3334089594303515,0.3362874562917947,0.0760321769282225,0.015187199018011188,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,23,0.38983050847457623,6.691886254237288,0.35571537516086915,0.35844011365821754,0.07730272312611342,0.0043692203912321925,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,24,0.4067796610169491,6.982837830508474,0.378391657717547,0.38096217252498166,0.07857464004803294,0.004373931567044076,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,25,0.423728813559322,7.273789406779661,0.40143820591470175,0.40385411050785835,0.07984792769398097,0.00437864274285657,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,26,0.44067796610169485,7.564740983050847,0.42485541856665,0.42711640521991623,0.08112258606395795,0.0043833539186690085,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,27,0.4576271186440678,7.855692559322034,0.44864369448770886,0.4507495342721672,0.08239861515796343,0.004388065094480531,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,28,0.47457627118644063,8.14664413559322,0.47280343249219464,0.47475397527421137,0.0836760149759973,0.004392776270292803,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,29,0.4915254237288135,8.437595711864407,0.49733503139442453,0.4991302058348838,0.08495478551806013,0.010124874702928777,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,requested_loaded,30,0.5084745762711864,8.728547288135594,0.522238890008715,0.5238787035628991,0.08956771148472809,0.02823290620910121,0.5254237288135593,1.0
