station_index,eta,y_m,chord_m,Cl_y,cl_times_c,lift_per_span_npm,normalized_lift_per_span_1pm,shear_force_n,bending_moment_nm,normalized_bending_moment
0,0.0,0.0,1.256773096,1.2497,1.5705893380712002,40.36477422416506,0.08046667354550044,501.63343960454034,3544.979541022862,1.0
1,0.0006582725076914481,0.0113,1.2564,1.2497,1.57012308,40.35279120523199,0.08044278554684046,501.1773853598643,3539.313660244341,0.998401716931521
2,0.0059128017283789375,0.1015,1.2536,1.2422,1.55722192,40.021226232767994,0.07978181491313355,497.5525171734105,3494.2716160465593,0.985695848342845
3,0.016369431385955483,0.281,1.2481,1.2446,1.55338526,39.922622536103994,0.07958524967469623,490.3775567464042,3405.6056861711963,0.9606841581908111
4,0.03193495475366831,0.5482,1.2398,1.2484,1.54776632,39.77821353052799,0.07929737212472698,479.72952504790214,3276.0019575940405,0.9241243622660763
5,0.052446260059700066,0.9003,1.2288,1.2538,1.5406694399999998,39.595820875775985,0.07893377464427234,465.7557262906723,3109.554932101325,0.8771714747905427
6,0.07771693385054522,1.3341,1.2154,1.2604,1.5318901600000001,39.370189868063996,0.078483982046933,448.6279985603335,2911.2357171295344,0.821227790863225
7,0.10750230846847773,1.8454,1.1995,1.2681,1.52108595,39.09251734937999,0.07793044534710114,428.56900746019386,2686.99845036167,0.7579729076761804
8,0.1415111128923952,2.4292,1.1814,1.2768,1.50841152,38.76677942860799,0.07728109086820358,405.84187873069925,2443.4616673807886,0.6892738418105951
9,0.17620149150569234,3.0247,1.1627,1.2833,1.4920929100000002,38.34738462416399,0.07644503256081756,382.88113638398636,2208.6565711029907,0.6230378893712061
10,0.21078118713097052,3.6183,1.1437,1.2872,1.4721706399999999,37.83537431625599,0.07542434640338824,360.2700935304697,1988.1343891752865,0.5608309910306658
11,0.24797649652574838,4.2568,1.1233,1.2907,1.4498433099999999,37.26155300432399,0.07428044078101913,336.2953994833745,1765.8143397215033,0.4981169339025292
12,0.2874262436238589,4.934,1.1017,1.2933,1.4248286099999998,36.618665208443986,0.07299885198505125,311.27955759653133,1546.619166314329,0.4362843701682042
13,0.328757601518291,5.6435,1.079,1.2943,1.3965497,35.891885909879996,0.07155002652569403,285.5564395873059,1334.9830597165626,0.3765841365988163
14,0.37770278390434003,6.4837,1.0515,1.2913,1.35780195,34.896053235779995,0.06956484652077836,255.81842635221415,1107.727227078985,0.31247774895743496
15,0.43406955190807855,7.4513,1.0194,1.2814,1.3062591600000002,33.571382915664,0.06692413277338488,222.69388074214555,876.5330284740553,0.24726039130289085
16,0.4912635296117479,8.4331,0.9868,1.2677,1.25096636,32.150335838543995,0.06409129316396753,190.43108900570485,674.0724287426223,0.19014846797906387
17,0.5430806442658668,9.3226,0.9565,1.2491,1.1947641500000001,30.70591656066,0.06121186136408056,162.47577075115888,517.402812700247,0.14595368089231806
18,0.5890140842937169,10.1111,0.9289,1.2255,1.13836695,29.256485961779994,0.05832243955834397,138.83559355668686,398.83609675874374,0.11250730565391762
19,0.6342892518138756,10.8883,0.9017,1.1979,1.0801464299999999,27.76019530957199,0.05533960282124846,116.67891121463954,299.7691149961448,0.08456159239487458
20,0.6784575894538452,11.6465,0.8751,1.1629,1.01765379,26.154109464515997,0.05213789073777544,96.23999827478276,219.28237794294233,0.06185716318116493
21,0.7213909379643405,12.3835,0.8484,1.1026,0.9354458400000001,24.041332266336,0.0479260957668389,77.7429779969638,155.45654995629334,0.04385259439647942
22,0.762652390813708,13.0918,0.8218,1.0181,0.83667458,21.502871375831994,0.04286570566903126,61.61349827709,106.42183329045353,0.030020436524084076
23,0.801554548392146,13.7596,0.7968,0.9323,0.74285664,19.091712790655997,0.03805909112779011,48.058966623899636,70.07101542585899,0.01976626793328145
24,0.8414470274423321,14.4444,0.7701,0.8659,0.66682959,17.137787194835997,0.0341639648432259,35.65398582886719,41.636774366092254,0.011745279171365388
25,0.8814967928439137,15.1319,0.7422,0.8197,0.60838134,15.635643790535996,0.031169460717894445,24.388118927645575,21.174800223150662,0.005973179810521818
26,0.9138628287088135,15.6875,0.7189,0.7741,0.55650049,14.302285193195997,0.028511426998309993,16.07136225596483,10.038055420038836,0.002831625769310497
27,0.9388946602623547,16.1172,0.6999,0.7229,0.50595771,13.003315530083997,0.025921947189834635,10.204753940568114,4.452592973574627,0.0012560278337431206
28,0.9593418859437439,16.4682,0.6828,0.6587,0.44976035999999997,11.559021156143997,0.023042764384400848,5.894063852135113,1.6717350787461647,0.0004715782021872558
29,0.9752452836959355,16.7412,0.668,0.5747,0.3838996,9.866373279839998,0.019668491972182102,2.9694975116233,0.49339679098640776,0.00013918184443006515
30,0.9873097293899974,16.9483,0.6568,0.4588,0.30133984,7.744554423935999,0.015438672569439094,1.1458859478972914,0.09000025392191296,2.5388088388218018e-05
31,0.9954187146174884,17.0875,0.6493,0.3031,0.19680282999999998,5.057911452131998,0.010082883342305433,0.25483432292296576,0.005524651491117701,1.558443829417314e-06
32,0.9994906834925001,17.1574,0.6455,0.1077,0.06952035,1.7867008031399998,0.0035617657478108607,0.01561512460120766,6.823528591817808e-05,1.9248428694313306e-08
33,1.0,17.166143,0.64500409,0.1077,0.069466940493,1.7853281574462971,0.003559029395755095,0.0,0.0,0.0
