spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,46,13.383773,3.94815164e-03,-1.11616416e-01,1.71840284e+00,-3.23765138e-01,-8.79071552e-01,-5.52950055e-02
main,47,13.674724,3.21817970e-03,-1.19626724e-01,1.81691759e+00,-3.35875222e-01,-9.12460308e-01,-9.52714656e-02
main,48,13.965676,2.60915765e-04,-1.27920339e-01,1.91860759e+00,-3.45087517e-01,-9.43877522e-01,-7.59516548e-02
main,49,14.256627,1.30263318e-03,-1.36947770e-01,2.02281184e+00,-3.51868495e-01,-9.67231700e-01,-8.26405527e-02
main,50,14.547579,1.74481715e-03,-1.46492884e-01,2.12881535e+00,-3.56596484e-01,-9.85190299e-01,-9.02101550e-02
main,51,14.838530,1.54415528e-03,-1.56154521e-01,2.23598376e+00,-3.59645547e-01,-9.99058334e-01,-9.00203947e-02
main,52,15.129482,1.62647747e-03,-1.65883173e-01,2.34387070e+00,-3.61385419e-01,-1.00871172e+00,-9.04798728e-02
main,53,15.420434,1.62787968e-03,-1.75651787e-01,2.45213481e+00,-3.62163376e-01,-1.01477152e+00,-9.20892784e-02
main,54,15.711385,2.21636263e-03,-1.86004276e-01,2.56078272e+00,-3.62309150e-01,-1.01781959e+00,-9.76614109e-02
main,55,16.002337,2.18592942e-03,-1.96432163e-01,2.66944994e+00,-3.62133742e-01,-1.01920209e+00,-9.80176520e-02
main,56,16.293288,2.17318899e-03,-2.06859496e-01,2.77805486e+00,-3.61937380e-01,-1.01912971e+00,-9.77706658e-02
main,57,16.584240,2.96510403e-03,-2.17778336e-01,2.88732159e+00,-3.61838370e-01,-1.01883865e+00,-1.00634553e-01
main,58,16.875191,3.17372005e-03,-2.28736406e-01,2.99660576e+00,-3.61801028e-01,-1.01867254e+00,-1.02288013e-01
main,59,17.166143,3.22877735e-03,-2.39702892e-01,3.10588414e+00,-3.61792458e-01,-1.01872067e+00,-1.01807296e-01
rear,0,0.000000,-4.57512382e-19,-5.37728392e-19,-4.22617256e-17,1.74804501e-18,-6.20244121e-20,5.26800105e-19
rear,1,0.290952,1.26508082e-04,-3.00926463e-04,7.85485829e-03,-4.85621867e-02,-2.93707002e-02,-7.18026605e-04
rear,2,0.581903,1.69962147e-04,-8.44920203e-04,2.65209082e-02,-7.30362013e-02,-5.82085170e-02,-1.86981168e-03
rear,3,0.872855,1.58888538e-04,-1.47477793e-03,4.89747897e-02,-7.33424950e-02,-8.65359157e-02,-2.36935226e-03
rear,4,1.163806,1.56212052e-04,-2.03187499e-03,6.81701397e-02,-4.94024544e-02,-1.14332243e-01,-3.06621318e-03
rear,5,1.454758,2.73806578e-05,-2.36120009e-03,7.70375917e-02,-1.13729940e-03,-1.41584502e-01,-4.46750928e-03
rear,6,1.745709,-4.35843432e-04,-2.57368142e-03,7.90999078e-02,-7.14566438e-03,-1.69270424e-01,-2.63288122e-03
rear,7,2.036661,-4.22417495e-04,-2.83226728e-03,8.36876489e-02,-1.72773492e-02,-1.97009797e-01,-2.43208459e-03
rear,8,2.327613,-3.68222924e-04,-3.17302875e-03,9.19891444e-02,-3.14518706e-02,-2.24806922e-01,-3.59703630e-03
rear,9,2.618564,-4.36361328e-04,-3.62561727e-03,1.05169334e-01,-4.95880967e-02,-2.52695922e-01,-4.52159424e-03
rear,10,2.909516,-3.30765548e-04,-4.35476458e-03,1.24048743e-01,-6.76086471e-02,-2.81103168e-01,-7.91058118e-03
rear,11,3.200467,-2.82909514e-04,-5.37393959e-03,1.47499963e-01,-7.83194281e-02,-3.09798303e-01,-1.03663040e-02
rear,12,3.491419,-3.39921791e-04,-6.46135653e-03,1.72726164e-01,-7.85108726e-02,-3.38335505e-01,-1.07528048e-02
rear,13,3.782370,-3.07511837e-04,-7.49934755e-03,1.96652144e-01,-6.80921345e-02,-3.66610071e-01,-1.18598217e-02
rear,14,4.073322,-3.51891703e-04,-8.37711964e-03,2.16175587e-01,-4.69698109e-02,-3.94631575e-01,-1.33721742e-02
rear,15,4.364274,-9.13228817e-04,-8.98881626e-03,2.28167065e-01,-1.50525631e-02,-4.22317316e-01,-1.74854797e-02
rear,16,4.655225,-1.06117035e-03,-9.39943420e-03,2.33803848e-01,-6.25205291e-03,-4.39819447e-01,-9.29614272e-03
rear,17,4.946177,-5.45494739e-04,-9.75296271e-03,2.38294426e-01,-6.37704914e-03,-4.57039743e-01,-1.42247181e-02
rear,18,5.237128,-6.48755944e-04,-1.01734728e-02,2.44219500e-01,-1.53145648e-02,-4.74618417e-01,-1.48559107e-02
rear,19,5.528080,-6.79485907e-04,-1.07399711e-02,2.54131067e-01,-3.29691789e-02,-4.92410479e-01,-1.50539227e-02
rear,20,5.819032,-7.25998846e-04,-1.15480038e-02,2.70552416e-01,-5.92435038e-02,-5.10358830e-01,-1.63073266e-02
rear,21,6.109983,-6.54255641e-04,-1.28049822e-02,2.95750600e-01,-9.08940003e-02,-5.28967757e-01,-2.07376460e-02
rear,22,6.400935,-3.91755764e-04,-1.47669055e-02,3.30176534e-01,-1.18842351e-01,-5.48742933e-01,-2.65194131e-02
rear,23,6.691886,-5.71791838e-04,-1.70938944e-02,3.71470482e-01,-1.37156086e-01,-5.68629659e-01,-2.58693192e-02
rear,24,6.982838,-4.90907749e-04,-1.96250048e-02,4.16810882e-01,-1.45713468e-01,-5.88213386e-01,-2.68093698e-02
rear,25,7.273789,-5.05729719e-04,-2.22215837e-02,4.63337943e-01,-1.44382285e-01,-6.07530057e-01,-2.85850302e-02
rear,26,7.564741,-1.23869551e-03,-2.47487899e-02,5.08153653e-01,-1.33034293e-01,-6.26444978e-01,-3.37728511e-02
rear,27,7.855693,-7.86917606e-05,-2.71012690e-02,5.49866843e-01,-1.26565182e-01,-6.37959475e-01,-2.32243293e-02
rear,28,8.146644,1.02130704e-03,-2.94458228e-02,5.91361986e-01,-1.30993351e-01,-6.48559243e-01,-3.53865328e-02
rear,29,8.437596,6.64549215e-04,-3.19774727e-02,6.35783221e-01,-1.46136769e-01,-6.60085089e-01,-3.44419210e-02
rear,30,8.728547,6.01675801e-04,-3.48163844e-02,6.86234179e-01,-1.71873382e-01,-6.71798929e-01,-3.46299348e-02
rear,31,9.019499,7.79173534e-04,-3.83830047e-02,7.45573500e-01,-2.04826058e-01,-6.83512971e-01,-4.01309276e-02
rear,32,9.310450,1.21246623e-03,-4.31696257e-02,8.14709214e-01,-2.34698314e-01,-6.95405388e-01,-4.74069396e-02
