variant_id,variant_type,analysis_succeeded,torque_sum_my_nm,lift_sum_fz_n,self_weight_sum_fz_n,force_closure_residual_n_reported,moment_closure_residual_nm_reported,moment_closure_passed_reported,pass_threshold_nm,closure_mx_nm,closure_my_nm,closure_mz_nm,closure_norm_nm,closure_xy_norm_nm,wire_support_validity_passed,max_wire_tension_n,tip_deflection_main_m,tip_deflection_rear_m,hard_failures,notes
baseline,solver_rerun,True,-519.5147479919822,903.7889671151077,-157.20447248931936,1.1710655327373439e-08,1707.2058486253609,False,1e-06,-2.8328690427251786,-944.2130253069026,1422.3239951833802,1707.2058486253609,944.2172749458817,True,2744.409094995506,1.604363757165869,1.7190988288556446,moment_closure,
cm_off,solver_rerun,True,0.0,903.7889671151077,-157.20447248931936,2.9497605302499355e-08,246.77571829802366,False,1e-06,2.657161226858989,-5.369260137046695,246.7029908235827,246.77571829802366,5.990781268315632,True,2775.4628091729273,1.7349438900496932,1.5996832722368897,moment_closure,
cm_sign_flipped,solver_rerun,True,519.5147479919822,903.7889671151077,-157.20447248931936,6.73605661975184e-08,1316.94368274208,False,1e-06,8.147042366958885,933.4745010591438,-928.9239178142234,1316.94368274208,933.5100526651796,True,2806.369266234254,1.8654176971844247,1.4801621686941744,moment_closure,
wire_off,solver_rerun,True,-519.5147479919822,903.7889671151077,-157.20447248931936,4.083860327124777e-08,1788.62700494661,False,1e-06,10.563237931884032,-994.4051415977356,1486.6853719575847,1788.62700494661,994.4612449118458,True,0.0,11.038289238569641,11.103143844865329,moment_closure,
equal_spar_stiffness,solver_rerun,True,-519.5147479919822,903.7889671151077,-183.21620115967497,1.1566584105034603e-08,1570.859182496584,False,1e-06,0.07949708011346956,-952.3133344470839,1249.278943210173,1570.859182496584,952.3133377652069,True,2620.109440333767,1.2417625433742314,1.3064861288599958,geometry_validity|moment_closure,
rear_stiffness_10x,solver_rerun,True,-519.5147479919822,903.7889671151077,-157.20447248931936,2.960351355797258e-07,2181.555674206605,False,1e-06,-2.4867491146296743,-886.6878180165909,1993.2294622353074,2181.555674206605,886.6913051001358,True,2690.086008506817,1.328467407258162,1.3958856725513018,geometry_validity|moment_closure,
rear_spar_shift_aft_50mm,solver_rerun,True,-519.5147479919822,903.7889671151077,-157.20447248931936,6.334377443296891e-08,1659.1622280136046,False,1e-06,-2.827911809717989,-918.4031709843152,1381.7911988820233,1659.1622280136046,918.4075247727715,True,2749.608868627814,1.6178958630233253,1.7389880971078384,moment_closure,
rear_spar_shift_fwd_50mm,solver_rerun,True,-519.5147479919822,903.7889671151077,-157.20447248931936,1.6260132633932266e-08,1751.9291396369952,False,1e-06,-2.84329728767716,-972.2054463070514,1457.4169602899037,1751.9291396369952,972.2096040302004,True,2738.6266921641222,1.589789773093364,1.6964012541069255,moment_closure,
baseline_post_reaction_moment_sign_plus,postprocess_closure_formula,True,-519.5147479919822,,,1.1710655327373439e-08,1523.2975321748781,False,1e-06,492.3556430486906,-234.5543540712294,1422.3239951833802,1523.2975321748781,545.3712719383569,,,,,,Use +reaction point moments instead of current -reaction point moments.
baseline_post_include_constraint_mz,postprocess_closure_formula,True,-519.5147479919822,,,1.1710655327373439e-08,1098.4538158825444,False,1e-06,-2.8328690427251786,-944.2130253069026,561.2971791490636,1098.4538158825444,944.2172749458817,,,,,,Keep raw constraint Mz instead of zeroing it.
baseline_post_reaction_force_only,postprocess_closure_formula,True,-519.5147479919822,,,1.1710655327373439e-08,1558.9377208578712,False,1e-06,244.7613870029836,-589.3836896890662,1422.3239951833802,1558.9377208578712,638.1859213733266,,,,,,Ignore recovered reaction point moments.
