kind,variant_id,station_index,beam,y_m,eta,node_x_m,node_z_m,lift_per_span_npm,aero_torque_per_span_nmpm,torque_about_main_per_span_nmpm,applied_lift_fz_n,torque_main_my_n,main_self_weight_fz_n,rear_self_weight_fz_n,load_fx_n,load_fy_n,load_fz_n,load_mx_nm,load_my_nm,load_mz_nm,reaction_fx_n,reaction_fy_n,reaction_fz_n,reaction_mx_raw_nm,reaction_my_raw_nm,reaction_mz_raw_nm,applied_moment_origin_mx_nm,applied_moment_origin_my_nm,applied_moment_origin_mz_nm,reaction_moment_origin_mx_nm,reaction_moment_origin_my_nm,reaction_moment_origin_mz_nm,station_bending_residual_mx_nm,station_torque_residual_my_nm,station_yaw_residual_mz_nm,station_moment_residual_norm_nm,cumulative_bending_residual_mx_nm,cumulative_torque_residual_my_nm,cumulative_yaw_residual_mz_nm,cumulative_moment_residual_norm_nm,source,reaction_resultant_n,reaction_moment_mx_nm,reaction_moment_my_nm,reaction_moment_mz_nm,reaction_moment_norm_nm,applied_force_n,applied_moment_nm,constraint_force_n,constraint_moment_nm,residual_force_n,residual_moment_nm,force_residual_norm_n,moment_residual_norm_nm,pass_threshold_nm
beam_node,baseline,0,main,0.0,0.0,0.314193274,0.07143912961806514,0.0,0.0,0.0,0.0,0.0,-0.8274483185879522,0.0,0.0,0.0,-0.8274483185879522,0.0,0.0,0.0,104.96504041348095,-1081.0850222927897,18.778255904362123,105.29672361299377,220.54446911620596,16.400362280852004,0.0,0.0,0.0,-105.29672361299377,-220.54446911620596,-0.0,-105.29672361299377,-220.54446911620596,0.0,244.39161782143904,,,,,,,,,,,,,,,,,,,
beam_node,baseline,0,rear,0.0,0.0,0.8797411672,0.0651858601168413,0.0,0.0,0.0,0.0,0.0,0.0,-0.2585513715340056,0.0,0.0,-0.2585513715340056,0.0,0.0,0.0,-105.04130251296164,3732.4581394393913,-56.84184858630817,107.47562804807315,8.630657949788029,-3.2088699011338373,0.0,0.1462231834550273,0.0,-84.1355614001221,24.172981337165083,2110.8838372171394,-84.1355614001221,24.31920452062011,2110.8838372171394,2112.699881815963,,,,,,,,,,,,,,,,,,,
station_combined,baseline,0,combined,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.1462231834550273,0.0,-189.43228501311586,-196.37148777904088,2110.8838372171394,-189.43228501311586,-196.22526459558586,2110.8838372171394,2128.4312343356205,-189.43228501311586,-196.22526459558586,2110.8838372171394,2128.4312343356205,,,,,,,,,,,,,,,
beam_node,baseline,1,main,0.29095157627118645,0.01694915254237288,0.3119366992310065,0.0773074693049598,0.0,0.0,0.0,0.0,0.0,-1.6548966371759044,0.0,0.0,0.0,-1.6548966371759044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4814947851522151,-0.003734397996743414,0.0,0.0,0.0,-0.0,-0.4814947851522151,-0.003734397996743414,0.0,0.4815092666368695,,,,,,,,,,,,,,,,,,,
beam_node,baseline,1,rear,0.29095157627118645,0.01694915254237288,0.8734227578468181,0.07167493781029423,0.0,0.0,0.0,0.0,0.0,0.0,-0.5171027430680112,0.0,0.0,-0.5171027430680112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15045185818979218,0.28917910010169773,0.0,0.0,0.0,0.0,-0.15045185818979218,0.28917910010169773,0.0,0.32597594016796555,,,,,,,,,,,,,,,,,,,
station_combined,baseline,1,combined,0.29095157627118645,0.01694915254237288,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-0.6319466433420073,0.2854447021049543,0.0,0.0,0.0,0.0,-0.6319466433420073,0.2854447021049543,0.0,0.6934228421324296,-190.06423165645788,-195.9398198934809,2110.8838372171394,2128.46127505285,,,,,,,,,,,,,,,
beam_node,baseline,2,main,0.5819031525423729,0.03389830508474576,0.309680124462013,0.0831863603171225,75.78400272223378,-45.880020767934276,-45.880020767934276,22.0494750481738,-13.348864361785246,-1.6548966371759044,0.0,0.0,0.0,20.394578410997894,0.0,-13.348864361785246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.867669472132294,-13.25682057965221,0.0,0.0,0.0,-0.0,11.867669472132294,-13.25682057965221,0.0,17.792832000018187,,,,,,,,,,,,,,,,,,,
beam_node,baseline,2,rear,0.5819031525423729,0.03389830508474576,0.8671043484936363,0.07816623592706176,75.78400272223378,-45.880020767934276,-45.880020767934276,0.0,0.0,0.0,-0.5171027430680111,0.0,0.0,-0.5171027430680111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3009037163795843,0.28591183329334074,0.0,0.0,0.0,0.0,-0.3009037163795843,0.28591183329334074,0.0,0.4150766470764218,,,,,,,,,,,,,,,,,,,
station_combined,baseline,2,combined,0.5819031525423729,0.03389830508474576,,,75.78400272223378,-45.880020767934276,-45.880020767934276,,,,,,,,,,,,,,,,,11.566765755752709,-12.97090874635887,0.0,0.0,0.0,0.0,11.566765755752709,-12.97090874635887,0.0,17.379141053424433,-178.49746590070518,-208.91072863983976,2110.8838372171394,2128.6934049078923,,,,,,,,,,,,,,,
beam_node,baseline,3,main,0.8728547288135593,0.05084745762711864,0.30742354969301944,0.08907580265455323,75.49452524160328,-45.86439675898862,-45.86439675898862,21.96525111888935,-13.344318531754833,-1.6548966371759044,0.0,0.0,0.0,20.310354481713443,0.0,-13.344318531754833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.727988953243244,-13.206823031336587,0.0,0.0,0.0,-0.0,17.727988953243244,-13.206823031336587,0.0,22.10660007570945,,,,,,,,,,,,,,,,,,,
