rib_id,y_m,rib_type,mandatory_reason,material_family,material_structural_role,hybrid_next_step_candidate,notes
R065,1.454811,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R066,1.745859,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R067,2.036907,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R068,2.327955,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R069,2.619003,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R070,2.910051,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R071,3.201099,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R072,3.492148,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R073,3.783196,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R074,4.074244,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R075,4.365292,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R076,4.656151,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R077,4.94701,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R078,5.237869,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R079,5.528728,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R080,5.819587,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R081,6.110446,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R082,6.401305,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R083,6.692164,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R084,6.983023,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R085,7.273882,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R086,7.564741,mandatory_contract_rib,wire_attach,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R087,7.573654,mandatory_contract_rib,wire_attach;spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R088,7.867201,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R089,8.160749,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R090,8.454296,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R091,8.747843,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R092,9.04139,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R093,9.334937,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R094,9.628484,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R095,9.922032,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R096,10.215579,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R097,10.509126,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R098,10.804436,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R099,11.099746,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R100,11.395056,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R101,11.690367,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R102,11.985677,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R103,12.280987,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R104,12.576297,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
