target_main_tip_z_m,target_shape_z_scale,candidate_count,inverse_feasible_count,production_hard_feasible_count,selected_basis,blocking_constraints_summary,selected_recipe_signature,selected_tube_mass_kg,selected_clearance_margin_m,selected_moment_closure_status,selected_wire_feasible,selected_inverse_feasible,selected_production_hard_feasible,selected_blockers,first_light_nearly_passes_recipe_signature,first_light_nearly_passes_tube_mass_kg,first_light_nearly_passes_clearance_margin_m,first_light_nearly_passes_moment_closure_status,first_light_nearly_passes_wire_feasible,first_light_nearly_passes_inverse_feasible,first_light_nearly_passes_production_hard_feasible,first_light_nearly_passes_blockers,nearest_production_hard_feasible_recipe_signature,nearest_production_hard_feasible_tube_mass_kg,nearest_production_hard_feasible_clearance_margin_m,nearest_production_hard_feasible_moment_closure_status,nearest_production_hard_feasible_wire_feasible,nearest_production_hard_feasible_inverse_feasible,nearest_production_hard_feasible_production_hard_feasible,nearest_production_hard_feasible_blockers
1.8,1.6901354523865375,226,165,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":48,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":165,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.020000",17.10735688964509,0.01956179169109995,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.020000",17.10735688964509,0.01956179169109995,fail,True,True,False,moment_closure,,,,,,,,
1.9,1.7840318664080117,226,171,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":42,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":171,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.010000",16.541260309274975,0.02144383869914024,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.010000",16.541260309274975,0.02144383869914024,fail,True,True,False,moment_closure,,,,,,,,
2.0,1.8779282804294861,226,172,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":41,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":172,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.005000",16.030394935000167,0.027652108802134978,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.005000",16.030394935000167,0.027652108802134978,fail,True,True,False,moment_closure,,,,,,,,
2.025,1.9014023839348546,226,174,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":39,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":174,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.000000",15.518634942853357,0.000271897390967224,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.000000",15.518634942853357,0.000271897390967224,fail,True,True,False,moment_closure,,,,,,,,
2.05,1.924876487440223,226,181,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":32,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":181,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,1.000000,0.950000,0.000000",15.36777259818625,0.0019172404496774487,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,1.000000,0.950000,0.000000",15.36777259818625,0.0019172404496774487,fail,True,True,False,moment_closure,,,,,,,,
2.1,1.9718246944509605,226,188,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":25,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":188,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.000000",15.056965894791809,0.004419579797761752,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.000000",15.056965894791809,0.004419579797761752,fail,True,True,False,moment_closure,,,,,,,,
2.2,2.065721108472435,226,194,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":19,""clearance|moment_closure|geometry_validity"":4,""moment_closure"":194,""moment_closure|geometry_validity"":9}","baseline_uniform|1.000000,1.000000,0.000000,1.000000,0.000000",14.702920907067146,0.02268545964802371,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,0.000000,1.000000,0.000000",14.702920907067146,0.02268545964802371,fail,True,True,False,moment_closure,,,,,,,,
2.4,2.2535139365153833,226,197,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":16,""clearance|moment_closure|geometry_validity"":3,""moment_closure"":197,""moment_closure|geometry_validity"":10}","baseline_uniform|1.000000,0.000000,0.000000,1.000000,0.000000",13.981704076910821,0.026026630716975196,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,0.000000,0.000000,1.000000,0.000000",13.981704076910821,0.026026630716975196,fail,True,True,False,moment_closure,,,,,,,,
2.7,2.5352031785798066,226,200,0,best_clearance_wire_geometry_recipe_but_moment_closure_blocks,"{""clearance|moment_closure"":13,""clearance|moment_closure|geometry_validity"":3,""moment_closure"":200,""moment_closure|geometry_validity"":10}","baseline_uniform|1.000000,1.000000,0.000000,0.000000,0.000000",11.594853873122727,0.027530463133031757,fail,True,True,False,moment_closure,"baseline_uniform|1.000000,1.000000,0.000000,0.000000,0.000000",11.594853873122727,0.027530463133031757,fail,True,True,False,moment_closure,,,,,,,,
