airfoil_id,zone_origin,Re,roughness_mode,alpha_deg,cl,cd,cm,converged,status,backend,warning_flags,branch_label,screening_quality
dae11,"root,mid1",100000.0,clean,1.25,0.5221089178327011,0.050919095741241094,-0.13221515423362995,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,1.5,0.542895806761962,0.05173402981108023,-0.13176951354631186,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,1.75,0.5817158135732865,0.0521039881408752,-0.13267738750488783,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,2.0,0.630000032976492,0.05238356101566827,-0.1342531108432442,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,2.25,0.6944289413668053,0.05243409314518911,-0.1368400718764347,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,2.5,0.6248070163990818,0.05570460295087252,-0.13000600442149654,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,2.75,0.6634967786874071,0.05588857220581834,-0.13070544842042395,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,3.0,0.7104809727749063,0.05591957678215668,-0.13193883868290687,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,3.25,0.7633506956437918,0.05598697939585107,-0.1334935910115114,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,3.5,0.866140409461521,0.05011888542567093,-0.14137851621741407,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,3.75,0.7457737526954256,0.059579541889657965,-0.12869886020131865,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,4.0,0.7916742664888115,0.05938235112391103,-0.12961905007202457,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,4.25,0.7603535680544614,0.06276220312248139,-0.12617297339656472,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,4.5,0.7886936325501892,0.06323165522604053,-0.1261244330702477,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,4.75,0.8291802013008645,0.06301332095184721,-0.1266127732496345,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,5.0,0.8745644692066052,0.06256252501603098,-0.12727406320701856,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,5.25,0.9305016726086532,0.06152148237375915,-0.12843668020811028,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,5.5,0.8726596139949504,0.06651870506774007,-0.12403787216628191,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,5.75,0.9139766759636501,0.06600349507199892,-0.12434451721919325,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,6.0,0.9587779355102525,0.06526235561854647,-0.12471157634593794,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,6.25,0.921288401674734,0.06964898450011302,-0.12167415625215915,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,6.5,0.9581515468849784,0.06924656944419873,-0.12169932340833244,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,6.75,1.0001834267575587,0.06835511064585756,-0.12177548523858628,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,7.0,1.051283479750539,0.06666052305680005,-0.12212501014610185,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,7.25,1.00499049746576,0.07222026740208654,-0.11910478580643814,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,7.5,1.0441769363975506,0.07128244192041366,-0.11893686265833608,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,7.75,1.084335976090042,0.07020462193987806,-0.1187122519718974,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,8.0,1.1458204594852126,0.06494715217762481,-0.11798442268860392,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,8.25,1.0902089402947435,0.07393774094132656,-0.11610117269885642,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,8.5,1.132617611598859,0.0722743035609633,-0.11575011010967946,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,8.75,1.1870690197775184,0.06903177065791932,-0.11546896003105311,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,9.0,1.1368040632984893,0.07641859460665913,-0.11322318481452368,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,9.25,1.1790475071789472,0.07434261987252654,-0.11261516256583513,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,9.5,1.2224548093412873,0.07195630157130395,-0.1118920563170661,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,9.75,1.184417852973968,0.07856236387798944,-0.11023756714658095,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,10.0,1.227569639936626,0.0758932559448651,-0.10935829265518478,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,10.25,1.2729982029532423,0.07277734947655255,-0.10844408069159346,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,10.5,1.4041077271172342,0.05874589212515623,-0.10815028336215972,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,10.75,1.385621962194417,0.06300341351774587,-0.10679313266202181,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,11.0,1.29978124065335,0.07644885780312706,-0.10471266149479705,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,11.25,1.3629826039380106,0.0701664421474201,-0.10351275982677381,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,11.5,1.4346523366825743,0.06303334907481013,-0.10273701543468665,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,11.75,1.5743058059593575,0.04876752843620539,-0.10413092736220886,False,ok,julia_xfoil,not_converged,unknown,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,12.0,1.497581812200934,0.05914778844719409,-0.1004332624502786,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,12.25,1.583814207489095,0.051193920209704695,-0.1005124938601959,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,12.5,1.5863186480375715,0.052628568891800565,-0.0986866576430463,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,12.75,1.6019609043948146,0.052729842145261954,-0.09717450104222435,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,13.0,1.6359024723134135,0.050870780871294895,-0.09600878757899146,True,ok,julia_xfoil,,prestall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,13.25,1.6266405050357204,0.05362709468589891,-0.09399247119971439,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,13.5,1.624880988139347,0.05571995409441425,-0.09220631407737875,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,13.75,1.6329153890353925,0.05671976046786262,-0.09055068885863173,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,14.0,1.6277166037397672,0.05925953295027827,-0.0888976876301277,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,14.25,1.6179259157229038,0.06259458621626782,-0.08746020957521913,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,14.5,1.6173433360702039,0.06480812764054976,-0.086016045603375,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,14.75,1.6115658859660904,0.06775480063019416,-0.08476921435322692,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,15.0,1.599937138282737,0.07169891930769726,-0.08382731414374832,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,15.25,1.595178134778675,0.07463793058477039,-0.08269996285340227,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,15.5,1.5850678257497646,0.0785047880186041,-0.08199370424485682,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,15.75,1.576285786888428,0.08236316328877175,-0.0813363752783065,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,16.0,1.5719164889225885,0.08542091026640362,-0.08043870205034995,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,16.25,1.5592787221643085,0.09016057291507719,-0.08045038416448752,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,16.5,1.555144546908104,0.0933265761026325,-0.07973223876848565,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,16.75,1.545335220362465,0.09773395653067517,-0.07984569115314766,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
dae11,"root,mid1",100000.0,clean,17.0,1.5445287187797356,0.10043215085508261,-0.07900548140666873,True,ok,julia_xfoil,,poststall,seed_reference_pending_full_polar_dae11_rescue
