airfoil_id,zone,Re,roughness_mode,alpha_deg,cl,cd,cm,converged,status,warning_flags,branch_label,raw_source
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,2,0.762901775,0.0288110127,-0.139434027,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,2.25,0.794592675,0.028143593,-0.138979329,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,2.5,0.812207649,0.0290455757,-0.138761734,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,2.75,0.839529879,0.0282342276,-0.13768535,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,3,0.873698201,0.0276036461,-0.137840169,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,3.25,0.891735547,0.0290049732,-0.138121903,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,3.5,0.924510829,0.028536682,-0.138017537,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,3.75,0.957494953,0.0279799113,-0.137721741,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,4,0.972045638,0.0296334027,-0.137533596,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,4.25,1.00400143,0.0291542948,-0.137200603,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,4.5,1.03695985,0.0285584124,-0.136815301,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,4.75,1.04993263,0.0302638634,-0.136323402,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,5,1.08251304,0.0296823087,-0.135952738,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,5.25,1.1218895,0.0283987504,-0.135772069,False,ok,not_converged,unknown,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,5.5,1.1271546,0.030853718,-0.134837434,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,5.75,1.18050836,0.0244643029,-0.131681435,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,6,1.21456243,0.0218989146,-0.129569259,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,6.25,1.23398525,0.0206548242,-0.126553499,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,6.5,1.24308002,0.0207001849,-0.122397221,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,6.75,1.23262651,0.023245076,-0.117420364,False,ok,not_converged,unknown,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,7,1.20681604,0.027328498,-0.11205908,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,7.25,1.2001273,0.0299375144,-0.10853593,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,7.5,1.20222069,0.0320417778,-0.106233257,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,7.75,1.20013516,0.0345580082,-0.103959626,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,8,1.19471263,0.0374308755,-0.101649119,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,8.25,1.19491834,0.0398525552,-0.0997604554,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,8.5,1.19382313,0.0424132836,-0.0978371583,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,8.75,1.19343691,0.0448929992,-0.0958280779,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,9,1.19623065,0.0470247891,-0.0935857254,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,9.25,1.20745382,0.0484025408,-0.0909128912,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,9.5,1.23356196,0.0489791462,-0.088119095,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,9.75,1.32575127,0.0499952596,-0.0876163648,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,10,1.37913779,0.0522325169,-0.0878572733,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,10.25,1.43953349,0.0572985794,-0.0889881518,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,10.5,1.45882731,0.0613085705,-0.087585137,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,10.75,1.18565142,0.0441533907,-0.0564488297,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,11,2.37822885,0.458936096,-0.522991845,False,ok,not_converged,unknown,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,11.25,0.652346088,0.113353935,-0.0559183851,False,ok,not_converged,unknown,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,11.5,1.32166125,0.0573339527,-0.0537976454,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,11.75,1.28812757,0.0605890568,-0.0495112943,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12,1.25354336,0.0638644202,-0.0456494871,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.25,1.21684629,0.066633329,-0.0417730221,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.5,1.18269025,0.0697947912,-0.0391319051,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.6,1.16943511,0.0711474859,-0.0383545383,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.7,1.15627642,0.0725443835,-0.0377158185,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.75,1.14972648,0.0732599925,-0.0374475312,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.8,1.14318287,0.0739862901,-0.0372114192,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,12.9,1.13010883,0.0754734078,-0.0368366679,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13,1.11701054,0.0770069602,-0.0365896122,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.1,1.10385102,0.0785900014,-0.0364709931,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.2,1.09057542,0.0802259397,-0.0364823272,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.25,1.08386418,0.0810646616,-0.0365372712,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.3,1.0771088,0.0819189301,-0.036626737,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.4,1.06337816,0.0836775027,-0.0369116224,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.5,1.0492899,0.0855267127,-0.0373535922,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.6,1.03477927,0.0874853014,-0.0379661014,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.7,1.01986183,0.0895665534,-0.0387585384,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.75,1.01228696,0.0906574216,-0.0392234675,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.8,1.00470962,0.0917807832,-0.0397315019,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,13.9,0.989648435,0.0941264007,-0.0408696541,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14,0.975012107,0.096588095,-0.0421434574,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.1,0.960977717,0.0991514774,-0.0435268207,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.2,0.947565274,0.101807778,-0.0450021772,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.25,0.941080554,0.103169211,-0.0457715003,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.3,0.934717674,0.10455307,-0.0465615696,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.4,0.922352781,0.107389884,-0.0482017996,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.5,0.910404392,0.110321991,-0.0499195467,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.6,0.898828577,0.113353619,-0.0517136364,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.7,0.8871682,0.116537926,-0.053641164,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.75,0.881183204,0.118206828,-0.0546741667,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.8,0.875062467,0.119937322,-0.0557616246,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,14.9,0.862251087,0.123626659,-0.0581365552,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15,0.848148803,0.12778203,-0.0609086955,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.1,0.831388792,0.132829789,-0.0644133114,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.2,0.806764823,0.140264491,-0.0698380854,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.25,0.794241444,0.144076709,-0.0725742072,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.3,1.08645594,0.203235402,-0.125718759,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.4,1.10591978,0.204506932,-0.121558763,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.5,1.08372854,0.206803195,-0.127806413,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.6,1.08622332,0.207846268,-0.128117237,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.7,1.10911113,0.207612588,-0.122411441,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.75,1.10190069,0.209023122,-0.124922478,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.8,1.09515176,0.210320313,-0.127316998,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,15.9,1.09124867,0.211999782,-0.129436226,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16,1.11506563,0.210563189,-0.122644037,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.1,1.10304173,0.213542261,-0.127535791,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.2,1.09814475,0.215700438,-0.130277537,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.25,1.09964069,0.216130075,-0.130384422,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.3,1.11316191,0.214348414,-0.12651168,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.4,0.752956271,0.175298433,-0.0887017239,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.5,0.758571964,0.176488943,-0.0884378294,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.6,0.771382162,0.178111067,-0.087315183,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.7,0.793378081,0.182118197,-0.0852832744,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.75,0.782731952,0.182055263,-0.0868280061,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.8,0.768176205,0.181599453,-0.0887789333,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,16.9,0.757540557,0.182215358,-0.0906561845,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17,0.759521514,0.18335402,-0.0908773321,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.1,0.766610301,0.184487722,-0.0903513938,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.2,0.803757795,0.189106518,-0.0860049597,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.25,0.797699421,0.189426927,-0.0870881209,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.3,0.790260091,0.189589589,-0.0883515709,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.4,0.771011257,0.189471722,-0.0913988309,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.5,0.764142797,0.190411915,-0.0929530552,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.6,0.765163872,0.191624221,-0.0933544113,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.7,0.769723501,0.192775009,-0.0931833833,True,ok,,poststall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,clean,17.75,0.774410354,0.193384226,-0.0927266003,True,ok,,poststall,phase7_1_focused_rerun
