Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
23,6.40093467797,0.263569488682,0.560211411521,3.06350000e-02,8.00000000e-04,0.737994568309,0.565048014571,1.00000000e-02,8.00000000e-04,6.87913537e+01,-4.01629628e+01,1.86273307e+01,-4.40587789e-01,0,0
24,6.69188625424,0.261152831346,0.606348415943,3.06350000e-02,8.00000000e-04,0.73122792777,0.61099297445,1.00000000e-02,8.00000000e-04,6.80439853e+01,-3.94038273e+01,1.84098827e+01,-4.40587789e-01,0,0
25,6.98283783051,0.258736174011,0.65404161582,3.06350000e-02,8.00000000e-04,0.72446128723,0.658484693842,1.00000000e-02,8.00000000e-04,6.72271388e+01,-3.86134236e+01,1.81722200e+01,-4.40587789e-01,0,0
26,7.27378940678,0.256319516675,0.703292729452,3.06350000e-02,8.00000000e-04,0.717694646691,0.707525231766,1.00000000e-02,8.00000000e-04,6.64145736e+01,-3.78666120e+01,1.79358028e+01,-4.40587789e-01,0,0
27,7.56474098305,0.25390285934,0.754103475144,3.06350000e-02,8.00000000e-04,0.710928006152,0.758116647197,1.00000000e-02,8.00000000e-04,6.56086788e+01,-3.72222481e+01,1.77013265e+01,-4.40587789e-01,1,1
28,7.85569255932,0.251486202004,0.806475571196,3.06350000e-02,8.00000000e-04,0.704161365612,0.810260999062,1.00000000e-02,8.00000000e-04,6.48061421e+01,-3.65656270e+01,1.74678271e+01,-4.40587789e-01,0,0
29,8.14664413559,0.249069544669,0.860410735913,3.06350000e-02,8.00000000e-04,0.697394725073,0.863960346248,1.00000000e-02,8.00000000e-04,6.40101112e+01,-3.58577653e+01,1.72362207e+01,-4.40587789e-01,0,0
30,8.43759571186,0.246652887333,0.915910687595,3.06350000e-02,8.00000000e-04,0.690628084534,0.919216747599,1.00000000e-02,8.00000000e-04,6.31947793e+01,-3.51769073e+01,1.69989986e+01,-4.40587789e-01,0,0
31,8.72854728814,0.244236229998,0.972977144545,3.06350000e-02,8.00000000e-04,0.683861443994,0.976032261925,1.00000000e-02,8.00000000e-04,6.22616193e+01,-3.46297504e+01,1.67274942e+01,-4.40587789e-01,0,0
32,9.01949886441,0.241777778329,1.03526590409,3.06350000e-02,8.00000000e-04,0.676977779322,1.03781969498,1.00000000e-02,8.00000000e-04,6.13233600e+01,-3.40716948e+01,1.64545062e+01,-4.40587789e-01,0,0
33,9.31045044068,0.239230514207,1.10718766757,3.06350000e-02,8.00000000e-04,0.669845439781,1.10870752776,1.00000000e-02,8.00000000e-04,6.02881057e+01,-3.34283716e+01,1.61532973e+01,-4.40587789e-01,0,0
34,9.60140201695,0.236683250086,1.18113296301,3.06350000e-02,8.00000000e-04,0.66271310024,1.18159990692,1.00000000e-02,8.00000000e-04,5.92565934e+01,-3.27888470e+01,1.58531772e+01,-4.40587789e-01,0,0
35,9.89235359322,0.234135985964,1.25710360159,3.06350000e-02,8.00000000e-04,0.655580760699,1.25649994299,1.00000000e-02,8.00000000e-04,5.81054411e+01,-3.22142005e+01,1.55182476e+01,-4.40587789e-01,0,0
36,10.1833051695,0.231588721842,1.33510139448,3.06350000e-02,8.00000000e-04,0.648448421157,1.33341074633,1.00000000e-02,8.00000000e-04,5.69649021e+01,-3.16386391e+01,1.51864060e+01,-4.40587789e-01,0,0
37,10.4742567458,0.22904145772,1.41512815284,3.06350000e-02,8.00000000e-04,0.641316081616,1.41233542713,1.00000000e-02,8.00000000e-04,5.57883225e+01,-3.08108839e+01,1.50198545e+01,-4.40587789e-01,1,0
38,10.765208322,0.226494193598,1.49718568783,2.29750000e-02,8.00000000e-04,0.634183742075,1.49327709551,1.00000000e-02,8.00000000e-04,5.46190267e+01,-2.99803722e+01,1.48554222e+01,-4.40587789e-01,0,0
39,11.0561598983,0.223946929477,1.58127581063,2.29750000e-02,8.00000000e-04,0.627051402534,1.57623886146,1.00000000e-02,8.00000000e-04,5.33326260e+01,-2.91101091e+01,1.44811419e+01,-4.40587789e-01,0,0
40,11.3471114746,0.221399665355,1.66740033241,2.29750000e-02,8.00000000e-04,0.619919062993,1.66122383492,1.00000000e-02,8.00000000e-04,5.20426053e+01,-2.82345068e+01,1.41058083e+01,-4.40587789e-01,0,0
41,11.6380630508,0.218852401233,1.75556106432,2.29750000e-02,8.00000000e-04,0.612786723452,1.74823512579,1.00000000e-02,8.00000000e-04,5.02505108e+01,-2.72527139e+01,1.35843956e+01,-4.40587789e-01,0,0
42,11.9290146271,0.216305137111,1.84575981754,2.29750000e-02,8.00000000e-04,0.605654383911,1.83727584393,1.00000000e-02,8.00000000e-04,4.84044164e+01,-2.62630221e+01,1.30472715e+01,-4.40587789e-01,0,0
43,12.2199662034,0.213632208738,1.94633928378,2.29750000e-02,8.00000000e-04,0.598170184466,1.93659946764,1.00000000e-02,8.00000000e-04,4.59512913e+01,-2.52774355e+01,1.23335309e+01,-4.40587789e-01,0,0
44,12.5109177797,0.210905424345,2.05286547295,2.29750000e-02,8.00000000e-04,0.590535188167,2.04182612085,1.00000000e-02,8.00000000e-04,4.34028566e+01,-2.43023445e+01,1.15920598e+01,-4.40587789e-01,0,0
45,12.8018693559,0.208178639953,2.16182396355,2.29750000e-02,8.00000000e-04,0.582900191868,2.14948189955,1.00000000e-02,8.00000000e-04,4.03664740e+01,-2.32588741e+01,1.07086195e+01,-4.40587789e-01,0,0
46,13.0928209322,0.20545185556,2.27321669437,2.29750000e-02,8.00000000e-04,0.575265195569,2.25957030234,1.00000000e-02,8.00000000e-04,3.72364019e+01,-2.22091507e+01,9.79792009e+00,-4.40587789e-01,0,0
47,13.3837725085,0.202725071168,2.38704560423,2.29750000e-02,8.00000000e-04,0.567630199269,2.37209482799,1.00000000e-02,8.00000000e-04,3.41107495e+01,-2.05396541e+01,9.07151119e+00,-4.40587789e-01,1,0
48,13.6747240847,0.199998286775,2.50331263195,1.50000000e-02,8.00000000e-04,0.55999520297,2.48705897543,1.00000000e-02,8.00000000e-04,3.10692335e+01,-1.86773202e+01,8.36958186e+00,-4.40587789e-01,0,0
49,13.965675661,0.197271502382,2.62201971633,1.50000000e-02,8.00000000e-04,0.552360206671,2.6044662438,1.00000000e-02,8.00000000e-04,2.86134876e+01,-1.68089945e+01,7.65507873e+00,-4.40587789e-01,0,0
50,14.2566272373,0.194411486037,2.7486433671,1.50000000e-02,8.00000000e-04,0.544352160902,2.73003310564,1.00000000e-02,8.00000000e-04,2.64961119e+01,-1.49932003e+01,7.03902492e+00,-4.40587789e-01,0,0
51,14.5475788136,0.191469811706,2.88127732888,1.50000000e-02,8.00000000e-04,0.536115472778,2.86176496792,1.00000000e-02,8.00000000e-04,2.48907303e+01,-1.31840144e+01,6.57193661e+00,-4.40587789e-01,0,0
52,14.8385303898,0.188528137376,3.01661779987,1.50000000e-02,8.00000000e-04,0.527878784654,2.99621372497,1.00000000e-02,8.00000000e-04,2.36012249e+01,-1.14450983e+01,6.19675299e+00,-4.40587789e-01,0,0
53,15.1294819661,0.185586463046,3.15466687167,1.50000000e-02,8.00000000e-04,0.51964209653,3.13338267718,1.00000000e-02,8.00000000e-04,2.23956190e+01,-9.61539838e+00,5.84598005e+00,-4.40587789e-01,0,0
54,15.4204335424,0.182644788716,3.29542663587,1.50000000e-02,8.00000000e-04,0.511405408405,3.2732751252,1.00000000e-02,8.00000000e-04,2.12441856e+01,-7.80507669e+00,5.51096868e+00,-4.40587789e-01,0,0
55,15.7113851186,0.179459406066,3.44440877638,1.50000000e-02,8.00000000e-04,0.502486336984,3.42143516484,1.00000000e-02,8.00000000e-04,1.99899389e+01,-5.96549186e+00,5.14604363e+00,-4.40587789e-01,0,0
56,16.0023366949,0.176246944402,3.59688029209,1.50000000e-02,8.00000000e-04,0.493491444327,3.57310680449,1.00000000e-02,8.00000000e-04,1.86431444e+01,-4.17605922e+00,4.75419166e+00,-4.40587789e-01,0,0
57,16.2932882712,0.173034482739,3.7522398198,1.50000000e-02,8.00000000e-04,0.48449655167,3.72768671843,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
58,16.5842398475,0.169130912352,3.91497480242,1.50000000e-02,8.00000000e-04,0.473566554585,3.89056085269,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
59,16.8751914237,0.165190967426,4.08097148219,1.50000000e-02,8.00000000e-04,0.462534708792,4.05676001586,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
60,17.166143,0.1612510225,4.25,1.50000000e-02,8.00000000e-04,0.451502863,4.22600707681,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-3.35030298e-01,-2.20293895e-01,0,0
