Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
23,6.40439189146,0.263153598106,0.457654489257,3.06350000e-02,8.00000000e-04,0.738385358678,0.233007676948,1.00000000e-02,8.00000000e-04,6.87913537e+01,-4.01629628e+01,1.86273307e+01,-4.40587789e-01,0,0
24,6.6965153251,0.261010751102,0.480529768686,3.06350000e-02,8.00000000e-04,0.731799521876,0.237867968511,1.00000000e-02,8.00000000e-04,6.80439853e+01,-3.94038273e+01,1.84098827e+01,-4.40587789e-01,0,0
25,6.98884618962,0.258737848237,0.500965098607,3.06350000e-02,8.00000000e-04,0.724952193266,0.240306833622,1.00000000e-02,8.00000000e-04,6.72271388e+01,-3.86134236e+01,1.81722200e+01,-4.40587789e-01,0,0
26,7.28141219099,0.25631498007,0.518432063412,3.06350000e-02,8.00000000e-04,0.718200077724,0.243192857527,1.00000000e-02,8.00000000e-04,6.64145736e+01,-3.78666120e+01,1.79358028e+01,-4.40587789e-01,0,0
27,7.57424528496,0.254048960261,0.532373912543,3.06350000e-02,8.00000000e-04,0.712161201905,0.249432836968,1.00000000e-02,8.00000000e-04,6.56086788e+01,-3.72222481e+01,1.77013265e+01,-4.40587789e-01,1,1
28,7.86733944652,0.251656682345,0.542219878385,3.06350000e-02,8.00000000e-04,0.704229834195,0.260414273673,1.00000000e-02,8.00000000e-04,6.48061421e+01,-3.65656270e+01,1.74678271e+01,-4.40587789e-01,0,0
29,8.16069592802,0.249006915941,0.548585288435,3.06350000e-02,8.00000000e-04,0.696368105931,0.273259226359,1.00000000e-02,8.00000000e-04,6.40101112e+01,-3.58577653e+01,1.72362207e+01,-4.40587789e-01,0,0
30,8.4542891262,0.246563050203,0.552044194045,3.06350000e-02,8.00000000e-04,0.68995877352,0.284846736376,1.00000000e-02,8.00000000e-04,6.31947793e+01,-3.51769073e+01,1.69989986e+01,-4.40587789e-01,0,0
31,8.74809113631,0.244348994805,0.553143521049,3.06350000e-02,8.00000000e-04,0.683255936738,0.292096276783,1.00000000e-02,8.00000000e-04,6.22616193e+01,-3.46297504e+01,1.67274942e+01,-4.40587789e-01,0,0
32,9.04236256772,0.2418102135,0.556027784824,3.06350000e-02,8.00000000e-04,0.676196174286,0.295581721445,1.00000000e-02,8.00000000e-04,6.13233600e+01,-3.40716948e+01,1.64545062e+01,-4.40587789e-01,0,0
33,9.33745321939,0.238585161163,0.565499811658,3.06350000e-02,8.00000000e-04,0.668631710417,0.298535743917,1.00000000e-02,8.00000000e-04,6.02881057e+01,-3.34283716e+01,1.61532973e+01,-4.40587789e-01,0,0
34,9.63273864022,0.236333705604,0.574276851863,3.06350000e-02,8.00000000e-04,0.661682039957,0.296356652682,1.00000000e-02,8.00000000e-04,5.92565934e+01,-3.27888470e+01,1.58531772e+01,-4.40587789e-01,0,0
35,9.92819280448,0.233903415604,0.582599724406,3.06350000e-02,8.00000000e-04,0.654367581675,0.292027107852,1.00000000e-02,8.00000000e-04,5.81054411e+01,-3.22142005e+01,1.55182476e+01,-4.40587789e-01,0,0
36,10.2237999953,0.231129199777,0.590684206184,3.06350000e-02,8.00000000e-04,0.647018836593,0.288580146838,1.00000000e-02,8.00000000e-04,5.69649021e+01,-3.16386391e+01,1.51864060e+01,-4.40587789e-01,0,0
37,10.5195456033,0.227785879527,0.598721549614,3.06350000e-02,8.00000000e-04,0.639324710373,0.289099182314,1.00000000e-02,8.00000000e-04,5.57883225e+01,-3.08108839e+01,1.50198545e+01,-4.40587789e-01,1,0
38,10.8155192958,0.225526147261,0.605685987463,2.29750000e-02,8.00000000e-04,0.631141463789,0.294587882167,1.00000000e-02,8.00000000e-04,5.46190267e+01,-2.99803722e+01,1.48554222e+01,-4.40587789e-01,0,0
39,11.1117503635,0.223859132571,0.611007382925,2.29750000e-02,8.00000000e-04,0.624059995012,0.302637619318,1.00000000e-02,8.00000000e-04,5.33326260e+01,-2.91101091e+01,1.44811419e+01,-4.40587789e-01,0,0
40,11.4081792502,0.22121168344,0.615367130219,2.29750000e-02,8.00000000e-04,0.616869190058,0.311515494784,1.00000000e-02,8.00000000e-04,5.20426053e+01,-2.82345068e+01,1.41058083e+01,-4.40587789e-01,0,0
41,11.7047718601,0.218504600532,0.61939195854,2.29750000e-02,8.00000000e-04,0.609590104677,0.31952990326,1.00000000e-02,8.00000000e-04,5.02505108e+01,-2.72527139e+01,1.35843956e+01,-4.40587789e-01,0,0
42,12.0014935699,0.216194388625,0.623655362996,2.29750000e-02,8.00000000e-04,0.602522271183,0.325030532219,1.00000000e-02,8.00000000e-04,4.84044164e+01,-2.62630221e+01,1.30472715e+01,-4.40587789e-01,0,0
43,12.2991060284,0.212871007214,0.636898438202,2.29750000e-02,8.00000000e-04,0.594364701676,0.334758151351,1.00000000e-02,8.00000000e-04,4.59512913e+01,-2.52774355e+01,1.23335309e+01,-4.40587789e-01,0,0
44,12.5971566259,0.210072373731,0.655025634109,2.29750000e-02,8.00000000e-04,0.586587458652,0.345282634883,1.00000000e-02,8.00000000e-04,4.34028566e+01,-2.43023445e+01,1.15920598e+01,-4.40587789e-01,0,0
45,12.8952836577,0.207463143254,0.674712554493,2.29750000e-02,8.00000000e-04,0.578826901084,0.355252441139,1.00000000e-02,8.00000000e-04,4.03664740e+01,-2.32588741e+01,1.07086195e+01,-4.40587789e-01,0,0
46,13.1934720172,0.204232882518,0.696054625361,2.29750000e-02,8.00000000e-04,0.570585560097,0.36688029034,1.00000000e-02,8.00000000e-04,3.72364019e+01,-2.22091507e+01,9.79792009e+00,-4.40587789e-01,0,0
47,13.4917031789,0.198854415205,0.719106500437,2.29750000e-02,8.00000000e-04,0.559802966376,0.382422790942,1.00000000e-02,8.00000000e-04,3.41107495e+01,-2.05396541e+01,9.07151119e+00,-4.40587789e-01,1,0
48,13.7901875604,0.196846440759,0.742735205802,1.50000000e-02,8.00000000e-04,0.554137165409,0.402790778932,1.00000000e-02,8.00000000e-04,3.10692335e+01,-1.86773202e+01,8.36958186e+00,-4.40587789e-01,0,0
49,14.0888980466,0.197044878623,0.76632685115,1.50000000e-02,8.00000000e-04,0.549819311265,0.42713606696,1.00000000e-02,8.00000000e-04,2.86134876e+01,-1.68089945e+01,7.65507873e+00,-4.40587789e-01,0,0
50,14.3882592412,0.193158326746,0.795871454477,1.50000000e-02,8.00000000e-04,0.540050556698,0.460603050351,1.00000000e-02,8.00000000e-04,2.64961119e+01,-1.49932003e+01,7.03902492e+00,-4.40587789e-01,0,0
51,14.6880766442,0.189786946727,0.830043721201,1.50000000e-02,8.00000000e-04,0.531335604859,0.501101652178,1.00000000e-02,8.00000000e-04,2.48907303e+01,-1.31840144e+01,6.57193661e+00,-4.40587789e-01,0,0
52,14.987983185,0.187052121597,0.866056721985,1.50000000e-02,8.00000000e-04,0.523154017012,0.545182466314,1.00000000e-02,8.00000000e-04,2.36012249e+01,-1.14450983e+01,6.19675299e+00,-4.40587789e-01,0,0
53,15.2879383326,0.184035001958,0.904259868803,1.50000000e-02,8.00000000e-04,0.514656969383,0.592667817037,1.00000000e-02,8.00000000e-04,2.23956190e+01,-9.61539838e+00,5.84598005e+00,-4.40587789e-01,0,0
54,15.5879221957,0.18110068933,0.944917152223,1.50000000e-02,8.00000000e-04,0.506251885966,0.643401318621,1.00000000e-02,8.00000000e-04,2.12441856e+01,-7.80507669e+00,5.51096868e+00,-4.40587789e-01,0,0
55,15.8884424493,0.177338602684,0.993473649814,1.50000000e-02,8.00000000e-04,0.496489343838,0.702190864435,1.00000000e-02,8.00000000e-04,1.99899389e+01,-5.96549186e+00,5.14604363e+00,-4.40587789e-01,0,0
56,16.189030965,0.174169863562,1.04552209485,1.50000000e-02,8.00000000e-04,0.48719790831,0.76469514898,1.00000000e-02,8.00000000e-04,1.86431444e+01,-4.17605922e+00,4.75419166e+00,-4.40587789e-01,0,0
57,16.489618232,0.17098095588,1.10052332159,1.50000000e-02,8.00000000e-04,0.477997011784,0.830281393234,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
58,16.7906642806,0.166310436612,1.16223650255,1.50000000e-02,8.00000000e-04,0.465507347634,0.902566145605,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
59,17.0917473204,0.162186011025,1.22719384265,1.50000000e-02,8.00000000e-04,0.453663002984,0.978132563653,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.70060596e-01,-4.40587789e-01,0,0
60,17.3928380295,0.158198500466,1.29518881185,1.50000000e-02,8.00000000e-04,0.442522021662,1.05676074982,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-3.35030298e-01,-2.20293895e-01,0,0
