spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,46,13.383773,3.87065596e-03,-1.07930670e-01,1.66793910e+00,-3.04940790e-01,-8.81689262e-01,-5.56978050e-02
main,47,13.674724,3.15184602e-03,-1.15463476e-01,1.76057743e+00,-3.14386684e-01,-9.15074134e-01,-9.52168620e-02
main,48,13.965676,2.26623760e-04,-1.23222386e-01,1.85569287e+00,-3.21457866e-01,-9.46430206e-01,-7.62058760e-02
main,49,14.256627,1.25315929e-03,-1.31632004e-01,1.95277191e+00,-3.26582423e-01,-9.69757144e-01,-8.29310279e-02
main,50,14.547579,1.68286498e-03,-1.40497831e-01,2.05123361e+00,-3.30087937e-01,-9.87701319e-01,-9.04590917e-02
main,51,14.838530,1.47601578e-03,-1.49452795e-01,2.15056108e+00,-3.32287771e-01,-1.00155532e+00,-9.02653133e-02
main,52,15.129482,1.55146109e-03,-1.58456366e-01,2.25040700e+00,-3.33485441e-01,-1.01119682e+00,-9.07314635e-02
main,53,15.420434,1.54409939e-03,-1.67488653e-01,2.35050948e+00,-3.33959850e-01,-1.01724733e+00,-9.23455080e-02
main,54,15.711385,2.12080338e-03,-1.77057331e-01,2.45093513e+00,-3.33971561e-01,-1.02028720e+00,-9.79574417e-02
main,55,16.002337,2.07708084e-03,-1.86694270e-01,2.55135820e+00,-3.33762854e-01,-1.02166892e+00,-9.82864566e-02
main,56,16.293288,2.05352686e-03,-1.96329961e-01,2.65171650e+00,-3.33566560e-01,-1.02159256e+00,-9.80494934e-02
main,57,16.584240,2.82047574e-03,-2.06424433e-01,2.75273830e+00,-3.33467687e-01,-1.02129117e+00,-1.01019005e-01
main,58,16.875191,3.00495640e-03,-2.16555897e-01,2.85377764e+00,-3.33430195e-01,-1.02113608e+00,-1.02562535e-01
main,59,17.166143,3.05252203e-03,-2.26695029e-01,2.95481119e+00,-3.33421621e-01,-1.02118452e+00,-1.02078788e-01
rear,0,0.000000,-1.25668383e-23,-2.01776205e-22,-3.07320379e-22,6.07678907e-22,-3.95087806e-24,1.10537253e-22
rear,1,0.290952,1.26860007e-04,-3.01387988e-04,7.87791299e-03,-4.87103974e-02,-2.94245997e-02,-7.19402251e-04
rear,2,0.581903,1.70433687e-04,-8.46670700e-04,2.66038712e-02,-7.32872145e-02,-5.83153022e-02,-1.87379143e-03
rear,3,0.872855,1.59341333e-04,-1.47834838e-03,4.91412970e-02,-7.36509030e-02,-8.66946429e-02,-2.37401978e-03
rear,4,1.163806,1.56768323e-04,-2.03749598e-03,6.84306101e-02,-4.97228527e-02,-1.14541924e-01,-3.07165205e-03
rear,5,1.454758,2.84265859e-05,-2.36880146e-03,7.73892277e-02,-1.42428459e-03,-1.41844193e-01,-4.47177989e-03
rear,6,1.745709,-4.36084461e-04,-2.58353574e-03,7.95538880e-02,-7.54438243e-03,-1.69591026e-01,-2.64421905e-03
rear,7,2.036661,-4.23375095e-04,-2.84501360e-03,8.42730867e-02,-1.77618200e-02,-1.97391088e-01,-2.43515639e-03
rear,8,2.327613,-3.68760147e-04,-3.18912523e-03,9.27275934e-02,-3.19961299e-02,-2.25248085e-01,-3.60325943e-03
rear,9,2.618564,-4.36931562e-04,-3.64538790e-03,1.06074789e-01,-5.01661775e-02,-2.53196405e-01,-4.53045450e-03
rear,10,2.909516,-3.31058634e-04,-4.37975639e-03,1.25127830e-01,-6.81961087e-02,-2.81663517e-01,-7.92595132e-03
rear,11,3.200467,-2.82984339e-04,-5.40525825e-03,1.48752629e-01,-7.88946239e-02,-3.10418968e-01,-1.03867750e-02
rear,12,3.491419,-3.40015271e-04,-6.49878456e-03,1.74146266e-01,-7.90534226e-02,-3.39016183e-01,-1.07742623e-02
rear,13,3.782370,-3.07442373e-04,-7.54243916e-03,1.98227609e-01,-6.85816710e-02,-3.67350265e-01,-1.18834786e-02
rear,14,4.073322,-3.51654166e-04,-8.42521379e-03,2.17888414e-01,-4.73859731e-02,-3.95430832e-01,-1.33980005e-02
rear,15,4.364274,-9.12532881e-04,-9.04102604e-03,2.29993327e-01,-1.53749966e-02,-4.23175255e-01,-1.75115192e-02
rear,16,4.655225,-1.06032963e-03,-9.45506543e-03,2.35726839e-01,-6.54757089e-03,-4.40731020e-01,-9.32994030e-03
rear,17,4.946177,-5.44927808e-04,-9.81155316e-03,2.40301330e-01,-6.60901047e-03,-4.58004451e-01,-1.42576170e-02
rear,18,5.237128,-6.48066070e-04,-1.02341473e-02,2.46286842e-01,-1.54463571e-02,-4.75635333e-01,-1.48909149e-02
rear,19,5.528080,-6.78778428e-04,-1.08014704e-02,2.56224716e-01,-3.29642065e-02,-4.93478770e-01,-1.50914187e-02
rear,20,5.819032,-7.25504090e-04,-1.16086759e-02,2.72627589e-01,-5.90651904e-02,-5.11477666e-01,-1.63477298e-02
rear,21,6.109983,-6.53685359e-04,-1.28624100e-02,2.97752170e-01,-9.05080394e-02,-5.30137190e-01,-2.07884591e-02
rear,22,6.400935,-3.90790369e-04,-1.48170980e-02,3.32040338e-01,-1.18220999e-01,-5.49964519e-01,-2.65843553e-02
rear,23,6.691886,-5.71594106e-04,-1.71331947e-02,3.73125006e-01,-1.36276114e-01,-5.69903620e-01,-2.59336116e-02
rear,24,6.982838,-4.90906036e-04,-1.96493617e-02,4.18177860e-01,-1.44551714e-01,-5.89539040e-01,-2.68758549e-02
rear,25,7.273789,-5.05431033e-04,-2.22265934e-02,4.64332374e-01,-1.42915623e-01,-6.08906992e-01,-2.86513595e-02
rear,26,7.564741,-1.23319575e-03,-2.47295914e-02,5.08683810e-01,-1.31239610e-01,-6.27874089e-01,-3.38110857e-02
rear,27,7.855693,-6.84685824e-05,-2.70526863e-02,5.49846725e-01,-1.24495020e-01,-6.39427503e-01,-2.33572172e-02
rear,28,8.146644,1.02661914e-03,-2.93633809e-02,5.90701120e-01,-1.28574889e-01,-6.50070565e-01,-3.54953767e-02
