load_factor,wire_tension_n,wire_allowable_n,wire_margin_n,wire_utilization,wire_status,first_failure_mode
1.0,1512.0428477460762,4581.4892864851145,3069.446438739038,0.33003304235730396,pass,none_with_margin
1.5,2268.064271619114,4581.4892864851145,2313.4250148660003,0.49504956353595597,pass,none_with_margin
1.75,2646.0749835556335,4581.4892864851145,1935.414302929481,0.577557824125282,pass,none_with_margin
2.0,3024.0856954921524,4581.4892864851145,1557.403590992962,0.6600660847146079,pass,none_with_margin
2.5,3780.1071193651906,4581.4892864851145,801.3821671199239,0.82508260589326,pass,none_with_margin
3.0,4536.128543238228,4581.4892864851145,45.36074324688616,0.9900991270719119,pass,wire_tension_near_limit
