sample_id,sample_role,source_case_id,family_key,material_family_group,solver,status,deck_path,dat_path,frd_path,log_path,returncode,critical_y_m,main_rear_spacing_m,main_lift_n,torque_n_m,main_force_couple_n,rear_force_couple_n,center_main_uz_m,center_rear_uz_m,ccx_twist_rad,ccx_twist_deg_raw,legacy_fast_model_bounded_twist_deg,legacy_fast_model_direct_twist_deg,revised_fast_model_bounded_twist_deg,revised_fast_model_direct_twist_deg,fast_model_bounded_twist_deg,fast_model_direct_twist_deg,fem_twist_deg,fem_direct_twist_deg,legacy_fast_vs_ccx_factor,revised_fast_vs_ccx_factor,twist_factor,legacy_factor_error_pct,revised_factor_error_pct,legacy_error_pct_vs_ccx,revised_error_pct_vs_ccx,twist_delta_deg,fast_vs_fem_bias,bounded_twist_after_calibration_deg,local_compliance_rad_per_n_m,local_stiffness_ratio_vs_baseline,python_local_torsion_link_factor,python_local_torsion_link_twist_deg,reaction_force_sum_z_n,reaction_force_balance_abs_residual_z_n,reaction_force_node_count,shape_retention_index,max_bond_shear_pa,max_peel_pa,tube_wall_margin,local_load_path_risk,relaxed_spacing_assessment,effective_gj_credit_assessment,candidate_disposition,structural_credit_policy,physical_reason_for_improvement,notes,claim_boundary
baseline_balsa_3mm__balsa_sheet_3mm__t3p0mm__uniform_0p30__none__rear50,baseline_balsa_3mm,balsa_sheet_3mm__t3p0mm__uniform_0p30__none__rear50,balsa_sheet_3mm,balsa,calculix_ccx_local_frame_fem,completed,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/01_baseline_balsa_3mm__balsa_sheet_3mm.inp,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/01_baseline_balsa_3mm__balsa_sheet_3mm.dat,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/01_baseline_balsa_3mm__balsa_sheet_3mm.frd,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/01_baseline_balsa_3mm__balsa_sheet_3mm.log,0,2.327757,0.533412,21.202,-12.716,-23.839,23.839,-0.0001883845,0.0002493827,0.000820693007,0.047022246,3.256324,5.413617,3.256324,5.413617,3.256324,5.413617,3.256324,5.413617,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,usable_close,3.256324,6.4540186e-05,1.0,1.0,3.256324,21.2020148,1.48e-05,8,1.0,690651.067,69065.107,2.843167,watch,spacing_not_relaxed_case,credit_usable_without_factor_change,baseline_reference_anchor,candidate_structural_credit_requires_FEM_calibration,baseline anchor; no revised correction is fitted to this row,"Search stiffness calibration is usable, but bond/collar/tube-wall remains watch.","CalculiX local beam-frame torsional/shear-transfer calibration only; not bond peel, buckling, tube-wall, or final sign-off."
selected_hybrid_10mm__eps_balsa_cap_hybrid_10mm__t10p0mm__manufacturing_relaxed_0p36__carbon_face_collar_y2p328__rear75,selected_hybrid_10mm,eps_balsa_cap_hybrid_10mm__t10p0mm__manufacturing_relaxed_0p36__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,hybrid_foam_balsa_cap,calculix_ccx_local_frame_fem,completed,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/02_selected_hybrid_10mm__eps_balsa_cap_hybrid_10mm.inp,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/02_selected_hybrid_10mm__eps_balsa_cap_hybrid_10mm.dat,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/02_selected_hybrid_10mm__eps_balsa_cap_hybrid_10mm.frd,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/02_selected_hybrid_10mm__eps_balsa_cap_hybrid_10mm.log,0,2.327757,0.533412,21.202,-12.716,-23.839,23.839,-0.0001827224,0.0001135265,0.000555385147,0.031821225,1.471349,2.446107,2.107663,3.503975,2.107663,3.503975,2.203642,3.66354,1.497702,1.045538,1.045538,49.77021,4.553835,33.231048,4.355493,0.095979,usable_close,2.203642,4.3676089e-05,1.477701,0.864253,1.821554,21.202012,1.2e-05,8,2.901787,677944.47,193349.763,2.303946,watch,relaxed_spacing_reasonable_for_search_not_final,credit_usable_without_factor_change,keep_selected_after_calibration,candidate_structural_credit_requires_FEM_calibration,relaxed spacing is penalized and carbon collar credit is capped as rib shear-link stiffness,"Search stiffness calibration is usable, but bond/collar/tube-wall remains watch.","CalculiX local beam-frame torsional/shear-transfer calibration only; not bond peel, buckling, tube-wall, or final sign-off."
aggressive_plausible_hybrid__structural_foam_glass_face_10mm__t15p0mm__dense_torque_zone_0p20__carbon_face_collar_y2p328__rear75,aggressive_plausible_hybrid,structural_foam_glass_face_10mm__t15p0mm__dense_torque_zone_0p20__carbon_face_collar_y2p328__rear75,structural_foam_glass_face_10mm,hybrid_foam_glass_carbon_face,calculix_ccx_local_frame_fem,completed,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/03_aggressive_plausible_hybrid__structural_foam_glass_face_10mm.inp,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/03_aggressive_plausible_hybrid__structural_foam_glass_face_10mm.dat,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/03_aggressive_plausible_hybrid__structural_foam_glass_face_10mm.frd,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/03_aggressive_plausible_hybrid__structural_foam_glass_face_10mm.log,0,2.327757,0.533412,21.202,-12.716,-23.839,23.839,-6.37698e-05,3.815547e-05,0.000191081827,0.010948182,0.508631,0.845596,0.749391,1.245858,0.749391,1.245858,0.758169,1.260452,1.490608,1.011714,1.011714,49.060796,1.171407,32.913279,1.157844,0.008778,usable_close,0.758169,1.5026882e-05,4.294982,1.364908,1.02285,21.201998,2e-06,8,7.975359,589516.931,168130.229,2.303946,no_obvious_smoke_risk,spacing_not_relaxed_case,credit_usable_without_factor_change,aggressive_bound_not_selected,candidate_structural_credit_requires_FEM_calibration,thickness and dense-spacing gains are saturated; carbon collar is a shear-link credit,Completed CCX torsional/shear-transfer calibration row; no final sign-off claim.,"CalculiX local beam-frame torsional/shear-transfer calibration only; not bond peel, buckling, tube-wall, or final sign-off."
lightweight_foam_core_reference__eps_hd_foam_cnc_10mm__t10p0mm__uniform_0p30__none__rear50,lightweight_foam_core_reference,eps_hd_foam_cnc_10mm__t10p0mm__uniform_0p30__none__rear50,eps_hd_foam_cnc_10mm,eps_xps_foam_core_shape_only,calculix_ccx_local_frame_fem,completed,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/04_lightweight_foam_core_reference__eps_hd_foam_cnc_10mm.inp,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/04_lightweight_foam_core_reference__eps_hd_foam_cnc_10mm.dat,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/04_lightweight_foam_core_reference__eps_hd_foam_cnc_10mm.frd,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/04_lightweight_foam_core_reference__eps_hd_foam_cnc_10mm.log,0,2.327757,0.533412,21.202,-12.716,-23.839,23.839,-0.0001908621,0.0002559731,0.000837693011,0.047996274,19.944533,33.157654,19.944533,33.157654,19.944533,33.157654,3.323776,5.525756,0.166651,0.166651,0.166651,83.334901,83.334901,500.056442,500.056442,-16.620757,fast_conservative,3.323776,6.5877085e-05,0.979706,0.233224,4.651547,21.20200806,8.06e-06,8,0.075,690651.067,69065.107,2.843167,elevated_watch,spacing_not_relaxed_case,credit_usable_without_factor_change,downgrade_reference_only,shape_core_reference_only,"foam-only row kept as downgraded shape-core reference, not fitted as bracing",CCX row kept as foam shape-core reference; not structural bracing evidence.,"CalculiX local beam-frame torsional/shear-transfer calibration only; not bond peel, buckling, tube-wall, or final sign-off."
revised_selected_candidate__eps_balsa_cap_hybrid_10mm__t10p0mm__uniform_0p30__carbon_face_collar_y2p328__rear75,revised_selected_candidate,eps_balsa_cap_hybrid_10mm__t10p0mm__uniform_0p30__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,hybrid_foam_balsa_cap,calculix_ccx_local_frame_fem,completed,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/05_revised_selected_candidate__eps_balsa_cap_hybrid_10mm.inp,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/05_revised_selected_candidate__eps_balsa_cap_hybrid_10mm.dat,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/05_revised_selected_candidate__eps_balsa_cap_hybrid_10mm.frd,/Volumes/Samsung SSD/hpa-mdo/output/current_pathfinder_rib_torsion_fem_calibration/calculix_local_fem/05_revised_selected_candidate__eps_balsa_cap_hybrid_10mm.log,0,2.327757,0.533412,21.202,-12.716,-23.839,23.839,-0.0001277748,9.282792e-05,0.00041356938,0.02369578,1.353641,2.250418,1.673592,2.782336,1.673592,2.782336,1.64095,2.728068,1.212249,0.980496,0.980496,21.224878,1.950437,17.508681,1.989236,-0.032642,usable_close,1.64095,3.2523544e-05,1.984414,1.049438,1.756331,21.20201,1e-05,8,3.455714,589516.931,168130.229,2.303946,no_obvious_smoke_risk,spacing_not_relaxed_case,credit_usable_without_factor_change,new_selected_after_revised_search,candidate_structural_credit_requires_FEM_calibration,relaxed spacing is penalized and carbon collar credit is capped as rib shear-link stiffness,Completed CCX torsional/shear-transfer calibration row; no final sign-off claim.,"CalculiX local beam-frame torsional/shear-transfer calibration only; not bond peel, buckling, tube-wall, or final sign-off."
