Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
23,6.40484904745,0.263257668138,0.217106276535,3.49239000e-02,8.00000000e-04,0.738276104672,0.0650609517878,1.00000000e-02,8.00000000e-04,6.66674764e+01,-4.01629628e+01,1.78125481e+01,-4.40587789e-01,0,0
24,6.69667259848,0.261016088832,0.222181066986,3.49239000e-02,8.00000000e-04,0.731632234696,0.0575096856117,1.00000000e-02,8.00000000e-04,6.59631581e+01,-3.94038273e+01,1.76076256e+01,-4.40587789e-01,0,0
25,6.98861886244,0.258734256873,0.225270163728,3.49239000e-02,8.00000000e-04,0.724809760427,0.0477482947671,1.00000000e-02,8.00000000e-04,6.52029036e+01,-3.86134236e+01,1.73864283e+01,-4.40587789e-01,0,0
26,7.28070334204,0.256359134942,0.226070817526,3.49239000e-02,8.00000000e-04,0.718067193791,0.0380535173207,1.00000000e-02,8.00000000e-04,6.44368201e+01,-3.78666120e+01,1.71635351e+01,-4.40587789e-01,0,0
27,7.57294521814,0.254162471832,0.224262111863,3.49239000e-02,8.00000000e-04,0.711929333505,0.0307368397943,1.00000000e-02,8.00000000e-04,6.36511498e+01,-3.72222481e+01,1.69349431e+01,-4.40587789e-01,1,1
28,7.86532988197,0.251754345126,0.219455660067,3.49239000e-02,8.00000000e-04,0.704331079419,0.027633643648,1.00000000e-02,8.00000000e-04,6.28635441e+01,-3.65656270e+01,1.67057880e+01,-4.40587789e-01,0,0
29,8.15786796481,0.249025285348,0.212046540096,3.49239000e-02,8.00000000e-04,0.696682055263,0.026861409235,1.00000000e-02,8.00000000e-04,6.20622831e+01,-3.58577653e+01,1.64726598e+01,-4.40587789e-01,0,0
30,8.45054604907,0.246545117985,0.202387664125,3.49239000e-02,8.00000000e-04,0.690202934497,0.0254838802473,1.00000000e-02,8.00000000e-04,6.12480397e+01,-3.51769073e+01,1.62357545e+01,-4.40587789e-01,0,0
31,8.74334673897,0.244300404886,0.190814553791,3.49239000e-02,8.00000000e-04,0.683490220169,0.0206030693528,1.00000000e-02,8.00000000e-04,6.03493482e+01,-3.46297504e+01,1.59742788e+01,-4.40587789e-01,0,0
32,9.03643870232,0.241807844371,0.179566917238,3.49239000e-02,8.00000000e-04,0.676488006428,0.0113670299378,1.00000000e-02,8.00000000e-04,5.94491612e+01,-3.40716948e+01,1.57123679e+01,-4.40587789e-01,0,0
33,9.33004517534,0.238768422824,0.171137678053,3.49239000e-02,8.00000000e-04,0.669074394443,-0.00104900277072,1.00000000e-02,8.00000000e-04,5.84919164e+01,-3.34283716e+01,1.54338560e+01,-4.40587789e-01,0,0
34,9.62376346063,0.236401159601,0.161643953922,3.49239000e-02,8.00000000e-04,0.662065116242,-0.0184339909296,1.00000000e-02,8.00000000e-04,5.75384098e+01,-3.27888470e+01,1.51564318e+01,-4.40587789e-01,0,0
35,9.91757735163,0.233982937058,0.151234107138,3.49239000e-02,8.00000000e-04,0.654817047555,-0.0382966368395,1.00000000e-02,8.00000000e-04,5.65102644e+01,-3.22142005e+01,1.48572913e+01,-4.40587789e-01,0,0
36,10.2114769682,0.231391248521,0.140040441592,3.49239000e-02,8.00000000e-04,0.647593492016,-0.0580985461686,1.00000000e-02,8.00000000e-04,5.54902220e+01,-3.16386391e+01,1.45605083e+01,-4.40587789e-01,0,0
37,10.505455468,0.228730665694,0.128179514592,3.49239000e-02,8.00000000e-04,0.640520820108,-0.075254229737,1.00000000e-02,8.00000000e-04,5.44207816e+01,-3.08108839e+01,1.43283343e+01,-1.10319052e+00,1,0
38,10.7995207863,0.226293397479,0.115505781867,3.14820401e-02,8.00000000e-04,0.632565706845,-0.0887176003748,1.00000000e-02,3.80000000e-03,5.33555784e+01,-2.99803722e+01,1.40973930e+01,-1.76579325e+00,0,0
39,11.0936724405,0.223840738705,0.102065436977,3.14820401e-02,8.00000000e-04,0.625032544957,-0.100017466776,1.00000000e-02,3.80000000e-03,5.22019472e+01,-2.91101091e+01,1.37617422e+01,-1.76579325e+00,0,0
40,11.3878909061,0.221266506682,0.0881346198942,3.14820401e-02,8.00000000e-04,0.618004903842,-0.110223299214,1.00000000e-02,3.80000000e-03,5.10432621e+01,-2.82345068e+01,1.34246210e+01,-1.76579325e+00,0,0
41,11.6821600933,0.218705653993,0.0739694591897,3.14820401e-02,8.00000000e-04,0.61080143731,-0.120367869907,1.00000000e-02,3.80000000e-03,4.96570227e+01,-2.72527139e+01,1.30212924e+01,-1.76579325e+00,0,0
42,11.9764654971,0.216326224569,0.0598065499075,3.14820401e-02,8.00000000e-04,0.603695744197,-0.131447253128,1.00000000e-02,3.80000000e-03,4.82463774e+01,-2.62630221e+01,1.26108629e+01,-1.76579325e+00,0,0
43,12.2712530349,0.213193741174,0.0497810538896,3.14820401e-02,8.00000000e-04,0.595802498955,-0.140495495846,1.00000000e-02,3.80000000e-03,4.65703528e+01,-2.52774355e+01,1.21232210e+01,-1.76579325e+00,0,0
44,12.5662598591,0.210353702228,0.0418341067664,3.14820401e-02,8.00000000e-04,0.588098809621,-0.149524115818,1.00000000e-02,3.80000000e-03,4.48531647e+01,-2.43023445e+01,1.16236024e+01,-1.76579325e+00,0,0
45,12.8612804653,0.207732012961,0.0343443218593,3.14820401e-02,8.00000000e-04,0.580404418368,-0.159546430272,1.00000000e-02,3.80000000e-03,4.29196594e+01,-2.32588741e+01,1.10610460e+01,-1.76579325e+00,0,0
46,13.1563073199,0.204751792469,0.0273384817617,3.14820401e-02,8.00000000e-04,0.572455457547,-0.169869143206,1.00000000e-02,3.80000000e-03,4.09447823e+01,-2.22091507e+01,1.04864524e+01,-1.76579325e+00,0,0
47,13.4513328898,0.200696040337,0.0208271472023,3.14820401e-02,8.00000000e-04,0.563219443461,-0.17976115603,1.00000000e-02,3.80000000e-03,3.89536085e+01,-2.05396541e+01,9.98934645e+00,-1.76579325e+00,1,0
48,13.7464595632,0.197969602791,0.0145725321161,2.78986416e-02,8.00000000e-04,0.556638215042,-0.187742861025,1.00000000e-02,3.80000000e-03,3.69776916e+01,-1.86773202e+01,9.49667955e+00,-1.76579325e+00,0,0
49,14.0416387515,0.196832484635,0.00845902336551,2.78986416e-02,8.00000000e-04,0.550672324097,-0.193093085283,1.00000000e-02,3.80000000e-03,3.52712295e+01,-1.68089945e+01,9.00018174e+00,-1.76579325e+00,0,0
50,14.3371178357,0.193837226924,0.00500829477871,2.78986416e-02,8.00000000e-04,0.541696751532,-0.19374879174,1.00000000e-02,3.80000000e-03,3.36842486e+01,-1.49932003e+01,8.53844714e+00,-1.76579325e+00,0,0
51,14.632793335,0.190478641783,0.00343614814016,2.78986416e-02,8.00000000e-04,0.533228861373,-0.190881832356,1.00000000e-02,3.80000000e-03,3.23139020e+01,-1.31840144e+01,8.13974262e+00,-1.76579325e+00,0,0
52,14.9284886305,0.187563060187,0.00236040374367,2.78986416e-02,8.00000000e-04,0.525021965787,-0.186213260144,1.00000000e-02,3.80000000e-03,3.10548534e+01,-1.14450983e+01,7.77342045e+00,-1.76579325e+00,0,0
53,15.2241938074,0.184670511605,0.00184455403832,2.78986416e-02,8.00000000e-04,0.516647791427,-0.179983680252,1.00000000e-02,3.80000000e-03,2.97842433e+01,-9.61539838e+00,7.40373443e+00,-1.76579325e+00,0,0
54,15.5199043328,0.181771232457,0.00193606294739,2.78986416e-02,8.00000000e-04,0.50833542839,-0.172405303201,1.00000000e-02,3.80000000e-03,2.84855461e+01,-7.80507669e+00,7.02587646e+00,-1.76579325e+00,0,0
55,15.8158928649,0.178209417713,0.00494405199904,2.78986416e-02,8.00000000e-04,0.498937182336,-0.161596726915,1.00000000e-02,3.80000000e-03,2.69995535e+01,-5.96549186e+00,6.59352454e+00,-1.76579325e+00,0,0
56,16.1119176871,0.174982829929,0.00890093543436,2.78986416e-02,8.00000000e-04,0.489794302147,-0.149508798617,1.00000000e-02,3.80000000e-03,2.53428345e+01,-4.17605922e+00,6.11149955e+00,-1.76579325e+00,0,0
57,16.4079442719,0.171844417884,0.0135599225624,2.78986416e-02,8.00000000e-04,0.480703291754,-0.136495918601,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-1.26203810e+00,-1.76579325e+00,0,0
58,16.7042134333,0.167518754181,0.0204594369786,2.78986416e-02,8.00000000e-04,0.468882144263,-0.121363392742,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-1.26203810e+00,-1.76579325e+00,0,0
59,17.0005021373,0.163427217464,0.0281619487329,2.78986416e-02,8.00000000e-04,0.457414391797,-0.105380789331,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-1.26203810e+00,-1.76579325e+00,0,0
60,17.2967960418,0.15948112795,0.0365836704803,2.78986416e-02,8.00000000e-04,0.446348657156,-0.0886574994707,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-6.31019048e-01,-8.82896625e-01,0,0
